geo_fips,cal_yr,cty_pop,real_inc_pc,real_earn_pj
55061,2010,20557,43311.60293901272,51049.26037298609
55061,2011,20552,46343.43835758882,55679.99421304145
55061,2012,20499,46333.6441920278,56547.08429525723
55061,2013,20364,46268.96671687982,58953.078267775665
55061,2014,20336,48299.39716432627,54023.86794056645
55061,2015,20317,49088.775831001025,51324.74459737504
55061,2016,20367,47640.10949135296,48360.54426116463
55061,2017,20397,47963.84864412412,49328.47934284436
55061,2018,20383,48054.41587357726,45938.636020191625
55063,1980,91284,31579.358205128203,45877.504102564104
55063,1981,91980,31278.040825688073,44222.00894495413
55063,1982,92617,30647.139406779657,43058.984110169484
55063,1983,92734,31391.50847803881,43930.663329928495
55063,1984,93721,32429.816454456417,44574.837218413326
55063,1985,94460,32755.299337748344,44748.68022705771
55063,1986,94715,33048.417288444034,44340.8822565969
55063,1987,95883,34331.985098743266,45790.69461400359
55063,1988,96539,34864.83896551724,45402.82913793104
55063,1989,97265,36164.32920792079,47059.540759075906
55063,1990,98224,36766.6497254902,46408.963450980395
55063,1991,99127,35304.815738678546,44912.09116555308
55063,1992,100346,36212.34273318872,46072.9543022415
55063,1993,101534,36910.849439775906,46304.85546218487
55063,1994,102710,37692.54217361585,46502.68298017771
55063,1995,103640,37411.098205980066,45229.009966777405
55063,1996,104578,37902.825468648996,46147.58926955397
55063,1997,105124,38654.13375156838,46926.956210790464
55063,1998,105928,40484.560493827164,48146.91061728395
55063,1999,106410,41111.05051608986,49188.37170613236
55063,2000,107291,41810.20779681039,48981.64678086237
55063,2001,107761,41760.518564920276,49309.92653758542
55063,2002,108477,42156.92785593697,50507.04074282499
55063,2003,109065,42246.05750273823,50698.10383351589
55063,2004,109410,42846.31035963499,51762.61073537305
55063,2005,109976,43342.894154488524,51612.70647181629
55063,2006,110641,43843.56256899146,51019.87626693426
55063,2007,111798,44951.936275112195,51280.04119211353
55063,2008,112761,45419.815245977356,51087.228406873604
55063,2009,114021,45742.57864513785,52925.88299132273
55063,2010,114875,44982.42284631795,53036.631630250864
55063,2011,115223,46826.70663284912,53395.878781302694
55063,2012,116541,47545.71632973727,53163.051588381415
55063,2013,116885,46184.06338079843,53119.32535965711
55063,2014,117446,48182.79572268879,54774.077216007616
55063,2015,117726,49755.81779532858,55955.44914312003
55063,2016,117733,50204.073717450075,56211.32436603077
55063,2017,118116,50779.12956420766,56112.33996807772
55063,2018,118230,52121.62296636872,56222.11666452318
55065,1980,17448,30524.168974358974,37465.8541025641
55065,1981,17551,28461.295642201832,34400.50229357798
55065,1982,17468,26792.256779661013,30981.631355932197
55065,1983,17207,25575.328702757914,24277.2631256384
55065,1984,17020,27547.472477962783,27314.2556317336
55065,1985,16790,27730.714285714286,28656.295742667928
55065,1986,16549,29645.369972702454,33903.30045495905
55065,1987,16373,31648.52818671454,38376.91885098743
55065,1988,16371,27901.24224137931,32138.304137931034
55065,1989,16248,32756.105445544556,44443.579537953796
55065,1990,16049,31636.938823529414,40491.62776470588
55065,1991,16031,29467.435189309577,35520.01870824054
55065,1992,16071,29926.17946493131,34883.62111352133
55065,1993,16135,29514.179831932768,33222.48319327731
55065,1994,16194,30375.525632262474,33611.21790840738
55065,1995,16500,28568.22485049834,29732.484916943522
55065,1996,16602,30441.046541693602,33056.0152553329
55065,1997,16401,31019.430865746548,31909.226097867
55065,1998,16280,33442.10024691358,36939.36555555556
55065,1999,16163,34006.46508803886,37515.54256223436
55065,2000,16225,33492.19468399291,35615.64997046662
55065,2001,16303,35203.05740318907,35804.4159453303
55065,2002,16436,34775.38728193585,35187.57670230726
55065,2003,16516,34108.67732749179,34814.55005476451
55065,2004,16615,37073.91583467525,38824.389264626945
55065,2005,16703,36540.088726513575,35764.709394572026
55065,2006,16785,36052.98966382338,34495.91399899648
55065,2007,16670,40326.08394736454,38011.88554687692
55065,2008,16768,39492.57449074816,35746.4217104829
55065,2009,16851,39108.830054781465,35751.65500417585
55065,2010,16810,41669.34405576399,41412.2948392555
55065,2011,16864,45438.91928549146,48138.434808555656
55065,2012,16801,43309.71164227842,43511.91299233679
55065,2013,16670,48821.652545116296,55054.22770298559
55065,2014,16778,46039.96922919996,48025.49377783822
55065,2015,16792,46676.39927240816,47609.155473765364
55065,2016,16750,44935.758429446614,42531.7698999693
55065,2017,16689,44585.72393390694,42306.73756857338
55065,2018,16665,44772.56462606906,40140.525448524204
55067,1980,20037,25845.499743589742,37820.90205128205
55067,1981,20227,25021.245412844037,34925.859403669725
55067,1982,20146,24442.58792372881,33641.11652542372
55067,1983,20105,24615.659039836562,32848.19713993871
55067,1984,20047,25139.255044074438,33851.93222331048
55067,1985,19782,26278.677767265846,35757.317502365186
55067,1986,19536,26308.264058234756,36498.56560509554
55067,1987,19361,26595.26517055655,37045.64542190305
55067,1988,19477,27468.388103448277,37930.51724137931
55067,1989,19519,29053.185643564357,39604.58514851485
55067,1990,19504,28332.162666666667,37148.282352941176
55067,1991,19753,28005.207869339272,37195.52754268746
55067,1992,19923,29070.931887201732,38901.60043383948
55067,1993,20056,29831.36120448179,40151.53683473389
55067,1994,20297,30607.27833219412,40240.052768284346
55067,1995,20506,30387.70365448505,38828.15920265781
55067,1996,20547,31677.426502908856,40301.97142857143
55067,1997,20652,32451.54654956085,41180.632622333746
55067,1998,20587,33442.10024691358,42285.11691358025
55067,1999,20693,34265.75652701882,42148.21627200971
55067,2000,20735,36000.89887773183,43721.164678086236
55067,2001,20820,35263.48804100228,40796.576195899775
55067,2002,20722,35736.6770962296,41971.95239167136
55067,2003,20668,35862.01982475356,43022.80098576123
55067,2004,20686,36722.431884057965,43028.30402576489
55067,2005,20477,37207.401252609605,42549.95396659708
55067,2006,20440,37297.09182137481,41729.36808830908
55067,2007,20379,38249.79379365602,41341.32876517055
55067,2008,20248,38748.46729571012,40896.619378434676
55067,2009,20086,39355.51952739782,41504.8931501937
55067,2010,19964,39303.539229750604,42058.4880085338
55067,2011,19791,40696.33739776749,43033.109179110885
55067,2012,19620,41882.94256546202,44138.9643700459
55067,2013,19410,41820.478765878644,43729.68667855092
55067,2014,19252,42778.42890415151,44099.54523817619
55067,2015,19043,45245.291058032686,44681.88867163371
55067,2016,19079,44145.674376752846,43344.70762360875
55067,2017,19171,44673.8673953807,44285.18658936389
55067,2018,19268,44960.841987653526,43176.887981480286
55069,1980,26632,26512.458974358975,40176.82769230769
55069,1981,26878,25297.280504587154,37475.473853211006
55069,1982,26632,24675.635593220337,36508.97372881355
55069,1983,26628,25847.631664964247,36908.94811031665
55069,1984,27313,26318.014103819787,37976.32144955926
55069,1985,27207,26704.739072847682,38235.329233680226
55069,1986,26887,27450.46333030027,39786.21546860782
55069,1987,26872,28147.25583482944,41199.776122082585
55069,1988,26770,28305.090689655175,40108.175172413794
55069,1989,26772,29121.52095709571,39984.700330033
55069,1990,27070,29617.127843137256,39795.35121568628
55069,1991,27465,29010.12887899035,37896.858648849295
55069,1992,27836,30251.809833694864,38982.072306579896
55069,1993,28170,30985.901400560222,40847.52338935574
55069,1994,28541,31698.815857826383,41391.73984962406
55069,1995,28737,32881.31827242525,41292.53833887043
55069,1996,28970,33951.09411764706,41939.88209437621
55069,1997,29130,34745.85432873275,41554.08682559598
55069,1998,29212,35963.1987654321,42678.13987654321
55069,1999,29393,35950.365148755314,42526.93891924711
55069,2000,29670,36808.08706438275,42663.258948611925
55069,2001,29548,38049.193052391805,42932.28337129841
55069,2002,29641,38642.39403489027,44330.02543612831
55069,2003,29621,38950.5673603505,44967.49452354875
55069,2004,29666,39491.23628556092,45901.30327428877
55069,2005,29602,39788.84707724426,45201.64321503132
55069,2006,29457,40199.56397390868,44729.23863522327
55069,2007,29272,41558.88122612897,44735.65605076756
55069,2008,29094,42321.401679753406,43826.69393987953
55069,2009,28833,43235.383163546976,43734.86828384443
55069,2010,28777,41483.69739939675,44533.776760097106
55069,2011,28500,42663.34459077613,45579.33621777048
55069,2012,28499,42513.40183109347,45574.821147988514
55069,2013,28301,42177.96649674765,45848.91863310874
55069,2014,28104,43142.533405868555,46336.972901295434
55069,2015,27858,45433.826885966584,47828.562665337566
55069,2016,27821,46206.85784204485,51533.93971248008
55069,2017,27766,46541.87159697517,50564.61174230767
55069,2018,27689,47606.08690759436,49694.82139412256
55071,1980,82887,31675.586153846154,44218.401538461534
55071,1981,82569,31414.574311926604,42583.60711009174
55071,1982,82613,30367.482203389827,40947.846398305075
55071,1983,82479,30244.13483146067,41374.18794688457
55071,1984,82332,31096.42448579824,42100.71067580803
55071,1985,81636,31609.341343424785,41905.82289498581
55071,1986,81025,31835.566515013645,42244.88771610555
55071,1987,80623,32282.799820466786,43081.68096947935
55071,1988,80557,32336.88155172414,43057.83068965517
55071,1989,80469,34071.560231023104,44654.99191419142
55071,1990,80486,33863.80580392157,44094.808156862746
55071,1991,80889,33371.83192279139,43628.559168522646
55071,1992,81486,34486.876066522054,45779.138394793925
55071,1993,81756,34795.702801120446,46000.36134453781
55071,1994,82020,36903.52153110047,47040.49077238551
55071,1995,82418,36762.75840531562,46071.679734219266
