"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: Manufacturing (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"26053","Gogebic, MI",29100,30095,30759,31294,34078,32274,36404,32484,29859,40444,46989,44370,47150,47355,51373,52757,56926,61398
"26055","Grand Traverse, MI",390361,401418,430221,433489,444346,469126,488855,490573,423438,464752,491565,454117,502713,527275,583604,605574,650729,639626
"26057","Gratiot, MI",173105,177500,167765,159269,154314,143434,156386,159718,141740,170086,182306,192639,204618,210576,221365,229423,235512,254475
"26059","Hillsdale, MI",383000,431762,439792,438377,451254,455780,472972,414931,294278,459424,495049,445422,475430,455853,537331,546892,567302,590087
"26061","Houghton, MI",42938,42303,41010,37373,40050,39490,40682,37429,34762,40817,44185,41852,43888,41754,42723,48006,54181,59117
"26063","Huron, MI",204820,224127,271369,306395,333172,316083,239690,217049,191525,241802,278844,324949,259764,254064,235460,214187,220934,234448
"26065","Ingham, MI",1873363,2019402,2114693,1842842,1654480,1848481,2053982,1632588,988411,1415751,1375446,1226735,1220318,1186622,1145494,1265474,1260948,1353287
"26067","Ionia, MI",246847,267077,304735,305108,324630,327331,364327,366611,285449,505510,549773,526230,395323,333697,311417,300472,338164,370032
"26069","Iosco, MI",49593,52933,55929,55134,61447,56256,52543,50829,33021,56566,68107,63440,65816,57494,54155,49742,50914,51246
"26071","Iron, MI",14576,10740,15715,16571,19678,19711,22203,17799,17125,21614,24640,22697,21167,20258,20682,20159,18276,18644
"26073","Isabella, MI",141010,147260,148068,159555,158904,158171,156574,165435,145611,164982,172690,175206,202210,204915,221621,210079,228318,230271
"26075","Jackson, MI",853272,916757,968940,961966,1015313,1025960,1051230,1003204,834259,996214,1100881,1116026,1207739,1163759,1135114,1135637,1170042,1220757
"26077","Kalamazoo, MI",2782860,3201374,3104227,2992010,2783550,2722771,2831796,2533412,2171142,2264365,2285250,2261044,2342433,2372209,2434718,2560194,2659797,2823173
"26079","Kalkaska, MI",33035,26619,30666,29292,32247,33269,36306,40616,23636,37231,39841,43234,38799,35631,36146,35647,36737,37514
"26081","Kent, MI",6087798,6431732,6668299,6994679,6982118,6915812,7124813,6854461,5660582,6308952,6799374,6952144,7186193,7164168,7207828,7266263,7607784,8008419
