"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: Retail trade (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19141","O'Brien, IA",30797,31524,33211,33310,32533,32318,31099,30773,31431,31810,32055,32828,31672,30907,31767,33673,34532,35298
"19143","Osceola, IA",9061,9909,9229,9321,8718,7968,7134,7561,8838,9009,9561,9371,9472,8837,9703,10659,11023,10923
"19145","Page, IA",27815,27659,28719,27388,33427,33500,29278,27719,34454,35989,36226,36292,33776,37200,38813,39350,40739,39520
"19147","Palo Alto, IA",19277,19499,20319,19421,16734,15708,16072,17044,17284,17711,19087,18730,17978,17315,17228,18314,17423,17639
"19149","Plymouth, IA",47974,48528,52136,52513,52314,52896,49452,49813,48211,50392,50635,49994,49207,48784,49419,50928,51626,53734
"19151","Pocahontas, IA",10810,11326,11781,11550,13145,13401,13190,12139,13146,15120,14290,14394,13862,14113,13927,13956,13607,14112
"19153","Polk, IA",1542404,1583669,1604615,1612959,1584297,1575743,1527948,1561149,1551154,1540283,1547823,1525780,1554675,1543443,1608933,1707530,1756359,1790065
"19155","Pottawattamie, IA",256914,274708,283958,289205,290514,285869,273919,275059,267296,266721,272362,279058,290855,294413,315439,330865,338224,344050
"19157","Poweshiek, IA",39096,39853,40958,40509,39907,39407,37781,37658,38480,38375,37965,38729,38049,36743,36588,40158,41308,43073
"19159","Ringgold, IA",9707,10004,9726,9328,7818,7502,7878,8209,8032,8418,8524,8433,8526,8450,8492,8557,8599,8794
"19161","Sac, IA",26408,27367,26511,24416,17472,15734,14309,14033,14133,13304,13540,13928,13901,13023,12750,13213,12994,13346
"19163","Scott, IA",570617,606849,645466,653634,656469,639665,644910,666500,671784,665389,665871,661873,651703,627109,609190,643107,658778,669861
"19165","Shelby, IA",32368,33078,33548,34250,33497,31842,29926,31115,35584,41648,39646,39705,38896,38444,36718,34792,32050,32484
"19167","Sioux, IA",69705,72667,81845,77326,71048,72241,72363,74630,77915,80612,80259,81378,79768,83613,86575,93911,93404,97218
"19169","Story, IA",192608,199290,209409,216397,216510,210122,204504,206263,205111,205431,207540,207709,208158,205015,215299,227460,235076,238784
"19171","Tama, IA",22444,23024,22740,24238,21615,21212,21061,22604,22550,20788,19961,19995,19671,18920,19366,20459,21239,21848
"19173","Taylor, IA",6777,7022,6649,6305,5778,5444,4697,4858,5032,5248,5247,5527,5082,5461,5478,5154,5269,5005
"19175","Union, IA",31515,33288,33183,32959,34120,33247,31732,31823,32936,33225,32622,33589,32996,33313,34669,36789,36806,36986
"19177","Van Buren, IA",8515,9167,9018,8561,7546,7351,6922,7329,8721,10589,9848,8835,8838,8548,8557,7903,7599,7561
"19179","Wapello, IA",85197,92045,98135,104066,106861,104251,99845,100756,99173,96930,94043,99067,99383,98992,101788,106820,108588,109219
"19181","Warren, IA",76706,80114,80913,80429,78997,75575,71507,72303,71025,71720,71554,72600,70406,70802,79048,85505,88965,90957
"19183","Washington, IA",41239,42202,43939,41195,40421,40306,40466,44819,50141,50408,47593,47361,48772,47361,46805,46781,50443,51439
"19185","Wayne, IA",8097,8497,9066,7949,8465,8585,8296,8851,8951,9302,9502,9693,9781,9476,9681,10164,10728,10995
"19187","Webster, IA",129707,129901,129567,117286,110858,106138,106440,111801,112544,110730,110668,110613,111019,108912,114268,120633,123747,124505
"19189","Winnebago, IA",27969,27999,29779,31652,29531,27972,25424,26203,26752,28570,27216,27475,26893,27425,28657,31394,32112,32489
"19191","Winneshiek, IA",47127,49761,52040,52439,50779,51508,53354,55994,57799,59319,56444,57430,56134,55779,56163,56242,57981,58885
"19193","Woodbury, IA",311793,323034,323767,321721,326855,335626,324893,334818,343733,335514,344395,352473,360425,358304,363346,379379,381904,392337
"19195","Worth, IA",8583,8884,8230,7249,8406,7846,7205,6492,6389,6215,6100,6110,5813,6248,7290,7155,7498,7397
"19197","Wright, IA",20087,19719,20561,20430,20714,20863,20655,22051,21276,21232,21117,21034,20897,19716,18960,18674,18945,19424
"26001","Alcona, MI",13660,"(D)","(D)",14213,13444,12753,11965,12254,12176,12272,11862,11099,11376,11984,11291,11945,12721,13382
"26003","Alger, MI",11762,11772,12018,11255,11274,11100,10335,10472,11140,11295,10833,10594,11007,10756,10700,10982,11021,11975
"26005","Allegan, MI",198646,204188,201407,190944,180362,175096,159664,159990,164359,167876,173271,171547,192095,190555,189499,190231,196144,204514
"26007","Alpena, MI",91953,101141,104555,101390,100519,97095,93000,93171,94774,92981,92613,89503,90747,92208,93956,100647,100760,106738
"26009","Antrim, MI",29581,31015,33607,34506,35690,35926,35113,32835,31964,31134,31627,31712,32931,32924,32444,34270,35552,36242
"26011","Arenac, MI",28968,28542,29373,28508,28019,26664,26322,27211,29299,29983,29162,28431,27516,27573,27367,29025,32200,34518
"26013","Baraga, MI",11118,11363,11845,11970,12252,11475,11429,11032,11115,10666,10836,11070,10909,9994,8310,8003,"(D)","(D)"
"26015","Barry, MI",67613,67426,69315,65000,66752,66529,60861,58854,59508,56421,57735,56155,57282,58396,56589,58291,59599,64161
"26017","Bay, MI",347342,357330,361051,350788,337684,324246,304183,296339,296262,283237,280312,267663,258609,262782,255041,263847,269025,280728
"26019","Benzie, MI",25893,27477,29619,30618,31185,30744,29391,28186,28404,27414,29501,25729,26107,26910,27762,28494,28368,30546
"26021","Berrien, MI",380253,397447,412022,400067,394449,382420,365466,356348,368458,368040,364302,337278,333443,337404,335076,344339,355027,380586
"26023","Branch, MI",119993,130778,126374,112197,110269,103136,97938,92041,91918,90018,87651,87787,86152,84648,82623,86366,90476,91704
"26025","Calhoun, MI",364838,383837,400937,395240,375899,369761,359871,346591,350802,345995,339738,328272,330640,331055,335099,352689,350917,374033
"26027","Cass, MI",48957,49348,48712,47085,45754,43138,41181,45375,45095,43784,41899,43344,42270,43844,44275,45561,45464,48998
"26029","Charlevoix, MI",58742,61636,62766,57620,54823,51356,49443,49142,50540,47469,43984,42172,44638,46491,45601,44625,47361,51227
"26031","Cheboygan, MI",72146,72476,79818,78515,80539,79921,76748,71146,72532,71608,68759,64347,63073,62454,61772,63662,61806,64321
"26033","Chippewa, MI",81777,84140,87561,87748,91566,93490,90243,89646,90803,92956,89414,86720,85736,85105,83926,85768,88167,92731
"26035","Clare, MI",74354,73601,75080,70565,67422,63730,58027,55875,55403,54238,51453,49029,50398,53128,53160,54857,58720,61077
"26037","Clinton, MI",102980,104936,111228,106287,113726,115520,117836,115532,124006,124793,128006,133101,138942,142480,143641,153309,151136,161356
"26039","Crawford, MI",32920,32452,32698,32696,34654,34459,32846,32398,33129,32386,31501,30830,30951,31615,30008,30251,29947,32538
"26041","Delta, MI",96506,97878,101820,103047,103679,96908,94616,93836,99201,100275,99814,98797,99466,99103,96531,98564,103489,109698
"26043","Dickinson, MI",96831,98208,103750,107186,112450,114005,109367,103599,102702,97504,94428,91369,91347,93835,91477,93954,92260,96961
"26045","Eaton, MI",244227,253263,261446,259118,248811,251592,238019,239953,237062,224473,219664,199666,211620,231678,237729,262835,277751,290796
"26047","Emmet, MI",153685,165651,168830,159735,159348,158048,152621,151250,152108,149035,147096,145510,149483,154043,153360,158732,163389,173834
"26049","Genesee, MI",1119550,1147329,1189418,1177673,1180831,1161105,1113729,1105907,1100721,1099423,1104003,1088627,1094654,1115849,1263862,1267235,1316815,1366736
"26051","Gladwin, MI",39621,39509,43394,66425,62875,58190,52369,49824,51636,50036,48039,44685,43478,44094,45301,46073,47302,52656
"26053","Gogebic, MI",31686,30520,31773,31243,31746,30111,28479,31873,32999,36419,33065,31889,31938,32318,32005,33524,33386,35268
"26055","Grand Traverse, MI",424988,455894,468116,462678,452716,443241,424943,411003,404468,400797,402857,383492,384578,399282,411658,438650,451957,478908
"26057","Gratiot, MI",73366,75419,77718,76888,77813,64787,63448,62875,67644,69487,72673,68207,64585,67169,68486,69446,70491,74572
"26059","Hillsdale, MI",76021,81175,86586,84314,80935,78266,78914,79196,85164,82814,81767,78825,78031,78876,79128,83426,83383,90706
"26061","Houghton, MI",70253,72029,75662,75528,74516,73661,70293,72480,75085,75818,76904,74911,98436,122411,141117,144700,146406,157819
"26063","Huron, MI",69206,69535,73596,72708,74411,71426,66936,65971,67980,67759,67591,66690,68343,68698,66560,68854,69281,73418
"26065","Ingham, MI",953667,964668,999287,986601,978088,934100,894351,861892,833279,825810,812476,769214,735836,721933,701799,730410,745548,796534
"26067","Ionia, MI",104451,103372,104877,101727,109902,116687,117394,115739,114198,110562,108628,104342,106850,108531,106677,107492,111776,116894
"26069","Iosco, MI",60120,58462,57513,53860,55099,59127,57484,57859,59649,62497,61045,58697,54894,55401,55151,56631,55603,59233
"26071","Iron, MI",22597,22889,21983,22820,24743,26712,23918,23925,24436,24614,25677,26062,26970,26338,30039,32484,33386,35701
"26073","Isabella, MI",136714,139939,153219,156880,179563,176353,190281,171130,170627,160940,155345,143718,149413,155718,160642,169295,171344,179820
"26075","Jackson, MI",455532,473355,451957,443642,433651,410946,372828,363185,362631,354023,354649,343908,352813,357948,351911,359278,361777,385445
"26077","Kalamazoo, MI",745116,765565,786323,768228,728827,705548,682600,675406,678390,672033,687451,671479,678683,680959,701867,743592,779401,836825
"26079","Kalkaska, MI",26255,27829,29616,29157,29916,28741,27562,25897,25792,24982,20802,19765,19621,20178,19932,20266,21913,22624
"26081","Kent, MI",2322908,2344950,2467934,2401939,2438964,2310655,2195250,2099272,2092082,2093032,2092505,2047715,2080359,2138782,2146137,2200764,2233711,2393569
"26083","Keweenaw, MI",1545,1706,1702,1311,1353,1265,1116,1036,1038,1200,1166,1039,956,921,782,979,1440,1474
"26085","Lake, MI",10757,"(D)","(D)",9979,10103,10263,9178,8552,8566,8576,7413,7250,7543,7512,7797,8319,"(D)","(D)"
"26087","Lapeer, MI",170224,174417,179270,187652,177693,172170,164493,163712,168515,170064,171566,169103,166189,166488,162116,168548,173013,186449
"26089","Leelanau, MI",30448,30500,31980,31958,33497,31479,26581,25007,24703,23576,24322,25383,26214,25737,25480,27215,30023,32815
"26091","Lenawee, MI",260242,260101,267157,246472,245368,233061,210894,207537,208552,217836,211733,206573,202657,201217,188338,191065,191459,200644
"26093","Livingston, MI",380240,395789,422386,429356,440659,433652,444805,446935,448960,454354,447652,429625,441179,471413,478747,496369,517800,564458
"26095","Luce, MI",12478,12994,13468,12633,12194,11886,11310,11486,11740,12272,12624,12341,12139,12390,12369,12710,13089,13865
"26097","Mackinac, MI",34997,35069,36485,33751,34011,32408,31258,29639,29343,28068,27159,26117,26662,27844,26918,28674,29521,31938
"26099","Macomb, MI",2527593,2624557,2746683,2669743,2669938,2506590,2342599,2300179,2292936,2320992,2336382,2281187,2289967,2367773,2554770,2765984,2878612,2973830
"26101","Manistee, MI",49127,50195,51837,49299,49484,46736,45826,45015,46147,46084,45780,43916,43764,45849,48863,53274,53017,55314
"26103","Marquette, MI",169324,170430,177052,172274,176527,176819,179490,178558,181380,170680,167450,158621,160405,164425,164336,168474,168785,180834
"26105","Mason, MI",78695,82922,84788,80943,78511,74822,70805,71119,72234,69527,68899,68987,70485,74143,73423,77312,78620,81117
"26107","Mecosta, MI",76384,82911,89867,88995,93080,92176,90746,89160,94868,112171,118947,120751,124067,127353,124015,127727,131774,141550
"26109","Menominee, MI",34580,34145,35260,33909,35374,35651,34312,35349,35271,35505,34161,33603,33044,33671,34248,36652,36194,37761
"26111","Midland, MI",195847,192527,193771,196228,206587,212340,205951,201933,203962,198820,191120,187207,191198,194333,194641,204959,204105,213741
"26113","Missaukee, MI",16671,17051,16545,14679,13914,13852,12826,14701,14638,14181,16148,17336,20062,20952,22181,24267,25688,26680
"26115","Monroe, MI",321759,319182,332023,328400,326581,310995,288188,291487,296431,299176,286156,301556,315972,318671,333796,345765,366598,372018
"26117","Montcalm, MI",125557,128388,133788,136764,137618,130211,123904,123567,125805,121969,121278,115659,114649,114115,112305,117691,120662,126438
"26119","Montmorency, MI",11970,11568,12221,12232,13815,15420,13799,12620,13103,12349,12579,10495,10131,10807,9697,9758,9937,10790
"26121","Muskegon, MI",495511,552363,581614,577174,601955,586964,573980,555675,556963,557981,555520,540235,533365,549384,544674,565497,581733,624465
"26123","Newaygo, MI",68464,69179,77383,81327,84624,90029,89371,90740,96572,96442,101942,106932,105283,108500,109116,116114,119923,127366
"26125","Oakland, MI",5406662,5465111,5633072,5463078,5528711,5238901,5067909,4949853,4854991,4931414,4988420,4997625,4992788,5184674,5454583,5750893,6016973,6296562
"26127","Oceana, MI",33183,34231,36301,34336,33776,32466,29688,28956,30040,30231,30785,29974,31958,32326,32402,33023,32644,35244
"26129","Ogemaw, MI",77611,79977,80497,78690,80595,76923,71805,70337,71970,76259,76526,72963,71525,70517,67546,70290,72422,76422
"26131","Ontonagon, MI",14465,14123,14391,14673,14918,15244,14815,14436,14798,13973,12927,11802,13330,13216,12982,12064,12797,13633
"26133","Osceola, MI",39859,37544,39197,40926,41328,39332,29850,30797,30208,31026,30466,30148,24568,25416,24895,24985,25319,26473
"26135","Oscoda, MI",13271,13604,14846,14384,14564,14405,12834,13227,12714,13107,12897,12246,11792,12242,12718,11620,11598,12759
"26137","Otsego, MI",109623,117201,121663,122634,123639,121273,127541,130646,137752,131012,132402,129705,126969,124342,122731,127978,131343,141539
"26139","Ottawa, MI",635253,634949,640840,611671,606465,605988,561090,539600,534720,538561,544345,541837,541279,550574,574072,612293,640124,669249
