cty_fips,cal_yr,cty_pop,real_inc_pc,real_earn_pj,real_inflow_pc,real_outflow_pc
19099,2008,37103,42081.09165119194,44276.8178004845,12.379665615250795,2.7099474373379313
19099,2009,36879,40841.76253816065,44733.83852443933,11.374516482657896,2.944024447287155
19099,2010,36813,39623.6607077172,43492.48942470389,11.25612330726592,2.887808429331156
19099,2011,36617,42906.73394005976,46359.82033302137,12.108693114879598,2.7835470059817835
19099,2012,36574,42854.190623326685,45698.64107583324,12.231616103727898,2.9267794489455388
19099,2013,36729,42207.01237488076,44802.14987115793,12.05364675471615,3.1709893658635844
19099,2014,36882,42651.927340110844,44608.85153513991,12.280681633685818,3.35879647571775
19099,2015,36740,42824.094109828875,43050.11659360928,12.673818328867238,3.3460582526542155
19099,2016,36703,43734.308299730474,42614.47842339179,13.207790602393569,3.5404134936405347
19099,2017,36985,43410.123791118385,42127.264737379825,13.290883899044665,3.543563810121006
19099,2018,37147,45302.029692624266,44202.5315092277,13.34444793600072,3.5441560677623296
19101,1990,16313,32763.56705882353,40016.61694117647,2.5503614463623983,4.309046897518279
19101,1991,16316,30966.170155902004,37224.349368968076,2.5154621612900234,4.104113123640324
19101,1992,16364,33818.772378886475,41152.94143167028,2.6035919102175327,4.605290460886842
19101,1993,16559,32048.005882352936,38339.07184873949,2.583137488342761,4.445404489472581
19101,1994,16563,34899.12604237867,41964.92973342447,2.663750474637137,4.569465858913803
19101,1995,16468,34736.91149501661,39375.034684385384,2.6837168873570976,4.586201585355914
19101,1996,16517,37626.773109243695,42040.264770523594,2.6882971332077243,4.91166269740929
19101,1997,16628,40713.00301129234,45462.366248431616,2.6862368549489015,5.74012363388205
19101,1998,16553,41749.902716049386,43759.751851851855,2.8437918754050773,5.893841666834478
19101,1999,16282,40339.46205221615,41428.486095932,2.9216167879615997,5.466534083887452
19101,2000,16189,42609.75215593621,42661.730183106905,3.003515699097383,5.772650276231624
19101,2001,16207,39368.34965831436,40829.00239179955,3.0359600445433115,5.436317394562067
19101,2002,16131,38630.74203714125,41252.44153066967,3.1036960714203112,5.597379614228426
19101,2003,16194,37154.70240963856,41185.83099671413,3.1418755692377784,5.720513750241629
19101,2004,16298,39393.98776167471,43478.42576489533,3.36831462349753,5.738707969068055
19101,2005,16315,39692.93778705637,41592.21189979123,3.463403684123311,6.1874290536585
19101,2006,16401,41257.95985950827,39561.929152032106,3.7564191027354346,6.1449888768362575
19101,2007,16600,42326.03990424554,39028.402601296715,3.995972578704837,6.4227255991331145
19101,2008,16607,41848.10070979479,38660.63824973842,4.1493337631182134,6.517338540250133
19101,2009,16782,38398.07127724328,37821.64835112984,3.5059385325951267,5.724129788989428
19101,2010,16836,38396.72671595674,37860.01747222835,3.5277173631201624,5.588874658715738
19101,2011,17092,39983.72146645146,39120.15733293548,3.586552309186264,5.784434941356147
19101,2012,17274,40832.17712274295,40650.42310021856,3.6016868051833018,5.925760886908057
19101,2013,17629,39634.2178617829,41357.97901406687,3.2527170673632773,5.856018706677326
19101,2014,17792,41137.20861242392,40538.80121383156,3.3351581417195986,6.191842516963444
19101,2015,17916,41603.57269741466,39519.75565182941,3.253306379650127,6.416087578472385
19101,2016,18064,41753.6568177709,40853.65749052883,3.364817236224992,6.877355804957748
19101,2017,18233,40672.36663835514,40447.22912230168,3.090038029527627,6.7228552496225715
19101,2018,18381,44021.53559256639,42849.22295993826,3.119883564656003,6.816433436655461
19103,1990,96595,38222.13160784314,46559.180549019606,3.111527756988193,4.070282049673744
19103,1991,97484,37718.16332590943,45323.282553823316,3.2066366118992606,4.243722500579312
19103,1992,99364,38510.46970354302,46497.77093275488,3.4076483324762554,4.4784276472697515
19103,1993,100939,38855.62436974789,45447.55952380952,3.510424288202684,4.720446088262031
19103,1994,103045,40144.521120984275,46911.34613807245,3.618505167015041,5.116866098523473
19103,1995,104488,40334.64637873754,45763.8473089701,3.7192330264252,5.375881137600947
19103,1996,105355,41253.9338073691,46252.99107950873,3.869893259888989,5.657893677230095
19103,1997,106538,41550.839397741525,46576.23400250941,4.076430608003087,6.017303547278434
19103,1998,107819,43486.55296296297,47042.931481481486,4.496559922842798,6.4289364491633725
19103,1999,109814,45009.850880388585,49612.666788099574,4.8158349987591205,6.937354770298851
19103,2000,111455,47099.73644418192,52271.55014766686,4.990698232208173,7.497569155536856
19103,2001,113546,46281.02505694761,51516.38177676538,4.873057484012882,7.958489962243033
19103,2002,114948,46982.31142374789,52304.361395610584,4.861828701129403,8.37921951603905
19103,2003,116673,46564.92135815992,52170.798138006576,4.899972939976249,8.643859577430483
19103,2004,118891,47373.92377885131,53226.89565217391,5.09674358529721,9.329296821868253
19103,2005,120300,46946.92212943633,52606.92108559499,5.266493849752793,9.789242387246915
19103,2006,122226,47382.3708981435,52174.37190165579,5.354380296347378,9.984319560068407
19103,2007,124541,49155.40604708091,53240.557813966974,5.644592918051547,10.41907859578588
19103,2008,127113,49186.705439874815,52749.88104103236,5.69385171002949,10.18133872978222
19103,2009,129864,48636.90562583458,53872.340126360694,5.451942022108066,10.19156278100161
19103,2010,131339,47825.43478260869,53906.55282130508,5.370527495235095,10.209790310423152
19103,2011,134066,50065.657204085226,53737.55998318164,5.425507520033159,9.677164496357877
19103,2012,137096,50211.820647641776,53774.199489119645,5.365289031910561,9.460698837583596
19103,2013,140160,49889.64714108745,54968.207217745236,5.198553501418994,9.812253593609809
19103,2014,142745,51118.73202203257,55965.391945190575,5.296456251103973,9.562416031622735
19103,2015,144931,52551.88130199746,56873.872211359456,5.41218123042235,10.008582469047349
19103,2016,146858,53438.412291287364,56521.4813288651,5.422602024766464,10.050939874365463
19103,2017,149213,53667.686373950106,56126.14557047723,5.323739728838866,9.868757874570793
19103,2018,151260,54789.75242749662,56358.383705227956,5.350385538830053,9.42797268957944
