"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19163","Scott, IA",6942179,7202697,7270480,7535626,7774432,7609344,7781211,7695408,7407772,7501432,7757105,8117084,7987260,8069988,8160232,8052003,8012364,8208858
"19165","Shelby, IA",366806,395836,381924,445359,453530,466223,488327,536217,559831,563823,618077,699548,866525,928937,1047408,1021387,1019531,1023116
"19167","Sioux, IA",1329312,1477563,1649178,1697422,1762073,1963192,1871070,1923503,1649518,1839616,1874915,1990480,2116809,2372140,2486700,2434370,2684788,2676524
"19169","Story, IA",3232860,3352807,3474552,3586765,3687741,3814777,3882666,4053358,3842772,3883592,4036158,4270440,4514052,4707523,4716210,4627378,4744881,4814640
"19171","Tama, IA",451376,482685,440586,534156,515257,545680,566704,563375,620322,572861,572392,585689,543020,505336,486404,513704,506975,548997
"19173","Taylor, IA",146419,150656,163323,202205,198827,216497,221594,224463,242356,227102,221227,218056,242101,259146,257710,179462,232534,234141
"19175","Union, IA",412785,438122,437448,499831,503859,513845,502944,514075,523856,562618,567334,567751,581716,578016,562082,541249,521452,535762
"19177","Van Buren, IA",152443,164794,179395,221708,215163,240642,236671,235347,222118,228899,229484,269206,238291,252799,222327,207442,206315,223794
"19179","Wapello, IA",1399718,1404393,1436058,1480116,1409940,1536204,1618921,1715631,1688095,1596754,1475178,1574706,1599890,1568775,1648982,1572369,1597865,1628245
"19181","Warren, IA",692784,725346,735721,788674,785282,796425,810367,840794,862507,862602,905803,944035,947434,953666,975289,995315,1017135,1042882
"19183","Washington, IA",561917,581152,591402,644303,640161,711476,710490,751458,726393,792396,871981,949893,968177,1070505,1024688,934993,1084028,1151368
"19185","Wayne, IA",134774,157565,157556,171704,168924,173651,176893,186318,196640,190225,208664,199143,237650,222643,214416,219054,224788,235082
"19187","Webster, IA",2079362,2103868,2097322,2089549,1986970,2040333,1904746,2032000,1985154,2216055,2442610,2246486,2232629,2088922,2194846,2137710,2074199,2097183
"19189","Winnebago, IA",334645,347544,348924,390038,384655,407566,447386,447916,388346,442564,454841,448440,413050,441008,473931,416167,436815,431395
"19191","Winneshiek, IA",747320,768439,791055,839809,835693,840585,842313,859433,796160,866141,886142,893058,971909,955340,1059596,1063400,953582,988435
"19193","Woodbury, IA",4601173,4591389,4771728,5121054,5335961,5416802,5577841,5876078,5289351,5165517,4950181,4818419,4888100,4834408,5044728,4941052,4618402,4770518
"19195","Worth, IA",160839,185035,185244,221370,218075,369611,410562,367747,316548,337472,345917,330856,419692,492953,461492,372315,338045,356108
"19197","Wright, IA",511650,549186,547434,603509,597098,631459,670884,684409,614868,638341,734874,743024,750825,955112,980932,889787,909568,958690
"26001","Alcona, MI",202603,209600,216157,212082,214268,222277,219007,202553,199185,197737,203691,198950,202918,203116,207680,215680,228716,234458
"26003","Alger, MI",290497,293646,296180,286125,275335,273388,256245,228384,218989,217190,216693,226489,240719,246147,252524,249362,248816,257950
"26005","Allegan, MI",3481975,3530756,3613442,3807582,3797126,3884265,3853915,3741660,3413120,3552701,3696340,3569240,3731062,3696329,3794810,3957389,4025184,4429115
"26007","Alpena, MI",991931,1002573,1003293,1031865,1059949,1049005,1009536,983341,975214,1019927,1061352,969577,970698,967724,984917,973702,1002334,1013753
"26009","Antrim, MI",534068,559400,548995,562422,558606,574953,573515,511083,473739,466535,477135,481329,479768,499692,513450,512301,536896,560544
