Annual taxable retail sales in nominal dollars by county (see previous page for cities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa Department of Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Sales and Use Tax Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latest publication date:  December, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS,Area Name,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
19039,Clarke,"19,813,490","24,229,476","26,061,572","32,357,307","34,501,568","36,225,227","35,400,973","33,104,387","33,769,564","32,874,024","34,915,804","36,116,183","37,710,655","38,771,783","39,949,115","42,038,242","43,737,541","43,333,094","41,602,383","40,189,492","42,456,713","44,714,813","45,831,073","49,428,279","55,021,311","56,656,751","56,679,522","55,270,933","51,489,046","52,401,503","53,767,616","53,199,788","56,519,531","69,370,642","67,888,108","68,149,703","71,641,408","70,880,941","73,223,108"
19041,Clay,"80,537,586","86,758,553","92,962,968","105,444,834","116,553,219","116,969,616","116,613,947","116,036,105","116,118,568","110,967,404","103,358,149","111,656,058","112,864,688","120,451,794","123,381,096","127,074,950","127,791,587","132,725,583","142,985,734","150,009,303","157,787,870","167,854,453","172,630,980","182,706,908","200,287,506","216,016,275","213,396,654","204,939,786","199,783,017","204,682,150","222,710,206","252,587,711","268,927,918","264,592,901","252,947,229","264,021,074","278,297,076","277,255,108","282,597,052"
19043,Clayton,"43,397,701","49,370,604","54,432,228","63,849,415","74,338,602","68,753,130","68,374,369","69,413,945","67,005,827","61,938,333","58,819,389","62,897,113","63,786,213","60,876,027","60,937,383","64,053,796","67,948,585","68,094,649","70,507,030","72,757,754","76,469,668","78,546,349","76,072,790","81,441,571","85,216,957","87,351,689","88,920,502","86,537,908","83,679,673","88,895,162","89,973,636","100,320,363","106,918,595","103,955,147","102,062,809","106,093,881","118,389,161","121,331,710","125,321,264"
19045,Clinton,"150,603,188","166,084,685","182,322,209","203,942,573","222,242,029","230,139,953","234,645,471","233,964,183","236,766,031","235,199,665","242,173,371","245,522,350","257,882,716","274,838,353","277,530,832","289,727,435","295,938,591","305,704,369","312,873,990","320,300,191","336,671,734","347,658,249","341,938,290","356,587,970","361,945,330","402,230,597","385,226,458","383,598,515","386,769,565","404,616,684","472,977,013","494,700,177","522,201,400","504,336,345","475,987,205","462,113,436","455,442,972","455,953,097","452,752,243"
19047,Crawford,"41,623,348","46,803,135","51,350,041","60,242,323","69,010,780","67,274,372","66,428,294","70,762,957","70,421,277","69,823,287","68,859,191","72,794,062","72,429,665","72,298,644","73,755,559","77,120,372","82,667,035","84,867,774","86,676,660","89,846,526","91,071,833","94,296,051","93,505,253","96,727,734","98,775,409","98,155,048","100,960,262","97,521,279","98,254,447","98,749,867","101,172,344","103,353,480","106,609,531","108,070,504","109,300,240","112,746,064","116,127,797","116,243,042","119,741,557"
19049,Dallas,"64,693,896","77,806,757","78,782,941","91,428,102","99,691,736","100,277,485","101,526,883","102,818,891","106,622,948","105,651,356","96,857,005","96,901,727","95,672,875","100,270,426","103,893,581","110,874,770","112,593,667","116,057,744","121,578,538","126,939,484","137,059,500","142,718,251","152,975,204","180,542,346","219,782,044","265,183,156","285,140,313","319,881,132","340,928,316","561,895,942","674,507,934","747,189,614","824,680,294","953,122,701","894,959,940","946,448,054","1,097,524,460","1,052,077,895","1,082,613,103"
19051,Davis,"14,551,652","17,666,931","18,326,593","21,701,380","25,007,164","25,403,124","26,321,830","25,415,485","24,229,800","24,456,901","26,293,015","26,547,015","26,479,627","27,093,366","26,774,813","28,874,500","29,491,196","29,991,399","30,351,335","30,365,740","31,348,821","35,151,355","36,019,389","35,673,349","36,225,940","37,899,375","40,492,524","39,660,702","38,723,624","39,405,954","40,405,952","40,725,494","44,522,509","44,495,506","43,847,461","43,699,039","50,773,596","53,341,163","59,090,004"
19053,Decatur,"14,034,335","15,974,329","17,381,825","20,331,659","21,056,403","22,140,860","22,478,174","21,782,099","21,437,843","21,202,687","21,265,839","20,901,919","21,097,371","21,450,292","20,999,116","22,570,660","22,833,700","22,816,551","28,825,479","23,015,182","22,511,295","23,210,454","25,173,625","26,448,954","27,582,253","28,681,221","29,119,155","28,773,657","28,133,989","28,526,640","29,545,110","32,344,900","32,389,925","31,830,970","30,794,795","32,713,008","33,936,251","32,965,812","35,770,511"
19055,Delaware,"40,359,489","45,113,491","49,421,367","57,645,481","63,985,203","61,870,488","62,753,393","65,125,695","62,675,769","62,261,527","60,705,575","63,559,138","69,664,103","63,059,449","64,708,702","74,124,550","77,719,951","78,655,393","82,611,260","84,675,162","85,156,822","87,894,423","91,034,530","95,775,386","98,782,917","102,902,698","101,011,842","99,142,338","99,706,285","97,771,356","97,621,877","102,629,836","109,893,599","114,367,309","109,939,441","110,282,250","120,708,193","123,425,973","125,403,173"
19057,Des Moines,"135,787,229","155,191,583","177,350,218","192,748,310","215,638,680","217,058,713","221,686,640","228,115,465","227,370,234","235,631,594","245,782,757","259,975,067","276,076,445","291,553,958","296,298,792","314,629,429","334,833,500","342,955,578","366,353,346","373,784,803","383,069,869","403,309,010","409,795,306","440,445,596","449,413,139","447,501,711","440,392,198","444,171,984","455,094,191","438,866,748","450,308,119","479,548,003","483,147,659","501,231,108","489,044,889","495,348,228","513,556,526","509,417,378","533,727,275"
19059,Dickinson,"45,758,569","54,770,404","59,820,608","65,431,487","69,619,980","67,682,087","69,541,428","73,473,730","79,207,612","80,277,769","80,051,290","88,075,951","95,855,291","104,846,328","118,654,242","128,756,236","133,462,197","146,522,397","147,632,115","161,386,793","165,138,675","174,070,514","180,990,639","192,133,137","207,816,855","217,392,279","218,974,152","229,435,569","225,727,492","233,066,217","243,906,679","250,902,593","258,438,932","249,589,243","241,921,251","247,236,129","265,503,729","267,373,474","284,752,328"
19061,Dubuque,"274,040,608","303,949,276","349,310,617","389,422,795","422,979,290","424,538,648","425,435,038","432,477,682","450,331,281","458,929,601","476,717,547","500,637,863","532,984,704","552,600,874","580,912,666","612,067,659","647,830,816","685,364,787","711,728,975","778,315,153","800,495,892","814,489,200","832,202,405","881,589,789","923,934,608","946,151,754","946,236,385","959,935,236","993,191,435","1,035,094,909","1,086,906,276","1,109,417,946","1,132,135,744","1,105,824,889","1,113,590,460","1,162,499,417","1,225,151,160","1,227,470,232","1,240,664,593"
19063,Emmet,"40,986,856","43,863,081","46,998,202","52,490,186","57,357,847","59,054,969","57,858,224","55,111,468","57,446,999","52,764,753","53,220,103","60,219,679","59,074,291","62,448,079","64,341,527","64,978,412","66,467,229","69,290,949","71,957,862","72,519,402","76,842,664","80,459,110","81,267,979","84,153,135","87,491,169","91,227,867","88,057,913","89,376,207","83,858,678","76,060,708","77,237,141","78,934,669","81,590,139","85,219,443","80,564,694","79,977,279","81,235,168","79,347,736","83,135,785"
19065,Fayette,"68,721,523","79,003,162","84,654,014","94,050,725","104,585,972","101,717,314","103,483,978","102,408,232","100,245,376","96,347,129","97,464,001","100,924,390","96,758,937","97,283,282","99,223,178","104,411,653","106,353,869","109,107,646","111,574,358","114,539,841","116,223,639","120,420,182","121,401,768","122,341,974","127,554,334","136,368,440","126,657,464","115,669,295","109,430,994","111,759,610","110,172,785","113,723,256","113,975,399","119,143,934","116,793,946","120,362,787","127,312,743","124,439,382","128,082,765"
19067,Floyd,"49,570,540","55,378,020","61,305,288","67,801,877","73,091,062","71,609,483","75,861,529","75,137,958","75,558,146","73,572,552","68,928,103","71,810,134","73,183,192","77,237,039","77,878,923","78,994,921","83,170,022","85,729,367","84,039,848","82,283,013","89,625,014","98,699,114","100,885,219","99,495,898","102,647,843","101,444,768","95,655,152","96,732,054","97,795,232","93,934,979","91,748,742","99,581,723","104,941,024","103,732,732","100,980,189","102,641,848","109,743,327","113,565,019","118,766,637"
19069,Franklin,"38,258,684","42,098,664","49,817,576","55,184,466","58,565,111","57,434,255","56,425,527","57,480,870","49,099,288","48,763,583","45,788,256","54,099,885","48,784,263","47,038,095","43,724,289","46,177,066","48,961,806","47,646,485","49,054,564","50,374,236","52,821,078","54,950,598","55,934,982","54,704,034","52,787,954","58,441,782","55,424,691","53,751,260","50,321,894","48,953,128","56,076,816","54,081,876","58,281,892","64,307,017","64,635,407","65,389,556","85,640,450","70,479,830","71,919,245"
19071,Fremont,"15,316,998","18,198,139","17,479,546","21,028,837","24,176,462","25,910,732","28,091,118","29,153,108","29,384,111","30,557,169","27,960,271","29,259,331","27,780,088","27,455,059","26,564,631","26,873,331","31,554,222","36,825,476","38,986,364","35,664,377","41,013,430","40,711,726","40,657,031","44,946,190","49,644,116","50,398,179","51,470,703","51,836,116","53,228,338","53,463,628","53,693,868","53,447,199","54,988,239","51,076,715","50,326,378","51,712,557","59,558,806","65,288,952","67,245,556"
19073,Greene,"32,606,328","36,124,527","36,139,219","43,963,699","50,659,290","48,186,305","46,483,698","49,300,259","48,727,923","45,996,417","43,531,376","45,003,675","44,087,470","44,624,504","45,294,838","45,501,610","49,296,248","53,467,260","55,506,733","54,941,607","56,466,690","58,746,066","59,767,357","61,317,086","62,581,176","60,021,422","60,625,267","59,785,166","56,536,124","55,514,175","57,250,901","58,085,825","58,597,537","59,746,920","60,719,116","58,964,988","66,313,761","65,818,190","69,596,955"
19075,Grundy,"35,707,530","39,539,994","38,279,293","43,350,028","47,933,158","47,445,880","49,139,012","49,764,095","45,725,199","45,005,533","40,360,223","42,689,286","40,188,920","37,681,733","36,479,539","38,791,466","40,710,966","42,419,126","43,523,543","44,868,839","45,948,267","47,495,690","47,849,821","51,237,073","54,211,919","55,622,521","57,105,299","58,546,246","59,775,546","62,581,870","62,026,200","62,113,262","64,351,985","70,309,802","68,014,642","67,925,030","69,198,866","66,136,430","68,102,884"
19077,Guthrie,"21,912,238","25,217,381","27,930,622","32,832,651","37,298,224","34,516,366","35,155,778","37,520,352","37,256,200","35,641,528","33,740,367","34,897,902","35,772,327","38,775,083","39,222,264","40,553,997","42,293,680","41,562,035","44,219,342","46,901,922","48,409,124","49,185,528","49,218,445","53,383,754","54,485,463","52,416,961","54,651,599","54,673,671","52,719,418","52,354,561","53,372,756","53,078,195","55,340,018","57,333,503","56,512,658","56,417,183","61,003,214","59,913,080","62,384,437"
19079,Hamilton,"53,820,234","55,692,206","59,144,117","67,736,661","74,908,504","70,898,706","71,708,643","74,433,265","73,077,496","71,253,848","68,967,727","71,243,520","73,383,701","75,320,249","76,527,624","80,892,682","78,336,948","80,018,835","82,563,733","84,412,956","88,121,404","85,288,420","85,858,280","88,159,305","89,663,837","93,488,720","90,625,507","88,371,298","87,409,904","86,713,394","92,110,857","94,222,065","97,695,179","97,067,456","94,302,021","95,015,229","97,131,631","96,877,715","102,403,175"
19081,Hancock,"36,507,410","41,375,369","43,088,009","51,087,345","56,077,009","51,868,488","50,918,946","53,271,668","51,750,356","48,701,634","46,921,661","48,961,905","48,299,808","48,577,353","46,044,149","46,417,792","46,440,912","47,899,431","49,510,070","51,118,868","52,774,302","53,223,279","52,518,415","54,961,404","56,049,176","60,784,134","63,311,356","66,113,533","62,313,150","61,649,214","64,432,046","62,832,605","66,218,306","71,426,192","78,015,811","82,355,525","85,765,840","80,163,720","83,866,041"
19083,Hardin,"73,215,151","83,973,306","84,221,078","100,762,366","109,943,550","105,757,404","105,573,609","107,894,473","107,355,143","102,353,650","99,720,990","99,312,437","101,216,473","98,835,975","99,666,820","105,451,370","108,945,512","110,798,073","117,140,807","127,901,809","130,469,372","138,762,883","144,272,526","147,543,560","149,655,790","149,796,046","151,629,078","143,661,432","151,418,294","138,098,447","136,937,657","155,755,128","154,582,579","154,724,070","146,211,903","139,967,183","148,015,935","145,206,479","156,789,230"
19085,Harrison,"31,336,619","34,435,078","35,868,562","44,639,639","49,710,004","49,021,284","45,940,579","48,788,061","49,030,864","46,160,777","46,044,158","48,893,808","44,282,408","43,677,386","44,659,124","46,675,583","49,574,963","52,630,356","49,272,094","51,556,368","52,873,935","55,536,558","56,489,291","63,112,044","66,113,360","64,236,527","63,138,845","61,578,843","59,190,046","58,424,265","58,662,545","58,057,916","60,544,047","61,362,689","62,279,944","65,224,079","67,911,263","66,942,509","68,610,221"
19087,Henry,"51,973,829","60,880,587","64,648,231","69,837,111","76,242,825","74,959,790","74,958,791","80,218,885","79,323,375","82,510,769","85,064,584","95,874,934","97,686,578","101,703,057","101,760,243","110,023,717","114,791,660","118,648,772","104,360,770","106,680,804","112,849,074","110,440,876","116,357,679","134,721,997","123,869,055","127,062,516","130,854,604","126,057,581","129,740,685","143,287,567","138,733,360","148,606,438","160,819,087","157,653,353","152,157,545","156,644,288","160,806,761","161,762,975","170,093,413"
19089,Howard,"25,386,966","29,687,404","32,695,762","38,183,147","42,129,455","40,736,105","42,931,010","43,316,056","41,107,621","38,252,320","39,074,830","42,989,776","40,007,396","38,064,061","38,226,500","41,280,415","43,454,539","45,286,466","46,381,034","48,009,858","45,779,628","48,196,126","50,251,581","54,788,368","55,821,504","53,157,094","55,775,463","53,476,218","51,867,104","54,043,361","53,680,411","58,286,655","56,437,428","59,607,377","58,522,823","61,647,860","67,649,496","64,371,554","70,458,864"
19091,Humboldt,"37,130,332","39,839,300","41,294,390","46,995,683","53,193,457","51,845,377","53,308,266","52,427,983","51,737,736","49,631,495","47,261,252","49,335,113","51,422,123","51,981,085","52,986,560","51,764,851","52,207,514","54,597,746","55,109,638","55,739,595","57,498,899","60,960,820","63,757,576","65,364,126","66,646,077","65,705,540","71,887,497","65,164,075","61,482,319","62,371,408","68,804,593","72,286,583","71,623,933","68,311,192","68,388,865","69,639,104","75,851,343","73,874,953","77,006,340"
