FIPS,Area Name,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
1918435,Danville,"2,047,634","2,794,317","2,940,809","3,312,671","3,606,230","2,910,073","3,039,958","3,060,619","3,694,041","4,225,490","3,973,412","3,426,430","3,109,244","2,999,512","3,039,847","3,134,231","2,920,315","2,945,561","3,199,848","3,220,778","3,579,419","3,295,080","2,535,233","2,492,593","2,773,457","2,922,966","3,198,094","3,303,389","3,459,091","2,683,058","2,260,725","2,611,835","2,911,613","3,445,964","3,486,346","2,725,141","2,727,698","2,684,181","2,797,497"
1919000,Davenport,"392,174,942","433,450,540","496,031,734","551,948,648","605,001,782","619,314,482","645,724,955","655,204,854","687,279,614","731,927,052","752,752,120","763,491,916","810,701,194","844,509,308","964,066,549","1,013,653,751","1,085,034,102","1,088,750,090","1,149,025,541","1,208,770,110","1,287,558,665","1,331,232,303","1,419,639,931","1,460,525,887","1,526,237,606","1,585,291,025","1,565,292,616","1,664,513,089","1,768,854,603","1,801,345,705","1,827,486,927","1,849,753,965","1,871,246,566","1,941,569,241","1,869,097,441","1,929,768,329","1,981,388,579","1,980,795,499","2,024,019,978"
1919090,Davis City,"412,637","357,807","514,756","463,592","568,365","458,938","381,861","199,051","241,670","367,519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"297,410",NA,NA,NA,NA,NA,NA,NA,NA,"282,367","252,109","235,249","353,090","301,338","346,816","396,633","381,252","446,943","586,292"
1919135,Dawson,"249,111",NA,NA,"311,659","311,614","378,375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"206,871","308,674","371,775","358,595","304,396","319,382","275,794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919180,Dayton,"4,837,308","4,915,662","4,431,471","4,943,300","5,136,886","4,391,206","3,637,919","3,229,944","3,222,089","3,046,762","2,638,943","2,431,080","2,719,551","2,589,368","2,611,077","2,701,268","2,590,891","2,571,017","2,767,585","2,891,213","2,999,094","2,940,667","2,890,953","3,144,574","2,713,185","2,782,902","2,670,431","2,498,659","2,432,627","2,611,147","2,727,047","2,630,369","2,641,214","2,858,054","2,752,613","2,862,563","2,885,591","4,049,737","4,192,901"
1919360,Decatur City,"268,184","394,229","447,974","469,768","559,390","584,746","578,906","611,296","735,979","964,107","901,196","844,421","883,928","1,243,585","789,587","1,088,005","1,187,901","1,040,322","1,187,483","907,453","1,109,209","1,037,863","1,054,704","1,073,446","830,471","853,316","1,034,535",NA,NA,"1,123,485","1,212,304","2,126,616","1,708,665","1,553,945","1,600,734","2,023,733","2,197,112","1,569,063","1,285,484"
1919405,Decorah,"27,658,209","30,406,578","34,661,104","40,151,702","45,431,839","46,982,180","49,515,795","52,402,484","53,717,464","54,435,664","55,775,057","64,816,306","69,351,477","73,496,220","78,673,258","81,221,984","83,974,749","86,599,683","92,251,042","97,273,458","100,592,157","106,996,187","110,174,115","117,753,520","122,470,436","127,145,985","127,159,092","123,595,907","126,329,872","136,479,181","144,786,128","153,839,113","159,136,559","170,629,802","154,970,921","152,804,067","161,427,671","163,474,060","168,508,527"
1919450,Dedham,"879,775","1,121,328","1,233,163","1,266,650","1,095,717","1,079,961","1,223,761","1,234,857","1,087,789","1,003,779","1,142,649","1,115,434","1,302,103","1,045,315","906,695","993,187","977,994","954,089","1,028,383","1,162,741","1,190,983","1,156,727","1,213,112","1,221,041","1,219,231","1,097,400","1,151,270","1,104,199","1,119,737","1,133,026","1,288,477","1,159,826","1,396,157","1,524,466","1,548,819","1,374,795","1,486,353","1,087,290","997,453"
1919495,Deep River,"467,113","555,286","583,831","694,001","861,757","697,130","624,058","736,462","718,538","750,089","688,701","714,913","836,387","838,699","751,318","807,495","698,549","678,298","729,354","765,862","820,278","867,440","886,676","865,957","509,561","666,619","718,662","787,754","863,665","775,128","877,595","856,784","850,811","763,784","808,558","779,600","864,084","857,751","847,447"
1919585,Defiance,"681,216","680,361","747,034","987,773","1,099,747","890,021","1,011,599","975,191","869,301","1,034,237","1,001,251","1,101,748","1,065,060","929,411","984,119","1,095,224","1,004,050","1,135,478","1,217,356","1,261,303","1,399,804","1,555,301","1,597,262","1,781,055","1,517,979","1,531,574","1,611,597","1,561,664","1,778,340","1,911,017","2,035,274","2,008,566","2,047,332","1,804,849","1,670,290","1,765,631","2,381,491","2,508,374","2,635,631"
1919630,Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919675,Delhi,"1,064,526","1,271,333","1,637,431","2,050,623","2,066,428","2,095,520","1,892,282","2,032,594","1,681,193","1,518,615","1,504,638","1,725,347","1,698,569","2,001,064","2,469,807","2,699,516","2,692,075","2,922,343","2,671,583","2,498,579","2,303,992","2,115,977","2,247,001","2,854,563","2,972,921","4,169,241","5,123,128","4,920,948","5,485,486","6,614,107","7,659,826","8,162,778","8,756,999","8,692,843","8,867,514","7,513,280","7,486,185","8,161,823","8,662,604"
1919720,Delmar,"295,441","334,056","344,445","351,984","483,963","463,996","405,796","434,299","307,304","453,790","609,253","651,169","622,136","576,689","469,749","445,290","548,086","651,170","492,685","727,276","633,119","760,870","760,218","898,478","1,110,745","988,169","1,011,432","1,236,413","1,030,045","1,067,420","1,140,354","1,120,123","1,123,790","1,229,962","1,383,559","1,547,320","1,771,142","1,598,689","1,428,861"
1919765,Deloit,NA,NA,NA,NA,"259,923",NA,NA,NA,NA,NA,"293,026",NA,NA,"280,767","314,953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919810,Delphos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919855,Delta,"191,194","271,335","303,967","333,748","359,285","441,957","347,087","302,248","300,991","284,586","268,637","168,080","153,539","210,430","210,402",NA,NA,NA,NA,NA,"320,595","371,946","351,171","357,139","312,258","314,547","307,860","341,073","416,602",NA,NA,NA,"554,318","675,273","939,414","1,340,649","1,325,573","965,196","623,825"
1919945,Denison,"29,480,193","32,569,252","34,013,416","40,046,644","46,503,222","46,883,859","46,669,454","48,963,818","50,891,754","51,077,917","50,082,900","53,169,115","55,637,615","55,837,364","56,795,746","58,110,371","63,297,437","65,714,030","67,491,490","72,005,032","72,876,864","75,759,593","76,133,388","79,810,089","81,520,075","79,949,344","81,133,865","79,084,578","80,244,527","80,870,635","83,800,910","83,837,647","87,738,561","89,455,298","89,587,133","93,417,756","96,088,804","96,600,414","100,211,168"
1920035,Denver,"2,727,456","3,194,404","3,640,688","4,118,008","5,233,714","5,451,718","5,049,822","5,496,055","5,446,339","5,526,307","6,015,765","6,527,574","6,898,165","7,102,918","7,412,142","7,901,531","8,698,471","9,699,986","10,910,192","11,150,568","11,689,474","12,181,211","13,081,911","13,491,722","13,694,397","12,475,268","13,425,691","13,483,494","14,329,497","14,244,693","12,757,769","13,630,183","12,962,015","16,328,471","14,514,107","15,126,770","15,554,477","14,629,164","13,977,442"
1920125,Derby,NA,NA,"180,072","253,158","290,531","342,656","365,580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921000,Des Moines,"1,178,734,141","1,296,091,303","1,424,729,163","1,562,350,230","1,722,059,490","1,721,818,307","1,793,242,376","1,882,820,521","2,085,180,226","2,179,700,737","2,338,397,142","2,510,607,241","2,680,613,505","2,912,867,036","3,049,652,529","3,096,127,956","3,196,639,610","3,364,582,977","3,554,182,917","3,682,983,881","3,844,208,882","3,935,454,815","3,944,053,446","4,054,937,130","4,108,036,811","3,994,641,712","3,789,650,487","3,713,237,865","3,492,314,625","3,418,062,718","3,502,627,095","3,418,123,138","3,470,691,016","3,300,122,806","3,107,944,517","3,195,128,388","3,264,362,488","3,325,445,763","3,439,860,062"
1921045,De Soto,"457,930","652,820","805,800","783,154","822,362","948,772","842,219","785,129","1,050,867","1,380,889","1,699,322","1,309,051","1,644,244","1,629,551","1,814,236","1,593,679","2,051,253","2,720,339","2,635,752","2,486,544","2,399,655","2,139,995","2,422,076","2,533,559","2,662,631","2,645,442","2,732,607","3,426,357","3,822,796","4,307,038","4,400,849","5,157,199","5,901,946","4,212,497","3,878,655","3,999,268","4,623,611","4,498,323","4,534,280"
1921180,De Witt,"17,288,611","18,733,044","20,431,346","23,295,101","26,421,301","25,317,074","27,882,619","28,136,239","28,240,330","26,495,444","25,830,129","25,834,766","28,869,441","31,644,681","30,563,911","30,175,084","30,493,058","32,471,784","34,918,940","36,444,838","41,330,988","44,397,439","43,825,837","46,027,492","47,589,145","43,572,551","50,921,244","63,952,210","67,648,862","64,777,949","70,019,402","61,290,486","71,248,885","73,555,224","63,899,416","51,549,999","55,064,128","54,254,621","56,490,162"
