fips,name,st,county,rucc,pop_2010
1911755,Cedar Falls,Iowa,19013,3,39260
1912315,Centerville,Iowa,19007,7,5528
1912720,Chariton,Iowa,19117,6,4321
1912765,Charles City,Iowa,19067,7,7652
1913080,Cherokee,Iowa,19035,6,5253
1913575,Clarinda,Iowa,19145,6,5572
1913620,Clarion,Iowa,19197,7,2850
1913755,Clarksville,Iowa,19023,8,1439
1914025,Clear Lake,Iowa,19033,5,7777
1914430,Clinton,Iowa,19045,4,26885
1915060,Colfax,Iowa,19099,6,2093
1916050,Coon Rapids,Iowa,19027,7,1305
1916500,Corning,Iowa,19003,9,1635
1916545,Correctionville,Iowa,19193,3,821
1916635,Corydon,Iowa,19185,9,1585
1917220,Cresco,Iowa,19089,6,3868
1917265,Creston,Iowa,19175,6,7834
1919405,Decorah,Iowa,19191,7,8127
1919945,Denison,Iowa,19047,7,8298
1921180,De Witt,Iowa,19045,4,5322
1922395,Dubuque,Iowa,19061,3,57637
1923115,Dyersville,Iowa,19061,3,4058
1923250,Eagle Grove,Iowa,19197,7,3583
1924420,Eldon,Iowa,19179,5,927
1924465,Eldora,Iowa,19083,6,2732
1924690,Elkader,Iowa,19043,8,1273
1925590,Emmetsburg,Iowa,19147,7,3904
1925860,Estherville,Iowa,19063,7,6360
1926265,Exira,Iowa,19009,8,840
1926445,Fairfield,Iowa,19101,7,9464
1927165,Fayette,Iowa,19065,6,1338
1928380,Forest City,Iowa,19189,7,4151
1928515,Fort Dodge,Iowa,19187,5,25206
1928605,Fort Madison,Iowa,19111,5,11051
1929955,Garner,Iowa,19081,7,3129
1930225,George,Iowa,19119,8,1080
1931710,Gowrie,Iowa,19187,5,1037
1931980,Grand Junction,Iowa,19073,6,824
1932745,Greene,Iowa,19023,8,1130
1932790,Greenfield,Iowa,19001,8,1982
1933105,Grinnell,Iowa,19157,7,9218
1933150,Griswold,Iowa,19029,6,1036
1933195,Grundy Center,Iowa,19075,3,2706
1933465,Guttenberg,Iowa,19043,8,1919
1933780,Hamburg,Iowa,19071,8,1187
1933960,Hampton,Iowa,19069,7,4461
1934500,Harlan,Iowa,19165,6,5106
1934725,Hartley,Iowa,19141,7,1672
1935265,Hawarden,Iowa,19167,7,2546
1936840,Holstein,Iowa,19093,8,1396
1937515,Hull,Iowa,19167,7,2175
1937560,Humboldt,Iowa,19091,7,4690
1938010,Ida Grove,Iowa,19093,8,2142
1938100,Independence,Iowa,19019,6,5966
1938640,Iowa Falls,Iowa,19083,6,5238
1939450,Jefferson,Iowa,19073,6,4345
1939675,Jewell Junction,Iowa,19079,6,1215
1940845,Keokuk,Iowa,19111,5,10780
1940935,Keosauqua,Iowa,19177,9,1006
1940980,Keota,Iowa,19107,8,1009
1941385,Kingsley,Iowa,19149,3,1411
1942015,Knoxville,Iowa,19125,6,7313
1942465,Lake City,Iowa,19025,9,1727
1942555,Lake Mills,Iowa,19189,7,2100
1942690,Lake View,Iowa,19161,9,1142
1942960,Lamoni,Iowa,19053,9,2324
1943275,Lansing,Iowa,19005,6,999
1943365,La Porte City,Iowa,19013,3,2285
1943725,Laurens,Iowa,19151,9,1258
1944400,Le Mars,Iowa,19149,3,9826
1944490,Lenox,Iowa,19173,9,1407
1944535,Leon,Iowa,19053,9,1977
1948000,McGregor,Iowa,19043,8,871
1948450,Madrid,Iowa,19015,6,2543
1948810,Manchester,Iowa,19055,6,5179
1948855,Manilla,Iowa,19047,7,776
1948900,Manly,Iowa,19195,9,1323
1948945,Manning,Iowa,19027,7,1500
1948990,Manson,Iowa,19025,9,1690
1949170,Mapleton,Iowa,19133,6,1224
1949215,Maquoketa,Iowa,19097,6,6141
1949350,Marcus,Iowa,19035,6,1117
1949395,Marengo,Iowa,19095,6,2528
1949755,Marshalltown,Iowa,19127,4,27552
1950160,Mason City,Iowa,19033,5,28079
1950935,Melcher-Dallas,Iowa,19125,6,1288
1952095,Milford,Iowa,19059,7,2898
1953310,Monona,Iowa,19043,8,1549
1953355,Monroe,Iowa,19099,6,1830
1953490,Montezuma,Iowa,19157,7,1462
1954480,Mount Ayr,Iowa,19159,9,1691
1954705,Mount Pleasant,Iowa,19087,6,8668
1955110,Muscatine,Iowa,19139,4,22886
1955335,Nashua,Iowa,19037,6,1663
1955695,Nevada,Iowa,19169,3,6798
1956100,New Hampton,Iowa,19037,6,3571
1956325,New London,Iowa,19087,6,1897
1956460,New Sharon,Iowa,19123,7,1293
1956505,Newton,Iowa,19099,6,15254
1956910,Nora Springs,Iowa,19067,7,1431
1957630,Northwood,Iowa,19195,9,1989
1958575,Odebolt,Iowa,19161,9,1013
1958620,Oelwein,Iowa,19065,6,6415
1958665,Ogden,Iowa,19015,6,2044
1959115,Onawa,Iowa,19133,6,2998
1959475,Orange City,Iowa,19167,7,6004
1959745,Osage,Iowa,19131,7,3619
1959835,Osceola,Iowa,19039,6,4929
1959925,Oskaloosa,Iowa,19123,7,11463
1960465,Ottumwa,Iowa,19179,5,25023
1961590,Parkersburg,Iowa,19023,8,1870
1961905,Paullina,Iowa,19141,7,1056
1962040,Pella,Iowa,19125,6,10352
1963975,Pocahontas,Iowa,19151,9,1789
1964290,Postville,Iowa,19005,6,2227
1964650,Primghar,Iowa,19141,7,909
1966135,Red Oak,Iowa,19137,6,5742
1966315,Reinbeck,Iowa,19075,3,1664
1966405,Remsen,Iowa,19149,3,1663
1968070,Rockford,Iowa,19067,7,860
1968160,Rock Rapids,Iowa,19119,8,2549
1968205,Rock Valley,Iowa,19167,7,3354
1968295,Rockwell City,Iowa,19025,9,1709
1969645,Sac City,Iowa,19161,9,2220
1970410,Sanborn,Iowa,19141,7,1404
1972210,Sheffield,Iowa,19069,7,1172
1972390,Sheldon,Iowa,19141,7,5188
1972525,Shenandoah,Iowa,19145,6,5150
1972975,Sibley,Iowa,19143,7,2798
1973065,Sidney,Iowa,19071,8,1138
1973110,Sigourney,Iowa,19107,8,2059
1973290,Sioux Center,Iowa,19167,7,7048
1973425,Sioux Rapids,Iowa,19021,7,775
1974280,Spencer,Iowa,19041,7,11233
1974415,Spirit Lake,Iowa,19059,7,4840
1975135,State Center,Iowa,19127,4,1468
1975630,Storm Lake,Iowa,19021,7,10600
1975675,Story City,Iowa,19169,3,3431
1975855,Strawberry Point,Iowa,19043,8,1279
1976260,Sumner,Iowa,19017,3,2028
1976935,Tabor,Iowa,19071,8,1040
1977115,Tama,Iowa,19171,6,2877
1978285,Tipton,Iowa,19031,6,3221
1978510,Toledo,Iowa,19171,6,2341
1978735,Traer,Iowa,19171,6,1703
1978915,Tripoli,Iowa,19017,3,1313
1980985,Villisca,Iowa,19137,6,1252
1982200,Wapello,Iowa,19115,8,2067
1982335,Washington,Iowa,19183,3,7266
1982740,Waukon,Iowa,19005,6,3897
1982875,Waverly,Iowa,19017,3,9874
1983145,Webster City,Iowa,19079,6,8070
1983280,Wellman,Iowa,19183,3,1408
1983685,West Burlington,Iowa,19057,5,2968
1984315,West Liberty,Iowa,19139,4,3736
1984765,West Union,Iowa,19065,6,2486
1985845,Williamsburg,Iowa,19095,6,3068
1986070,Wilton,Iowa,19139,4,2802
2301360,Anson,Maine,23025,6,2511
2302060,Auburn,Maine,23001,3,23055
2302100,Augusta,Maine,23011,4,19136
2302795,Bangor,Maine,23019,3,33039
2302830,Bar Harbor,Maine,23009,6,5235
2303950,Belfast,Maine,23027,6,6668
2304965,Bingham,Maine,23025,6,922
2305665,Blue Hill,Maine,23009,6,2686
2306085,Boothbay Harbor,Maine,23015,8,2165
2306925,Brewer,Maine,23019,3,9482
2308780,Bucksport,Maine,23009,6,4924
2309585,Calais,Maine,23029,7,3123
2309690,Camden,Maine,23013,7,4850
2310565,Caribou,Maine,23003,7,8189
2313435,Clinton,Maine,23011,4,3486
2317495,Dexter,Maine,23019,3,3895
2317705,Dixfield,Maine,23017,6,2550
2318230,Dover-Foxcroft,Maine,23021,8,4213
2321065,East Millinocket,Maine,23019,3,1723
2321730,Eastport,Maine,23029,7,1331
2323200,Ellsworth,Maine,23009,6,7741
2324285,Fairfield,Maine,23025,6,6735
2324285,Fairfield,Maine,23025,6,0
2324635,Farmingdale,Maine,23011,4,2956
2324740,Farmington,Maine,23007,6,7760
2325580,Fort Fairfield,Maine,23003,7,3496
2325580,Fort Fairfield,Maine,23003,7,0
2325720,Fort Kent,Maine,23003,7,4097
2326875,Fryeburg,Maine,23017,6,3449
2327085,Gardiner,Maine,23011,4,5800
2329500,Greenville,Maine,23021,8,1646
2330060,Guilford,Maine,23021,8,1521
2330550,Hallowell,Maine,23011,4,2381
2330760,Hampden,Maine,23019,3,7257
2331705,Hartland,Maine,23025,6,1782
2333945,Houlton,Maine,23003,7,6123
2334225,Howland,Maine,23019,3,1241
2338740,Lewiston,Maine,23001,3,36592
2339265,Limestone,Maine,23003,7,2314
2339440,Lincoln,Maine,23019,3,45
2339440,Lincoln,Maine,23019,3,5085
2340735,Livermore Falls,Maine,23001,3,3187
2341925,Machias,Maine,23029,7,2221
2342485,Madawaska,Maine,23003,7,4035
2342625,Madison,Maine,23025,6,4855
2342625,Madison,Maine,23025,6,0
2343675,Mars Hill,Maine,23003,7,1493
2344620,Mechanic Falls,Maine,23001,3,3031
2345250,Mexico,Maine,23017,6,2681
2345635,Milford,Maine,23019,3,3070
2345845,Millinocket,Maine,23019,3,4506
2345985,Milo,Maine,23021,8,2340
2349100,Newport,Maine,23019,3,3275
2349800,Norridgewock,Maine,23025,6,3367
2353965,Norway,Maine,23017,6,5014
2354525,Oakland,Maine,23011,4,6240
2355225,Old Town,Maine,23019,3,7840
2355575,Orono,Maine,23019,3,10362
2356240,Oxford,Maine,23017,6,4110
2358970,Pittsfield,Maine,23025,6,4215
2360825,Presque Isle,Maine,23003,7,9692
2361735,Randolph,Maine,23011,4,1772
2363590,Rockland,Maine,23013,7,7297
2364255,Rumford,Maine,23017,6,5841
2366600,Searsport,Maine,23027,6,2615
2368875,Skowhegan,Maine,23025,6,8589
2376330,Thomaston,Maine,23013,7,2781
2378535,Van Buren,Maine,23003,7,2171
2379515,Waldoboro,Maine,23015,8,5075
2380250,Washburn,Maine,23003,7,1687
2380740,Waterville,Maine,23011,4,15722
2385815,Wilton,Maine,23007,6,4116
2386480,Winslow,Maine,23011,4,7794
2386725,Winterport,Maine,23027,6,3757
2386935,Winthrop,Maine,23011,4,6092
2387040,Wiscasset,Maine,23015,8,3732
2387250,Woodland,Maine,23029,7,1213
2600440,Adrian,Michigan,26091,4,21133
2600980,Albion,Michigan,26025,3,8616
2601260,Allegan,Michigan,26005,4,4998
2601540,Alma,Michigan,26057,6,9383
2601740,Alpena,Michigan,26007,7,10483
2604740,Bad Axe,Michigan,26063,7,3129
2605320,Baraga,Michigan,26013,9,2053
2605920,Battle Creek,Michigan,26025,3,52347
2606020,Bay City,Michigan,26017,3,34932
2606900,Belding,Michigan,26067,4,5757
2607520,Benton Harbor,Michigan,26021,3,10038
2607860,Berrien Springs,Michigan,26021,3,1800
2607960,Bessemer,Michigan,26053,7,1905
2608300,Big Rapids,Michigan,26107,6,10601
2609000,Blissfield,Michigan,26091,4,3340
2609820,Boyne City,Michigan,26029,7,3735
2610860,Bronson,Michigan,26023,6,2349
2611400,Buchanan,Michigan,26021,3,4456
2612320,Cadillac,Michigan,26165,7,10355
2613420,Caro,Michigan,26157,6,4229
2613860,Caspian,Michigan,26071,7,906
2613880,Cass City,Michigan,26157,6,2428
2614780,Charlevoix,Michigan,26029,7,2513
2615000,Cheboygan,Michigan,26031,7,4867
2615140,Chesaning,Michigan,26145,3,2394
2615920,Clare,Michigan,26035,6,3118
2616480,Clinton,Michigan,26091,4,2336
2617020,Coldwater,Michigan,26023,6,10945
2617840,Constantine,Michigan,26149,4,2076
2618300,Corunna,Michigan,26155,4,3497
2618920,Croswell,Michigan,26151,6,2447
2619140,Crystal Falls,Michigan,26071,7,1469
2623380,Dundee,Michigan,26115,3,3957
2623500,Durand,Michigan,26155,4,3446
2624020,East Jordan,Michigan,26029,7,2351
2624420,East Tawas,Michigan,26069,7,2808
2626360,Escanaba,Michigan,26041,5,12616
2626420,Essexville,Michigan,26017,3,3478
2626640,Evart,Michigan,26133,9,1903
2630200,Frankenmuth,Michigan,26145,3,4944
2630260,Frankfort,Michigan,26019,9,1286
2630700,Fremont,Michigan,26123,6,4081
2631720,Gaylord,Michigan,26137,7,3645
2632300,Gladstone,Michigan,26041,5,4973
2632320,Gladwin,Michigan,26051,6,2933
2634640,Grayling,Michigan,26039,7,1884
2636300,Hancock,Michigan,26061,5,4634
2636460,Harbor Beach,Michigan,26063,7,1703
2636560,Harbor Springs,Michigan,26047,7,1194
2636920,Hart,Michigan,26127,6,2126
2638460,Hillsdale,Michigan,26059,6,8305
2638920,Homer,Michigan,26025,3,1668
2639360,Houghton,Michigan,26061,5,7708
2639720,Hudson,Michigan,26091,4,2307
2640860,Ionia,Michigan,26067,4,11394
2640960,Iron Mountain,Michigan,26043,7,7624
2640980,Iron River,Michigan,26071,7,3029
2641060,Ironwood,Michigan,26053,7,5387
2641220,Ishpeming,Michigan,26103,5,6470
2641340,Ithaca,Michigan,26057,6,2910
2641420,Jackson,Michigan,26075,3,33534
2641920,Jonesville,Michigan,26059,6,2258
2642260,Kalkaska,Michigan,26079,7,2020
2643300,Kingsford,Michigan,26043,7,5133
2644780,Lake Linden,Michigan,26061,5,1007
2644880,Lake Odessa,Michigan,26067,4,2018
2645540,L'Anse,Michigan,26013,9,2011
2646360,Laurium,Michigan,26061,5,1977
2649640,Ludington,Michigan,26105,7,8076
2650620,Mancelona,Michigan,26009,9,1390
2650720,Manistee,Michigan,26101,7,6226
2650760,Manistique,Michigan,26153,7,3097
2650880,Manton,Michigan,26165,7,1287
2651820,Marlette,Michigan,26151,6,1875
2651900,Marquette,Michigan,26103,5,21355
2651940,Marshall,Michigan,26025,3,7088
2653020,Menominee,Michigan,26109,7,8599
2653780,Midland,Michigan,26111,3,41863
2655020,Monroe,Michigan,26115,3,20733
2655100,Montague,Michigan,26121,3,2361
2655500,Morenci,Michigan,26091,4,2220
2656020,Mount Pleasant,Michigan,26073,4,26016
2656200,Munising,Michigan,26003,7,2355
2656320,Muskegon,Michigan,26121,3,38401
2656360,Muskegon Heights,Michigan,26121,3,10856
2656860,Negaunee,Michigan,26103,5,4568
2657080,Newaygo,Michigan,26123,6,1976
2657140,Newberry,Michigan,26095,7,1519
2657220,New Buffalo,Michigan,26021,3,1883
2657760,Niles,Michigan,26021,3,11600
2658640,North Muskegon,Michigan,26121,3,3786
2659220,Norway,Michigan,26043,7,2845
2660680,Onaway,Michigan,26141,7,880
2660860,Ontonagon,Michigan,26131,9,1494
2661620,Otsego,Michigan,26005,4,3956
2661940,Owosso,Michigan,26155,4,15194
2663820,Petoskey,Michigan,26047,7,5670
2664160,Pinconning,Michigan,26017,3,1307
2664740,Plainwell,Michigan,26005,4,3804
2665860,Portland,Michigan,26067,4,3883
2666640,Quincy,Michigan,26023,6,1652
2667500,Reading,Michigan,26059,6,1078
2667820,Reed City,Michigan,26133,9,2425
2669260,Rogers City,Michigan,26141,7,2827
2670520,Saginaw,Michigan,26145,3,51508
2670640,St. Charles,Michigan,26145,3,2054
2670840,St. Ignace,Michigan,26097,7,2452
2670960,St. Joseph,Michigan,26021,3,8365
2671000,St. Louis,Michigan,26057,6,7482
2671540,Sandusky,Michigan,26151,6,2679
2671740,Sault Ste. Marie,Michigan,26033,7,14144
2672080,Scottville,Michigan,26105,7,1214
2672180,Sebewaing,Michigan,26063,7,1759
2672840,Shelby,Michigan,26127,6,2065
2675220,South Range,Michigan,26061,5,758
2676960,Sturgis,Michigan,26149,4,10994
2678140,Tawas City,Michigan,26069,7,1827
2679120,Tecumseh,Michigan,26091,4,8521
2679720,Three Oaks,Michigan,26021,3,1622
2679760,Three Rivers,Michigan,26149,4,7811
2680340,Traverse City,Michigan,26055,5,14674
2681360,Union City,Michigan,26023,6,1599
2681840,Vassar,Michigan,26157,6,2697
2682780,Wakefield,Michigan,26053,7,1851
2684500,Watervliet,Michigan,26021,3,1735
2684880,Wayland,Michigan,26005,4,4079
2685580,West Branch,Michigan,26129,9,2139
2686780,Whitehall,Michigan,26121,3,2706
2686920,White Pigeon,Michigan,26149,4,1522
2700172,Ada,Minnesota,27107,8,1707
2700262,Adrian,Minnesota,27105,7,1209
2700460,Aitkin,Minnesota,27001,8,2165
2700694,Albert Lea,Minnesota,27047,7,18016
2700928,Alexandria,Minnesota,27041,6,11070
2701864,Appleton,Minnesota,27151,7,1412
2702908,Austin,Minnesota,27099,4,24718
2703196,Bagley,Minnesota,27029,8,1392
2703574,Barnesville,Minnesota,27027,3,2563
2704024,Baudette,Minnesota,27077,9,1106
2705068,Bemidji,Minnesota,27007,7,13431
2705212,Benson,Minnesota,27151,7,3240
2706076,Bird Island,Minnesota,27129,8,1042
2706580,Blooming Prairie,Minnesota,27147,5,1996
2706688,Blue Earth,Minnesota,27043,6,3353
2707048,Bovey,Minnesota,27061,6,804
2707300,Brainerd,Minnesota,27035,4,13590
2707462,Breckenridge,Minnesota,27167,6,3386
2709226,Caledonia,Minnesota,27055,3,2868
2709604,Canby,Minnesota,27173,9,1795
2709730,Cannon Falls,Minnesota,27049,4,4083
2710252,Cass Lake,Minnesota,27021,9,770
2711008,Chatfield,Minnesota,27045,3,2779
2712484,Cold Spring,Minnesota,27145,3,4025
2712502,Coleraine,Minnesota,27061,6,1970
2713870,Crookston,Minnesota,27119,3,7891
2713924,Crosby,Minnesota,27035,4,2386
2714968,Dawson,Minnesota,27073,9,1540
2715832,Detroit Lakes,Minnesota,27005,6,8569
2715976,Dilworth,Minnesota,27027,3,4024
2715994,Dodge Center,Minnesota,27039,3,2670
2717612,East Grand Forks,Minnesota,27119,3,8601
2718458,Elbow Lake,Minnesota,27051,9,1176
2720222,Fairfax,Minnesota,27129,8,1235
2720330,Fairmont,Minnesota,27091,7,10666
2720546,Faribault,Minnesota,27131,4,23352
2720906,Fergus Falls,Minnesota,27111,6,13138
2721986,Fosston,Minnesota,27119,3,1527
2722472,Frazee,Minnesota,27005,6,1350
2723948,Glencoe,Minnesota,27085,6,5631
2724074,Glenwood,Minnesota,27121,8,2564
2725118,Grand Rapids,Minnesota,27061,6,10869
2725280,Granite Falls,Minnesota,27173,9,2897
2726576,Hallock,Minnesota,27069,9,981
2727746,Hawley,Minnesota,27027,3,2067
2728124,Hector,Minnesota,27129,8,1151
2730644,Hutchinson,Minnesota,27085,6,14178
2731040,International Falls,Minnesota,27071,6,6424
2731562,Jackson,Minnesota,27063,7,3299
2731706,Janesville,Minnesota,27161,6,2256
2732498,Kasson,Minnesota,27039,3,5931
2732570,Keewatin,Minnesota,27061,6,1068
2732840,Kenyon,Minnesota,27049,4,1815
2734172,Lake City,Minnesota,27157,3,5063
2734190,Lake Crystal,Minnesota,27013,3,2549
2734316,Lakefield,Minnesota,27063,7,1694
2735450,Lanesboro,Minnesota,27045,3,754
2737448,Litchfield,Minnesota,27093,6,6726
2737448,Litchfield,Minnesota,27093,6,6574
2737556,Little Falls,Minnesota,27097,6,8343
2738060,Long Prairie,Minnesota,27153,6,3458
2738564,Luverne,Minnesota,27133,6,4745
2739230,Madelia,Minnesota,27165,6,2308
2739266,Madison,Minnesota,27073,9,1551
2739392,Mahnomen,Minnesota,27087,8,1214
2739878,Mankato,Minnesota,27013,3,39309
2740310,Mapleton,Minnesota,27013,3,1756
2740688,Marshall,Minnesota,27083,7,13680
2741570,Melrose,Minnesota,27145,3,3598
2743126,Minneota,Minnesota,27083,7,1392
2743720,Montevideo,Minnesota,27023,7,5383
2743864,Moorhead,Minnesota,27027,3,38065
2744044,Mora,Minnesota,27065,6,3571
2744242,Morris,Minnesota,27149,7,5286
2744566,Mountain Lake,Minnesota,27033,7,2104
2744980,Nashwauk,Minnesota,27061,6,983
2746042,New Ulm,Minnesota,27015,6,13522
2746924,Northfield,Minnesota,27131,4,20007
2747068,North Mankato,Minnesota,27103,3,13394
2748256,Olivia,Minnesota,27129,8,2484
2748706,Ortonville,Minnesota,27011,9,1916
2748796,Osakis,Minnesota,27041,6,1740
2749300,Owatonna,Minnesota,27147,5,25599
2749768,Park Rapids,Minnesota,27057,7,3709
2749966,Paynesville,Minnesota,27145,3,2432
2750164,Pelican Rapids,Minnesota,27111,6,2464
2750470,Perham,Minnesota,27111,6,2985
2751064,Pine City,Minnesota,27115,6,3123
2751136,Pine Island,Minnesota,27049,4,3263
2751388,Pipestone,Minnesota,27117,6,4317
2751424,Plainview,Minnesota,27157,3,3340
2752450,Preston,Minnesota,27045,3,1325
2753476,Red Lake Falls,Minnesota,27125,8,1427
2753620,Red Wing,Minnesota,27049,4,16459
2753656,Redwood Falls,Minnesota,27127,7,5254
2753890,Renville,Minnesota,27129,8,1287
2755546,Roseau,Minnesota,27135,7,2633
2756284,Rushford,Minnesota,27045,3,1731
2756788,St. Charles,Minnesota,27169,4,3735
2757040,St. James,Minnesota,27165,6,4605
2757130,St. Joseph,Minnesota,27145,3,6534
2758036,St. Peter,Minnesota,27103,3,11196
2758396,Sandstone,Minnesota,27115,6,2849
2758648,Sauk Centre,Minnesota,27145,3,4317
2758684,Sauk Rapids,Minnesota,27009,3,12773
2759620,Sherburn,Minnesota,27091,7,1137
2760808,Slayton,Minnesota,27101,9,2153
2760844,Sleepy Eye,Minnesota,27015,6,3599
2761816,Springfield,Minnesota,27015,6,2152
2762104,Spring Valley,Minnesota,27045,3,2479
2762446,Staples,Minnesota,27153,6,2981
2762806,Stewartville,Minnesota,27109,3,5916
2764570,Thief River Falls,Minnesota,27113,6,8573
2765308,Tracy,Minnesota,27083,7,2163
2765956,Two Harbors,Minnesota,27075,6,3745
2766046,Tyler,Minnesota,27081,9,1143
2767378,Wabasha,Minnesota,27157,3,2521
2767504,Wadena,Minnesota,27159,7,4088
2767612,Waite Park,Minnesota,27145,3,6715
2768170,Warren,Minnesota,27089,8,1563
2768224,Warroad,Minnesota,27135,7,1781
2768296,Waseca,Minnesota,27161,6,9410
2769106,Wells,Minnesota,27043,6,2343
2769844,Wheaton,Minnesota,27155,9,1424
2770420,Willmar,Minnesota,27067,4,19610
2770798,Windom,Minnesota,27033,7,4646
2770924,Winnebago,Minnesota,27043,6,1437
2771032,Winona,Minnesota,27169,4,27592
2771734,Worthington,Minnesota,27105,7,12764
2772328,Zumbrota,Minnesota,27049,4,3252
3700160,Aberdeen,North Carolina,37125,4,6350
3700500,Ahoskie,North Carolina,37091,6,5039
3700680,Albemarle,North Carolina,37167,6,15903
3701380,Andrews,North Carolina,37039,9,1781
3701400,Angier,North Carolina,37085,4,4350
3702580,Aulander,North Carolina,37015,7,895
3702840,Ayden,North Carolina,37147,3,4932
3704260,Beaufort,North Carolina,37031,4,4039
3704640,Belhaven,North Carolina,37013,6,1688
3705460,Bethel,North Carolina,37147,3,1577
3707080,Boone,North Carolina,37189,5,17122
3707720,Brevard,North Carolina,37175,6,7609
3708480,Bryson City,North Carolina,37173,8,1424
3709060,Burlington,North Carolina,37001,3,49963
3710680,Carthage,North Carolina,37125,4,2205
3711640,Chadbourn,North Carolina,37047,6,1856
3713240,Clinton,North Carolina,37163,6,8639
3713940,Columbia,North Carolina,37177,9,891
3718320,Dunn,North Carolina,37085,4,9263
3720120,Edenton,North Carolina,37041,6,5004
3720580,Elizabeth City,North Carolina,37139,4,18683
3720600,Elizabethtown,North Carolina,37017,6,3583
3720620,Elkin,North Carolina,37171,4,4001
3721360,Enfield,North Carolina,37083,4,2532
3722360,Fairmont,North Carolina,37155,4,2663
3722820,Farmville,North Carolina,37147,3,4654
3724080,Forest City,North Carolina,37161,4,7476
3724640,Franklin,North Carolina,37113,7,3845
3724900,Fremont,North Carolina,37191,3,1255
3725980,Gibsonville,North Carolina,37001,3,6410
3726880,Goldsboro,North Carolina,37191,3,36437
3727280,Graham,North Carolina,37001,3,14153
3729160,Hamlet,North Carolina,37153,5,6495
3730660,Henderson,North Carolina,37181,4,15368
3730900,Hertford,North Carolina,37143,8,2143
3735880,Kings Mountain,North Carolina,37045,4,10296
3735920,Kinston,North Carolina,37107,4,21677
3736400,La Grange,North Carolina,37107,4,2873
3737220,Laurinburg,North Carolina,37165,6,15962
3739700,Lumberton,North Carolina,37155,4,21542
3741420,Marion,North Carolina,37111,6,7838
3742020,Maxton,North Carolina,37155,4,2426
3742240,Mebane,North Carolina,37001,3,11393
3744320,Morehead City,North Carolina,37031,4,8661
3744800,Mount Airy,North Carolina,37171,4,10388
3744900,Mount Gilead,North Carolina,37123,6,1181
3745100,Mount Olive,North Carolina,37191,3,4589
3745640,Murfreesboro,North Carolina,37091,6,2835
3745660,Murphy,North Carolina,37039,9,1627
3746000,Nashville,North Carolina,37127,3,5352
3746340,New Bern,North Carolina,37049,3,29524
