id,address,match.code,po_box,box,mi,mile,exception,rr,need_match,no_address
479110280,100 1/2 1ST NW TRIPOLI IA 50676,X,0,0,0,0,0,0,1,0
479110280,100 1/2 1ST ST NW TRIPOLI IA 50676,X,0,0,0,0,0,0,1,0
145619417,100 1/2 E JACKSON ST # 100 CENTERVILLE IA 52544,X,0,0,0,0,0,0,1,0
495417057,100 1/2 E JACKSON ST CENTERVILLE IA 52544,X,0,0,0,0,0,0,1,0
937414688,100 1/2 E JACKSON ST CENTERVILLE IA 52544,X,0,0,0,0,0,0,1,0
145619417,100 1/2 E JACKSON ST CENTERVILLE IA 52544,X,0,0,0,0,0,0,1,0
422320982,100 12 ST ONAWA IA 51040,X,0,0,0,0,0,0,1,0
843637380,100 18TH AVE W ALBIA IA 52531,X,0,0,0,0,0,0,1,0
255121832,100 18TH AVE W ALBIA IA 52531,X,0,0,0,0,0,0,1,0
388600611,100 1ST AVE CLINTON IA 52732,X,0,0,0,0,0,0,1,0
208933416,100 1ST AVE E CASCADE IA 52033,X,0,0,0,0,0,0,1,0
693836397,100 1ST AVE E NEWTON IA 50208,X,0,0,0,0,0,0,1,0
308208370,100 1ST AVE NE TRIPOLI IA 50676,X,0,0,0,0,0,0,1,0
436538312,100 1ST ST MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
439106592,100 1ST ST NW TRIPOLI IA 50676,4,0,0,0,0,0,0,1,0
233375930,100 1ST ST W INDEPENDENCE IA 50644,4,0,0,0,0,0,0,1,0
145381893,100 2ND AVE RED OAK IA 51566,X,0,0,0,0,0,0,1,0
825676364,100 2ND AVE SW TRIPOLI IA 50676,4,0,0,0,0,0,0,1,0
704562420,100 2ND ST NE WAVERLY IA 50677,X,0,0,0,0,0,0,1,0
365994169,100 3RD AVE SW MUSCATINE IA 52761,X,0,0,0,0,0,0,1,0
556629939,100 3RD ST N AKRON IA 51001,4,0,0,0,0,0,0,1,0
495415986,100 4TH ST MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
425476363,100 4TH ST SW MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
966252017,100 4TH ST SW MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
966252884,100 4TH ST SW MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
966252892,100 4TH ST SW MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
966252900,100 4TH ST SW MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
966252918,100 4TH ST SW MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
495415986,100 4TH ST SW MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
402494512,100 ALEXANDER DR # 1 TIPTON IA 52772,X,0,0,0,0,0,0,1,0
402494512,100 ALEXANDER DR # 1 TIPTON IA 52772,4,0,0,0,0,0,0,1,0
711977430,100 ALEXANDER DR TIPTON IA 52772,X,0,0,0,0,0,0,1,0
711977430,100 ALEXANDER DR TIPTON IA 52772,4,0,0,0,0,0,0,1,0
145633251,100 B AVE E OSKALOOSA IA 52577,X,0,0,0,0,0,0,1,0
145633251,100 B AVE E OSKALOOSA IA 52577,2,0,0,0,0,0,0,1,0
413976556,100 BROADWAY RED OAK IA 51566,X,0,0,0,0,0,0,1,0
964286066,100 BROADWAY RED OAK IA 51566,X,0,0,0,0,0,0,1,0
513542522,100 BROADWAY ST REINBECK IA 50669,X,0,0,0,0,0,0,1,0
945162592,100 BROADWAY ST TAINTOR IA 50207,X,0,0,0,0,0,0,1,0
260545280,100 CANAL ST MUSCATINE IA 52761,X,0,0,0,0,0,0,1,0
489373530,100 CARBIDE LN KEOKUK IA 52632,4,0,0,0,0,0,0,1,0
825469539,100 CARE CIR NEW LONDON IA 52645,2,0,0,0,0,0,0,1,0
825469539,100 CARE CIRCLE ST NEW LONDON IA 52645,2,0,0,0,0,0,0,1,0
825469539,100 CARE CIRCLE ST NEW LONDON IA 52645,4,0,0,0,0,0,0,1,0
145553723,100 CARE ST WILLIAMSBURG IA 52361,X,0,0,0,0,0,0,1,0
393797451,100 CARE ST WILLIAMSBURG IA 52361,X,0,0,0,0,0,0,1,0
306307885,100 CASS ST SUMNER IA 50674,X,0,0,0,0,0,0,1,0
306307885,100 CASS SUMNER IA 50674,X,0,0,0,0,0,0,1,0
642706782,100 CEDAR ST REINBECK IA 50669,X,0,0,0,0,0,0,1,0
354953283,100 CEDAR ST STORM LAKE IA 50588,X,0,0,0,0,0,0,1,0
604599621,100 COMMERCE BLVD TIPTON IA 52772,2,0,0,0,0,0,0,1,0
606591568,100 COMMERCE BLVD TIPTON IA 52772,2,0,0,0,0,0,0,1,0
615165172,100 COMMERCE BLVD TIPTON IA 52772,2,0,0,0,0,0,0,1,0
653494872,100 COMMERCE BLVD TIPTON IA 52772,2,0,0,0,0,0,0,1,0
480667518,100 COMMERCE RD CRESTON IA 50801,X,0,0,0,0,0,0,1,0
480667534,100 COMMERCE RD CRESTON IA 50801,X,0,0,0,0,0,0,1,0
843586850,100 COMMERCE RD CRESTON IA 50801,X,0,0,0,0,0,0,1,0
580844298,100 COMMERCE RD CRESTON IA 50801,X,0,0,0,0,0,0,1,0
580844306,100 COMMERCE RD CRESTON IA 50801,X,0,0,0,0,0,0,1,0
580844314,100 COMMERCE RD CRESTON IA 50801,X,0,0,0,0,0,0,1,0
580844322,100 COMMERCE RD CRESTON IA 50801,X,0,0,0,0,0,0,1,0
714657715,100 COUNTRY CLUB DR LENOX IA 50851,2,0,0,0,0,0,0,1,0
145659306,100 COUNTRY CLUB RD FORT MADISON IA 52627,4,0,0,0,0,0,0,1,0
400332572,100 COUNTRY CLUB RD FORT MADISON IA 52627,4,0,0,0,0,0,0,1,0
412088478,100 COUNTY LINE RD MONROE IA 50170,X,0,0,0,0,0,0,1,0
843530411,100 COURTHOUSE SQ # 1 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843531047,100 COURTHOUSE SQ # 11 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
402520373,100 COURTHOUSE SQ # 2 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843530106,100 COURTHOUSE SQ # 4 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843530353,100 COURTHOUSE SQ # 7 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843530106,100 COURTHOUSE SQ # 8 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
686564261,100 COURTHOUSE SQ # 8 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
402520357,100 COURTHOUSE SQ # 9 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843530981,100 COURTHOUSE SQ # 9 BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
402520373,100 COURTHOUSE SQ BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843530106,100 COURTHOUSE SQ BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843531047,100 COURTHOUSE SQ BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
402520357,100 COURTHOUSE SQ BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843530411,100 COURTHOUSE SQ BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843530353,100 COURTHOUSE SQ BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
843530981,100 COURTHOUSE SQ BLOOMFIELD IA 52537,2,0,0,0,0,0,0,1,0
581040003,100 E 1ST ST TIPTON IA 52772,X,0,0,0,0,0,0,1,0
144839461,100 E 240TH ST MARSHALLTOWN IA 50158,X,0,0,0,0,0,0,1,0
585347016,100 E BOILER AVE GEORGE IA 51237,X,0,0,0,0,0,0,1,0
402949687,100 E BREMER AVE # 201 WAVERLY IA 50677,4,0,0,0,0,0,0,1,0
825423510,100 E BREMER AVE # 7 WAVERLY IA 50677,4,0,0,0,0,0,0,1,0
678852856,100 E BROADWAY ST EAGLE GROVE IA 50533,X,0,0,0,0,0,0,1,0
860157718,100 E IOWA AVE ONAWA IA 51040,X,0,0,0,0,0,0,1,0
586610339,100 E KIRKWOOD AVE FAIRFIELD IA 52556,X,0,0,0,0,0,0,1,0
706960540,100 E LINCOLN AVE FAIRFIELD IA 52556,2,0,0,0,0,0,0,1,0
647668979,100 E LINCOLN WAY JEFFERSON IA 50129,X,0,0,0,0,0,0,1,0
622544641,100 E LINCOLN WAY JEFFERSON IA 50129,X,0,0,0,0,0,0,1,0
622544641,100 E LINCOLNWAY ST JEFFERSON IA 50129,X,0,0,0,0,0,0,1,0
433928032,100 E LINCOLNWAY ST JEFFERSON IA 50129,X,0,0,0,0,0,0,1,0
537802639,100 E MAIN ST SAC CITY IA 50583,X,0,0,0,0,0,0,1,0
843314071,100 E MARION ST MONROE IA 50170,X,0,0,0,0,0,0,1,0
896401791,100 E MONROE ST CORYDON IA 50060,X,0,0,0,0,0,0,1,0
554409490,100 E MONROE ST CORYDON IA 50060,X,0,0,0,0,0,0,1,0
407899863,100 E SUNSET RD JEFFERSON IA 50129,X,0,0,0,0,0,0,1,0
825492507,100 E WASHINGTON ST # 203 MT PLEASANT IA 52641,4,0,0,0,0,0,0,1,0
825694045,100 E WASHINGTON ST # 203 MT PLEASANT IA 52641,4,0,0,0,0,0,0,1,0
406184545,100 EAGLE AVE MARCUS IA 51035,2,0,0,0,0,0,0,1,0
403978753,100 FAIRGROUND RD CORYDON IA 50060,X,0,0,0,0,0,0,1,0
591148515,100 FORMAD INDUSTRIES DR FORT MADISON IA 52627,4,0,0,0,0,0,0,1,0
843627217,100 FRANKLIN CORYDON IA 50060,X,0,0,0,0,0,0,1,0
456745561,100 GRANDVIEW DR TOLEDO IA 52342,4,0,0,0,0,0,0,1,0
900756131,100 HIGH ST # 2 ELKADER IA 52043,X,0,0,0,0,0,0,1,0
900756131,100 HIGH ST ELKADER IA 52043,X,0,0,0,0,0,0,1,0
900756131,100 HIGH ST FL 2 # 2 ELKADER IA 52043,X,0,0,0,0,0,0,1,0
598875920,100 HIGHWAY 218 NASHUA IA 50658,X,0,0,0,0,0,0,1,0
374652519,100 HIGHWAY 218 NASHUA IA 50658,X,0,0,0,0,0,0,1,0
983737537,100 HIGHWAY 3 E POCAHONTAS IA 50574,X,0,0,0,0,0,0,1,0
892469636,100 HILL AVE SPIRIT LAKE IA 51360,X,0,0,0,0,0,0,1,0
382421394,100 IOWA AVE E MARSHALLTOWN IA 50158,X,0,0,0,0,0,0,1,0
860157718,100 IOWA AVE ONAWA IA 51040,X,0,0,0,0,0,0,1,0
598873198,100 MAIN ST MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
482031655,100 MCKINLEY ST CORYDON IA 50060,X,0,0,0,0,0,0,1,0
