town,time,cal_year,downtown_jobs,treated,treated_yr,cz,match,match_treat_yr,townid
Marshalltown,3,2003,7287,1,2002,455,State Center,2000,S154
Marshalltown,4,2004,7139,1,2002,455,State Center,2000,S154
Marshalltown,5,2005,6831,1,2002,455,State Center,2000,S154
McGregor,-3,2009,193,0,0,470,Lansing,2012,S157
McGregor,-2,2010,179,0,0,470,Lansing,2012,S157
McGregor,-1,2011,133,0,0,470,Lansing,2012,S157
McGregor,0,2012,211,0,0,470,Lansing,2012,S157
McGregor,1,2013,209,0,0,470,Lansing,2012,S157
McGregor,2,2014,216,0,0,470,Lansing,2012,S157
McGregor,3,2015,219,0,0,470,Lansing,2012,S157
McGregor,4,2016,187,0,0,470,Lansing,2012,S157
McGregor,5,2017,181,0,0,470,Lansing,2012,S157
Melcher-Dallas,-3,2003,106,0,0,393,Ottumwa,2006,S161
Melcher-Dallas,-2,2004,98,0,0,393,Ottumwa,2006,S161
Melcher-Dallas,-1,2005,105,0,0,393,Ottumwa,2006,S161
Melcher-Dallas,0,2006,114,0,0,393,Ottumwa,2006,S161
Melcher-Dallas,1,2007,189,0,0,393,Ottumwa,2006,S161
Melcher-Dallas,2,2008,187,0,0,393,Ottumwa,2006,S161
Melcher-Dallas,3,2009,185,0,0,393,Ottumwa,2006,S161
Melcher-Dallas,4,2010,175,0,0,393,Ottumwa,2006,S161
Melcher-Dallas,5,2011,178,0,0,393,Ottumwa,2006,S161
Monona,-3,2009,192,0,0,470,Lansing,2012,S164
Monona,-2,2010,161,0,0,470,Lansing,2012,S164
Monona,-1,2011,140,0,0,470,Lansing,2012,S164
Monona,0,2012,148,0,0,470,Lansing,2012,S164
Monona,1,2013,159,0,0,470,Lansing,2012,S164
Monona,2,2014,150,0,0,470,Lansing,2012,S164
Monona,3,2015,168,0,0,470,Lansing,2012,S164
Monona,4,2016,158,0,0,470,Lansing,2012,S164
Monona,5,2017,157,0,0,470,Lansing,2012,S164
Monroe,-3,2006,199,0,0,455,Colfax,2009,S165
Monroe,-2,2007,199,0,0,455,Colfax,2009,S165
Monroe,-1,2008,192,0,0,455,Colfax,2009,S165
Monroe,0,2009,184,0,0,455,Colfax,2009,S165
Monroe,1,2010,199,0,0,455,Colfax,2009,S165
Monroe,2,2011,157,0,0,455,Colfax,2009,S165
Monroe,3,2012,158,0,0,455,Colfax,2009,S165
Monroe,4,2013,141,0,0,455,Colfax,2009,S165
Monroe,5,2014,157,0,0,455,Colfax,2009,S165
Monroe,-3,1999,13,0,0,455,Marshalltown,2002,S166
Monroe,-2,2000,13,0,0,455,Marshalltown,2002,S166
Monroe,-1,2001,17,0,0,455,Marshalltown,2002,S166
Monroe,0,2002,35,0,0,455,Marshalltown,2002,S166
Monroe,1,2003,217,0,0,455,Marshalltown,2002,S166
Monroe,2,2004,187,0,0,455,Marshalltown,2002,S166
Monroe,3,2005,199,0,0,455,Marshalltown,2002,S166
Monroe,4,2006,199,0,0,455,Marshalltown,2002,S166
Monroe,5,2007,199,0,0,455,Marshalltown,2002,S166
Monroe,-3,1997,204,0,0,455,State Center,2000,S168
Monroe,-2,1998,14,0,0,455,State Center,2000,S168
Monroe,-1,1999,13,0,0,455,State Center,2000,S168
Monroe,0,2000,13,0,0,455,State Center,2000,S168
Monroe,1,2001,17,0,0,455,State Center,2000,S168
Monroe,2,2002,35,0,0,455,State Center,2000,S168
Monroe,3,2003,217,0,0,455,State Center,2000,S168
Monroe,4,2004,187,0,0,455,State Center,2000,S168
Monroe,5,2005,199,0,0,455,State Center,2000,S168
Montezuma,-3,2006,691,0,0,455,Colfax,2009,S169
Montezuma,-2,2007,700,0,0,455,Colfax,2009,S169
Montezuma,-1,2008,711,0,0,455,Colfax,2009,S169
Montezuma,0,2009,658,0,0,455,Colfax,2009,S169
Montezuma,1,2010,595,0,0,455,Colfax,2009,S169
Montezuma,2,2011,592,0,0,455,Colfax,2009,S169
Montezuma,3,2012,634,0,0,455,Colfax,2009,S169
Montezuma,4,2013,696,0,0,455,Colfax,2009,S169
Montezuma,5,2014,696,0,0,455,Colfax,2009,S169
Montezuma,-3,1999,92,0,0,455,Marshalltown,2002,S170
Montezuma,-2,2000,92,0,0,455,Marshalltown,2002,S170
Montezuma,-1,2001,116,0,0,455,Marshalltown,2002,S170
Montezuma,0,2002,117,0,0,455,Marshalltown,2002,S170
Montezuma,1,2003,629,0,0,455,Marshalltown,2002,S170
Montezuma,2,2004,623,0,0,455,Marshalltown,2002,S170
Montezuma,3,2005,687,0,0,455,Marshalltown,2002,S170
Montezuma,4,2006,691,0,0,455,Marshalltown,2002,S170
Montezuma,5,2007,700,0,0,455,Marshalltown,2002,S170
Montezuma,-3,1997,467,0,0,455,State Center,2000,S172
Montezuma,-2,1998,107,0,0,455,State Center,2000,S172
Montezuma,-1,1999,92,0,0,455,State Center,2000,S172
Montezuma,0,2000,92,0,0,455,State Center,2000,S172
Montezuma,1,2001,116,0,0,455,State Center,2000,S172
Montezuma,2,2002,117,0,0,455,State Center,2000,S172
Montezuma,3,2003,629,0,0,455,State Center,2000,S172
Montezuma,4,2004,623,0,0,455,State Center,2000,S172
Montezuma,5,2005,687,0,0,455,State Center,2000,S172
Mount Pleasant,-3,2006,1722,1,2002,192,Fort Madison,2009,S175
Mount Pleasant,-2,2007,1794,1,2002,192,Fort Madison,2009,S175
Mount Pleasant,-1,2008,1734,1,2002,192,Fort Madison,2009,S175
Mount Pleasant,0,2009,1729,1,2002,192,Fort Madison,2009,S175
Mount Pleasant,1,2010,1331,1,2002,192,Fort Madison,2009,S175
Mount Pleasant,2,2011,1568,1,2002,192,Fort Madison,2009,S175
Mount Pleasant,3,2012,1604,1,2002,192,Fort Madison,2009,S175
Mount Pleasant,4,2013,1622,1,2002,192,Fort Madison,2009,S175
Mount Pleasant,5,2014,1670,1,2002,192,Fort Madison,2009,S175
Muscatine,-3,2005,3007,0,0,161,Washington,2008,S178
Muscatine,-2,2006,3394,0,0,161,Washington,2008,S178
Muscatine,-1,2007,3520,0,0,161,Washington,2008,S178
Muscatine,0,2008,2793,0,0,161,Washington,2008,S178
Muscatine,1,2009,2660,0,0,161,Washington,2008,S178
Muscatine,2,2010,2567,0,0,161,Washington,2008,S178
Muscatine,3,2011,2371,0,0,161,Washington,2008,S178
Muscatine,4,2012,2636,0,0,161,Washington,2008,S178
Muscatine,5,2013,2311,0,0,161,Washington,2008,S178
Nevada,-3,1997,724,0,0,15,Story City,2000,S182
Nevada,-2,1998,559,0,0,15,Story City,2000,S182
Nevada,-1,1999,683,0,0,15,Story City,2000,S182
Nevada,0,2000,739,0,0,15,Story City,2000,S182
Nevada,1,2001,718,0,0,15,Story City,2000,S182
Nevada,2,2002,691,0,0,15,Story City,2000,S182
Nevada,3,2003,779,0,0,15,Story City,2000,S182
Nevada,4,2004,825,0,0,15,Story City,2000,S182
Nevada,5,2005,855,0,0,15,Story City,2000,S182
New London,-3,2006,287,0,0,192,Fort Madison,2009,S186
New London,-2,2007,303,0,0,192,Fort Madison,2009,S186
New London,-1,2008,288,0,0,192,Fort Madison,2009,S186
New London,0,2009,297,0,0,192,Fort Madison,2009,S186
New London,1,2010,301,0,0,192,Fort Madison,2009,S186
New London,2,2011,286,0,0,192,Fort Madison,2009,S186
New London,3,2012,306,0,0,192,Fort Madison,2009,S186
New London,4,2013,221,0,0,192,Fort Madison,2009,S186
New London,5,2014,244,0,0,192,Fort Madison,2009,S186
New London,-3,1999,257,0,0,192,Mount Pleasant,2002,S188
New London,-2,2000,255,0,0,192,Mount Pleasant,2002,S188
New London,-1,2001,245,0,0,192,Mount Pleasant,2002,S188
New London,0,2002,288,0,0,192,Mount Pleasant,2002,S188
New London,1,2003,255,0,0,192,Mount Pleasant,2002,S188
New London,2,2004,298,0,0,192,Mount Pleasant,2002,S188
New London,3,2005,288,0,0,192,Mount Pleasant,2002,S188
New London,4,2006,287,0,0,192,Mount Pleasant,2002,S188
New London,5,2007,303,0,0,192,Mount Pleasant,2002,S188
New Sharon,-3,2003,120,0,0,393,Ottumwa,2006,S192
New Sharon,-2,2004,124,0,0,393,Ottumwa,2006,S192
New Sharon,-1,2005,98,0,0,393,Ottumwa,2006,S192
New Sharon,0,2006,119,0,0,393,Ottumwa,2006,S192
New Sharon,1,2007,112,0,0,393,Ottumwa,2006,S192
New Sharon,2,2008,124,0,0,393,Ottumwa,2006,S192
New Sharon,3,2009,124,0,0,393,Ottumwa,2006,S192
New Sharon,4,2010,123,0,0,393,Ottumwa,2006,S192
New Sharon,5,2011,141,0,0,393,Ottumwa,2006,S192
Newton,-3,2006,9230,1,2014,455,Colfax,2009,S193
Newton,-2,2007,9210,1,2014,455,Colfax,2009,S193
Newton,-1,2008,2803,1,2014,455,Colfax,2009,S193
Newton,0,2009,2695,1,2014,455,Colfax,2009,S193
Newton,1,2010,2617,1,2014,455,Colfax,2009,S193
Newton,2,2011,2562,1,2014,455,Colfax,2009,S193
Newton,3,2012,2306,1,2014,455,Colfax,2009,S193
Newton,4,2013,2880,1,2014,455,Colfax,2009,S193
Newton,5,2014,2502,1,2014,455,Colfax,2009,S193
Newton,-3,1999,4700,1,2014,455,Marshalltown,2002,S194
Newton,-2,2000,4658,1,2014,455,Marshalltown,2002,S194
Newton,-1,2001,8324,1,2014,455,Marshalltown,2002,S194
Newton,0,2002,5319,1,2014,455,Marshalltown,2002,S194
Newton,1,2003,8634,1,2014,455,Marshalltown,2002,S194
Newton,2,2004,8836,1,2014,455,Marshalltown,2002,S194
Newton,3,2005,9195,1,2014,455,Marshalltown,2002,S194
Newton,4,2006,9230,1,2014,455,Marshalltown,2002,S194
Newton,5,2007,9210,1,2014,455,Marshalltown,2002,S194
Newton,-3,1997,5878,1,2014,455,State Center,2000,S196
Newton,-2,1998,3247,1,2014,455,State Center,2000,S196
Newton,-1,1999,4700,1,2014,455,State Center,2000,S196
Newton,0,2000,4658,1,2014,455,State Center,2000,S196
Newton,1,2001,8324,1,2014,455,State Center,2000,S196
Newton,2,2002,5319,1,2014,455,State Center,2000,S196
Newton,3,2003,8634,1,2014,455,State Center,2000,S196
Newton,4,2004,8836,1,2014,455,State Center,2000,S196
Newton,5,2005,9195,1,2014,455,State Center,2000,S196
Northwood,-3,2001,346,0,0,304,Mason City,2004,S199
Northwood,-2,2002,310,0,0,304,Mason City,2004,S199
Northwood,-1,2003,417,0,0,304,Mason City,2004,S199
Northwood,0,2004,429,0,0,304,Mason City,2004,S199
Northwood,1,2005,463,0,0,304,Mason City,2004,S199
Northwood,2,2006,391,0,0,304,Mason City,2004,S199
Northwood,3,2007,420,0,0,304,Mason City,2004,S199
Northwood,4,2008,435,0,0,304,Mason City,2004,S199
Northwood,5,2009,443,0,0,304,Mason City,2004,S199
Oelwein,-3,2003,1263,0,0,230,West Union,2006,S203
Oelwein,-2,2004,1288,0,0,230,West Union,2006,S203
Oelwein,-1,2005,1330,0,0,230,West Union,2006,S203
Oelwein,0,2006,1166,0,0,230,West Union,2006,S203
Oelwein,1,2007,1309,0,0,230,West Union,2006,S203
Oelwein,2,2008,1263,0,0,230,West Union,2006,S203
Oelwein,3,2009,1232,0,0,230,West Union,2006,S203
Oelwein,4,2010,1262,0,0,230,West Union,2006,S203
Oelwein,5,2011,1158,0,0,230,West Union,2006,S203
Ogden,-3,1997,305,0,0,15,Story City,2000,S205
Ogden,-2,1998,125,0,0,15,Story City,2000,S205
Ogden,-1,1999,123,0,0,15,Story City,2000,S205
Ogden,0,2000,131,0,0,15,Story City,2000,S205
Ogden,1,2001,86,0,0,15,Story City,2000,S205
Ogden,2,2002,82,0,0,15,Story City,2000,S205
Ogden,3,2003,276,0,0,15,Story City,2000,S205
Ogden,4,2004,277,0,0,15,Story City,2000,S205
Ogden,5,2005,314,0,0,15,Story City,2000,S205
Osceola,-3,2009,642,1,1997,526,Chariton,2012,S209
Osceola,-2,2010,629,1,1997,526,Chariton,2012,S209
Osceola,-1,2011,533,1,1997,526,Chariton,2012,S209
Osceola,0,2012,615,1,1997,526,Chariton,2012,S209
Osceola,1,2013,635,1,1997,526,Chariton,2012,S209
Osceola,2,2014,599,1,1997,526,Chariton,2012,S209
Osceola,3,2015,560,1,1997,526,Chariton,2012,S209
Osceola,4,2016,557,1,1997,526,Chariton,2012,S209
Osceola,5,2017,538,1,1997,526,Chariton,2012,S209
Oskaloosa,-3,2003,1735,1,1986,393,Ottumwa,2006,S214
Oskaloosa,-2,2004,1562,1,1986,393,Ottumwa,2006,S214
Oskaloosa,-1,2005,1636,1,1986,393,Ottumwa,2006,S214
Oskaloosa,0,2006,1774,1,1986,393,Ottumwa,2006,S214
Oskaloosa,1,2007,1857,1,1986,393,Ottumwa,2006,S214
Oskaloosa,2,2008,1912,1,1986,393,Ottumwa,2006,S214
Oskaloosa,3,2009,1803,1,1986,393,Ottumwa,2006,S214
Oskaloosa,4,2010,1796,1,1986,393,Ottumwa,2006,S214
Oskaloosa,5,2011,1707,1,1986,393,Ottumwa,2006,S214
Parkersburg,-3,2003,235,0,0,230,West Union,2006,S221
Parkersburg,-2,2004,235,0,0,230,West Union,2006,S221
Parkersburg,-1,2005,236,0,0,230,West Union,2006,S221
Parkersburg,0,2006,219,0,0,230,West Union,2006,S221
Parkersburg,1,2007,206,0,0,230,West Union,2006,S221
Parkersburg,2,2008,202,0,0,230,West Union,2006,S221
Parkersburg,3,2009,173,0,0,230,West Union,2006,S221
Parkersburg,4,2010,219,0,0,230,West Union,2006,S221
Parkersburg,5,2011,209,0,0,230,West Union,2006,S221
Pella,-3,2003,1439,0,0,393,Ottumwa,2006,S225
Pella,-2,2004,1441,0,0,393,Ottumwa,2006,S225
Pella,-1,2005,1476,0,0,393,Ottumwa,2006,S225
Pella,0,2006,1607,0,0,393,Ottumwa,2006,S225
Pella,1,2007,1635,0,0,393,Ottumwa,2006,S225
Pella,2,2008,1570,0,0,393,Ottumwa,2006,S225
Pella,3,2009,1550,0,0,393,Ottumwa,2006,S225
Pella,4,2010,1488,0,0,393,Ottumwa,2006,S225
Pella,5,2011,1464,0,0,393,Ottumwa,2006,S225
Postville,-3,2009,470,0,0,470,Lansing,2012,S228
Postville,-2,2010,418,0,0,470,Lansing,2012,S228
Postville,-1,2011,360,0,0,470,Lansing,2012,S228
Postville,0,2012,391,0,0,470,Lansing,2012,S228
Postville,1,2013,385,0,0,470,Lansing,2012,S228
Postville,2,2014,375,0,0,470,Lansing,2012,S228
Postville,3,2015,363,0,0,470,Lansing,2012,S228
Postville,4,2016,368,0,0,470,Lansing,2012,S228
Postville,5,2017,360,0,0,470,Lansing,2012,S228
Reinbeck,-3,2003,525,0,0,230,West Union,2006,S231
Reinbeck,-2,2004,511,0,0,230,West Union,2006,S231
Reinbeck,-1,2005,632,0,0,230,West Union,2006,S231
Reinbeck,0,2006,667,0,0,230,West Union,2006,S231
Reinbeck,1,2007,678,0,0,230,West Union,2006,S231
Reinbeck,2,2008,679,0,0,230,West Union,2006,S231
Reinbeck,3,2009,727,0,0,230,West Union,2006,S231
Reinbeck,4,2010,715,0,0,230,West Union,2006,S231
Reinbeck,5,2011,707,0,0,230,West Union,2006,S231
Sigourney,-3,2003,590,0,0,393,Ottumwa,2006,S242
Sigourney,-2,2004,583,0,0,393,Ottumwa,2006,S242
Sigourney,-1,2005,585,0,0,393,Ottumwa,2006,S242
Sigourney,0,2006,534,0,0,393,Ottumwa,2006,S242
Sigourney,1,2007,583,0,0,393,Ottumwa,2006,S242
Sigourney,2,2008,580,0,0,393,Ottumwa,2006,S242
Sigourney,3,2009,670,0,0,393,Ottumwa,2006,S242
Sigourney,4,2010,653,0,0,393,Ottumwa,2006,S242
Sigourney,5,2011,630,0,0,393,Ottumwa,2006,S242
State Center,-3,2006,219,1,2000,455,Colfax,2009,S246
State Center,-2,2007,194,1,2000,455,Colfax,2009,S246
State Center,-1,2008,196,1,2000,455,Colfax,2009,S246
State Center,0,2009,201,1,2000,455,Colfax,2009,S246
State Center,1,2010,182,1,2000,455,Colfax,2009,S246
State Center,2,2011,175,1,2000,455,Colfax,2009,S246
State Center,3,2012,187,1,2000,455,Colfax,2009,S246
State Center,4,2013,225,1,2000,455,Colfax,2009,S246
State Center,5,2014,198,1,2000,455,Colfax,2009,S246
State Center,-3,1999,19,1,2000,455,Marshalltown,2002,S247
State Center,-2,2000,21,1,2000,455,Marshalltown,2002,S247
State Center,-1,2001,24,1,2000,455,Marshalltown,2002,S247
State Center,0,2002,64,1,2000,455,Marshalltown,2002,S247
State Center,1,2003,192,1,2000,455,Marshalltown,2002,S247
State Center,2,2004,223,1,2000,455,Marshalltown,2002,S247
State Center,3,2005,210,1,2000,455,Marshalltown,2002,S247
State Center,4,2006,219,1,2000,455,Marshalltown,2002,S247
State Center,5,2007,194,1,2000,455,Marshalltown,2002,S247
Strawberry Point,-3,2009,290,0,0,470,Lansing,2012,S254
Strawberry Point,-2,2010,217,0,0,470,Lansing,2012,S254
Strawberry Point,-1,2011,201,0,0,470,Lansing,2012,S254
Strawberry Point,0,2012,214,0,0,470,Lansing,2012,S254
Strawberry Point,1,2013,234,0,0,470,Lansing,2012,S254
Strawberry Point,2,2014,228,0,0,470,Lansing,2012,S254
Strawberry Point,3,2015,232,0,0,470,Lansing,2012,S254
Strawberry Point,4,2016,260,0,0,470,Lansing,2012,S254
Strawberry Point,5,2017,238,0,0,470,Lansing,2012,S254
Sumner,-3,2003,292,0,0,230,West Union,2006,S257
Sumner,-2,2004,317,0,0,230,West Union,2006,S257
Sumner,-1,2005,317,0,0,230,West Union,2006,S257
Sumner,0,2006,327,0,0,230,West Union,2006,S257
Sumner,1,2007,321,0,0,230,West Union,2006,S257
Sumner,2,2008,318,0,0,230,West Union,2006,S257
Sumner,3,2009,272,0,0,230,West Union,2006,S257
Sumner,4,2010,294,0,0,230,West Union,2006,S257
Sumner,5,2011,217,0,0,230,West Union,2006,S257
Tama,-3,2006,379,0,0,455,Colfax,2009,S258
Tama,-2,2007,396,0,0,455,Colfax,2009,S258
Tama,-1,2008,386,0,0,455,Colfax,2009,S258
Tama,0,2009,383,0,0,455,Colfax,2009,S258
Tama,1,2010,352,0,0,455,Colfax,2009,S258
Tama,2,2011,310,0,0,455,Colfax,2009,S258
Tama,3,2012,387,0,0,455,Colfax,2009,S258
Tama,4,2013,410,0,0,455,Colfax,2009,S258
Tama,5,2014,408,0,0,455,Colfax,2009,S258
Tama,-3,1999,181,0,0,455,Marshalltown,2002,S259
Tama,-2,2000,180,0,0,455,Marshalltown,2002,S259
Tama,-1,2001,209,0,0,455,Marshalltown,2002,S259
Tama,0,2002,187,0,0,455,Marshalltown,2002,S259
Tama,1,2003,356,0,0,455,Marshalltown,2002,S259
Tama,2,2004,355,0,0,455,Marshalltown,2002,S259
Tama,3,2005,367,0,0,455,Marshalltown,2002,S259
Tama,4,2006,379,0,0,455,Marshalltown,2002,S259
Tama,5,2007,396,0,0,455,Marshalltown,2002,S259
Tama,-3,1997,347,0,0,455,State Center,2000,S261
Tama,-2,1998,192,0,0,455,State Center,2000,S261
Tama,-1,1999,181,0,0,455,State Center,2000,S261
Tama,0,2000,180,0,0,455,State Center,2000,S261
Tama,1,2001,209,0,0,455,State Center,2000,S261
Tama,2,2002,187,0,0,455,State Center,2000,S261
Tama,3,2003,356,0,0,455,State Center,2000,S261
Tama,4,2004,355,0,0,455,State Center,2000,S261
Tama,5,2005,367,0,0,455,State Center,2000,S261
Tipton,-3,2005,873,0,0,161,Washington,2008,S262
Tipton,-2,2006,919,0,0,161,Washington,2008,S262
Tipton,-1,2007,1050,0,0,161,Washington,2008,S262
Tipton,0,2008,1005,0,0,161,Washington,2008,S262
Tipton,1,2009,923,0,0,161,Washington,2008,S262
Tipton,2,2010,960,0,0,161,Washington,2008,S262
Tipton,3,2011,975,0,0,161,Washington,2008,S262
Tipton,4,2012,1008,0,0,161,Washington,2008,S262
Tipton,5,2013,938,0,0,161,Washington,2008,S262
Toledo,-3,2006,387,0,0,455,Colfax,2009,S263
Toledo,-2,2007,404,0,0,455,Colfax,2009,S263
Toledo,-1,2008,429,0,0,455,Colfax,2009,S263
Toledo,0,2009,409,0,0,455,Colfax,2009,S263
Toledo,1,2010,408,0,0,455,Colfax,2009,S263
Toledo,2,2011,325,0,0,455,Colfax,2009,S263
Toledo,3,2012,388,0,0,455,Colfax,2009,S263
Toledo,4,2013,387,0,0,455,Colfax,2009,S263
Toledo,5,2014,393,0,0,455,Colfax,2009,S263
Toledo,-3,1999,350,0,0,455,Marshalltown,2002,S264
Toledo,-2,2000,352,0,0,455,Marshalltown,2002,S264
Toledo,-1,2001,315,0,0,455,Marshalltown,2002,S264
Toledo,0,2002,315,0,0,455,Marshalltown,2002,S264
Toledo,1,2003,421,0,0,455,Marshalltown,2002,S264
Toledo,2,2004,440,0,0,455,Marshalltown,2002,S264
Toledo,3,2005,437,0,0,455,Marshalltown,2002,S264
Toledo,4,2006,387,0,0,455,Marshalltown,2002,S264
Toledo,5,2007,404,0,0,455,Marshalltown,2002,S264
Toledo,-3,1997,414,0,0,455,State Center,2000,S266
Toledo,-2,1998,338,0,0,455,State Center,2000,S266
Toledo,-1,1999,350,0,0,455,State Center,2000,S266
Toledo,0,2000,352,0,0,455,State Center,2000,S266
Toledo,1,2001,315,0,0,455,State Center,2000,S266
Toledo,2,2002,315,0,0,455,State Center,2000,S266
Toledo,3,2003,421,0,0,455,State Center,2000,S266
Toledo,4,2004,440,0,0,455,State Center,2000,S266
Toledo,5,2005,437,0,0,455,State Center,2000,S266
Traer,-3,2006,280,0,0,455,Colfax,2009,S267
Traer,-2,2007,600,0,0,455,Colfax,2009,S267
Traer,-1,2008,294,0,0,455,Colfax,2009,S267
Traer,0,2009,327,0,0,455,Colfax,2009,S267
Traer,1,2010,394,0,0,455,Colfax,2009,S267
Traer,2,2011,246,0,0,455,Colfax,2009,S267
Traer,3,2012,316,0,0,455,Colfax,2009,S267
Traer,4,2013,318,0,0,455,Colfax,2009,S267
Traer,5,2014,268,0,0,455,Colfax,2009,S267
Traer,-3,1999,215,0,0,455,Marshalltown,2002,S268
Traer,-2,2000,233,0,0,455,Marshalltown,2002,S268
Traer,-1,2001,227,0,0,455,Marshalltown,2002,S268
Traer,0,2002,217,0,0,455,Marshalltown,2002,S268
Traer,1,2003,295,0,0,455,Marshalltown,2002,S268
Traer,2,2004,281,0,0,455,Marshalltown,2002,S268
Traer,3,2005,305,0,0,455,Marshalltown,2002,S268
Traer,4,2006,280,0,0,455,Marshalltown,2002,S268
Traer,5,2007,600,0,0,455,Marshalltown,2002,S268
Traer,-3,1997,255,0,0,455,State Center,2000,S270
Traer,-2,1998,180,0,0,455,State Center,2000,S270
Traer,-1,1999,215,0,0,455,State Center,2000,S270
Traer,0,2000,233,0,0,455,State Center,2000,S270
Traer,1,2001,227,0,0,455,State Center,2000,S270
Traer,2,2002,217,0,0,455,State Center,2000,S270
Traer,3,2003,295,0,0,455,State Center,2000,S270
Traer,4,2004,281,0,0,455,State Center,2000,S270
Traer,5,2005,305,0,0,455,State Center,2000,S270
Tripoli,-3,2003,158,0,0,230,West Union,2006,S273
Tripoli,-2,2004,154,0,0,230,West Union,2006,S273
Tripoli,-1,2005,151,0,0,230,West Union,2006,S273
Tripoli,0,2006,147,0,0,230,West Union,2006,S273
Tripoli,1,2007,188,0,0,230,West Union,2006,S273
Tripoli,2,2008,136,0,0,230,West Union,2006,S273
Tripoli,3,2009,124,0,0,230,West Union,2006,S273
Tripoli,4,2010,118,0,0,230,West Union,2006,S273
Tripoli,5,2011,137,0,0,230,West Union,2006,S273
Wapello,-3,2005,426,0,0,161,Washington,2008,S274
Wapello,-2,2006,455,0,0,161,Washington,2008,S274
Wapello,-1,2007,432,0,0,161,Washington,2008,S274
Wapello,0,2008,415,0,0,161,Washington,2008,S274
Wapello,1,2009,352,0,0,161,Washington,2008,S274
Wapello,2,2010,382,0,0,161,Washington,2008,S274
Wapello,3,2011,338,0,0,161,Washington,2008,S274
Wapello,4,2012,360,0,0,161,Washington,2008,S274
Wapello,5,2013,335,0,0,161,Washington,2008,S274
Waukon,-3,2009,1273,0,0,470,Lansing,2012,S277
Waukon,-2,2010,1255,0,0,470,Lansing,2012,S277
Waukon,-1,2011,1252,0,0,470,Lansing,2012,S277
Waukon,0,2012,1284,0,0,470,Lansing,2012,S277
Waukon,1,2013,1281,0,0,470,Lansing,2012,S277
Waukon,2,2014,1261,0,0,470,Lansing,2012,S277
Waukon,3,2015,1237,0,0,470,Lansing,2012,S277
Waukon,4,2016,1229,0,0,470,Lansing,2012,S277
Waukon,5,2017,1134,0,0,470,Lansing,2012,S277
Waverly,-3,2003,1499,1,1989,230,West Union,2006,S280
Waverly,-2,2004,1607,1,1989,230,West Union,2006,S280
Waverly,-1,2005,1579,1,1989,230,West Union,2006,S280
Waverly,0,2006,1559,1,1989,230,West Union,2006,S280
Waverly,1,2007,1555,1,1989,230,West Union,2006,S280
Waverly,2,2008,1545,1,1989,230,West Union,2006,S280
Waverly,3,2009,1454,1,1989,230,West Union,2006,S280
Waverly,4,2010,1508,1,1989,230,West Union,2006,S280
Waverly,5,2011,1524,1,1989,230,West Union,2006,S280
Wellman,-3,2005,179,0,0,161,Washington,2008,S282
Wellman,-2,2006,171,0,0,161,Washington,2008,S282
Wellman,-1,2007,176,0,0,161,Washington,2008,S282
Wellman,0,2008,170,0,0,161,Washington,2008,S282
Wellman,1,2009,192,0,0,161,Washington,2008,S282
Wellman,2,2010,185,0,0,161,Washington,2008,S282
Wellman,3,2011,200,0,0,161,Washington,2008,S282
Wellman,4,2012,214,0,0,161,Washington,2008,S282
Wellman,5,2013,226,0,0,161,Washington,2008,S282
West Burlington,-3,2006,416,0,0,192,Fort Madison,2009,S284
West Burlington,-2,2007,482,0,0,192,Fort Madison,2009,S284
West Burlington,-1,2008,410,0,0,192,Fort Madison,2009,S284
West Burlington,0,2009,438,0,0,192,Fort Madison,2009,S284
West Burlington,1,2010,430,0,0,192,Fort Madison,2009,S284
West Burlington,2,2011,504,0,0,192,Fort Madison,2009,S284
West Burlington,3,2012,752,0,0,192,Fort Madison,2009,S284
West Burlington,4,2013,853,0,0,192,Fort Madison,2009,S284
West Burlington,5,2014,739,0,0,192,Fort Madison,2009,S284
West Burlington,-3,1999,423,0,0,192,Mount Pleasant,2002,S286
West Burlington,-2,2000,423,0,0,192,Mount Pleasant,2002,S286
West Burlington,-1,2001,428,0,0,192,Mount Pleasant,2002,S286
West Burlington,0,2002,469,0,0,192,Mount Pleasant,2002,S286
West Burlington,1,2003,453,0,0,192,Mount Pleasant,2002,S286
West Burlington,2,2004,419,0,0,192,Mount Pleasant,2002,S286
West Burlington,3,2005,429,0,0,192,Mount Pleasant,2002,S286
West Burlington,4,2006,416,0,0,192,Mount Pleasant,2002,S286
West Burlington,5,2007,482,0,0,192,Mount Pleasant,2002,S286
West Liberty,-3,2005,315,0,0,161,Washington,2008,S287
West Liberty,-2,2006,299,0,0,161,Washington,2008,S287
West Liberty,-1,2007,296,0,0,161,Washington,2008,S287
West Liberty,0,2008,310,0,0,161,Washington,2008,S287
West Liberty,1,2009,305,0,0,161,Washington,2008,S287
West Liberty,2,2010,288,0,0,161,Washington,2008,S287
West Liberty,3,2011,1448,0,0,161,Washington,2008,S287
West Liberty,4,2012,1490,0,0,161,Washington,2008,S287
West Liberty,5,2013,1525,0,0,161,Washington,2008,S287
Williamsburg,-3,2005,435,0,0,161,Washington,2008,S291
Williamsburg,-2,2006,535,0,0,161,Washington,2008,S291
Williamsburg,-1,2007,544,0,0,161,Washington,2008,S291
Williamsburg,0,2008,566,0,0,161,Washington,2008,S291
Williamsburg,1,2009,485,0,0,161,Washington,2008,S291
Williamsburg,2,2010,500,0,0,161,Washington,2008,S291
