town,time,cal_year,downtown_jobs,treated,treated_yr,cz,match,match_treat_yr,townid
Burlington,-3,2006,3626,1,1986,192,Fort Madison,2009,S25
Burlington,-2,2007,3638,1,1986,192,Fort Madison,2009,S25
Burlington,-1,2008,3652,1,1986,192,Fort Madison,2009,S25
Burlington,0,2009,3479,1,1986,192,Fort Madison,2009,S25
Burlington,1,2010,3597,1,1986,192,Fort Madison,2009,S25
Burlington,2,2011,3354,1,1986,192,Fort Madison,2009,S25
Burlington,3,2012,3520,1,1986,192,Fort Madison,2009,S25
Burlington,4,2013,3484,1,1986,192,Fort Madison,2009,S25
Burlington,5,2014,3556,1,1986,192,Fort Madison,2009,S25
Burlington,-3,1999,5584,1,1986,192,Mount Pleasant,2002,S27
Burlington,-2,2000,5422,1,1986,192,Mount Pleasant,2002,S27
Burlington,-1,2001,2499,1,1986,192,Mount Pleasant,2002,S27
Burlington,0,2002,2594,1,1986,192,Mount Pleasant,2002,S27
Burlington,1,2003,3590,1,1986,192,Mount Pleasant,2002,S27
Burlington,2,2004,3537,1,1986,192,Mount Pleasant,2002,S27
Burlington,3,2005,3591,1,1986,192,Mount Pleasant,2002,S27
Burlington,4,2006,3626,1,1986,192,Mount Pleasant,2002,S27
Burlington,5,2007,3638,1,1986,192,Mount Pleasant,2002,S27
Carroll,-3,2009,2254,0,0,621,Jefferson,2012,S30
Carroll,-2,2010,2046,0,0,621,Jefferson,2012,S30
Carroll,-1,2011,1830,0,0,621,Jefferson,2012,S30
Carroll,0,2012,2122,0,0,621,Jefferson,2012,S30
Carroll,1,2013,2267,0,0,621,Jefferson,2012,S30
Carroll,2,2014,2151,0,0,621,Jefferson,2012,S30
Carroll,3,2015,1987,0,0,621,Jefferson,2012,S30
Carroll,4,2016,1953,0,0,621,Jefferson,2012,S30
Carroll,5,2017,1980,0,0,621,Jefferson,2012,S30
Carroll,-3,2006,2120,0,0,621,Manning,2009,S31
Carroll,-2,2007,2243,0,0,621,Manning,2009,S31
Carroll,-1,2008,2133,0,0,621,Manning,2009,S31
Carroll,0,2009,2254,0,0,621,Manning,2009,S31
Carroll,1,2010,2046,0,0,621,Manning,2009,S31
Carroll,2,2011,1830,0,0,621,Manning,2009,S31
Carroll,3,2012,2122,0,0,621,Manning,2009,S31
Carroll,4,2013,2267,0,0,621,Manning,2009,S31
Carroll,5,2014,2151,0,0,621,Manning,2009,S31
Centerville,-3,2003,1102,1,2015,393,Ottumwa,2006,S35
Centerville,-2,2004,1128,1,2015,393,Ottumwa,2006,S35
Centerville,-1,2005,1166,1,2015,393,Ottumwa,2006,S35
Centerville,0,2006,1067,1,2015,393,Ottumwa,2006,S35
Centerville,1,2007,1074,1,2015,393,Ottumwa,2006,S35
Centerville,2,2008,980,1,2015,393,Ottumwa,2006,S35
Centerville,3,2009,990,1,2015,393,Ottumwa,2006,S35
Centerville,4,2010,956,1,2015,393,Ottumwa,2006,S35
Centerville,5,2011,828,1,2015,393,Ottumwa,2006,S35
Clarksville,-3,2003,143,0,0,230,West Union,2006,S44
Clarksville,-2,2004,149,0,0,230,West Union,2006,S44
Clarksville,-1,2005,139,0,0,230,West Union,2006,S44
Clarksville,0,2006,138,0,0,230,West Union,2006,S44
Clarksville,1,2007,182,0,0,230,West Union,2006,S44
Clarksville,2,2008,192,0,0,230,West Union,2006,S44
Clarksville,3,2009,174,0,0,230,West Union,2006,S44
Clarksville,4,2010,188,0,0,230,West Union,2006,S44
Clarksville,5,2011,190,0,0,230,West Union,2006,S44
Clear Lake,-3,2001,588,0,0,304,Mason City,2004,S45
Clear Lake,-2,2002,548,0,0,304,Mason City,2004,S45
Clear Lake,-1,2003,805,0,0,304,Mason City,2004,S45
