NAME,ST,stabbr,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Seven Devils,North Carolina,nc,192,129,117,54,0,0,0,0,0,0,0,0
Seven Springs,North Carolina,nc,110,86,163,166,188,207,197,170,156,164,179,114
Severn,North Carolina,nc,276,263,260,309,356,310,340,323,354,284,0,0
Shallotte,North Carolina,nc,3675,1381,965,680,597,480,493,381,214,174,139,149
Sharpsburg,North Carolina,nc,2024,2421,1536,997,789,490,415,345,275,334,121,0
Shelby,North Carolina,nc,20323,19477,14669,15310,16328,17698,15508,14037,10789,3609,3127,1874
Siler City,North Carolina,nc,7887,6966,4808,4446,4689,4455,2501,2197,1730,1253,895,440
Simpson,North Carolina,nc,416,464,410,407,0,0,0,0,209,0,0,0
Sims,North Carolina,nc,282,128,124,192,205,205,207,173,122,0,0,0
Smithfield,North Carolina,nc,10966,11510,7540,7288,6677,6117,5574,3678,2543,1895,1347,764
Snow Hill,North Carolina,nc,1595,1514,1378,1374,1359,1043,946,928,826,700,450,405
Southern Pines,North Carolina,nc,12334,10918,9129,8620,5937,5198,4272,3225,2524,743,542,517
Southern Shores,North Carolina,nc,2714,2201,1447,520,0,0,0,0,0,0,0,0
Southport,North Carolina,nc,2833,2351,2369,2824,2220,2034,1748,1760,1760,1664,1484,1336
Sparta,North Carolina,nc,1770,1817,1957,1687,1304,1047,620,648,466,159,199,501
Speed,North Carolina,nc,80,70,88,95,142,142,103,127,95,0,0,0
Spencer,North Carolina,nc,3267,3355,3219,2938,3075,2904,3242,3072,3128,2510,1915,0
Spencer Mountain,North Carolina,nc,37,51,135,169,300,0,0,0,0,0,0,0
Spindale,North Carolina,nc,4321,4022,4040,4246,3848,4082,3891,3952,3066,0,0,0
Spring Hope,North Carolina,nc,1320,1261,1221,1254,1334,1336,1275,1222,1222,1221,1246,666
Spring Lake,North Carolina,nc,11964,8098,7524,6273,3968,4110,0,0,0,0,0,0
Spruce Pine,North Carolina,nc,2175,2030,2010,2282,2333,2504,2280,1968,1546,717,0,0
Staley,North Carolina,nc,393,347,204,204,239,260,236,255,241,157,0,0
Stallings,North Carolina,nc,13831,3189,2132,1826,0,0,0,0,0,0,0,0
Stanfield,North Carolina,nc,1486,1113,517,463,458,471,0,0,0,0,0,0
Stanley,North Carolina,nc,3556,3053,2823,2341,2336,1980,1644,1036,1084,584,321,441
Stantonsburg,North Carolina,nc,784,726,782,920,869,897,627,595,607,424,204,0
Star,North Carolina,nc,876,807,775,816,892,745,677,611,634,467,239,211
Statesville,North Carolina,nc,24532,23320,17567,18622,20007,19844,16901,11440,10490,7895,4599,3141
Stedman,North Carolina,nc,1028,664,577,723,505,458,424,356,289,121,0,0
Stem,North Carolina,nc,463,229,249,222,242,221,217,218,256,245,0,0
Stokesdale,North Carolina,nc,5047,3267,2134,0,0,0,0,0,0,0,159,0
Stoneville,North Carolina,nc,1056,1002,1109,1054,1030,951,786,615,564,472,404,0
Stonewall,North Carolina,nc,281,285,279,360,335,214,272,261,329,218,161,168
Stovall,North Carolina,nc,418,376,409,417,405,570,410,415,415,414,305,0
Sugar Mountain,North Carolina,nc,198,226,132,0,0,0,0,0,0,0,0,0
Summerfield,North Carolina,nc,10232,7018,2051,1680,0,0,0,0,0,0,0,0
Sunset Beach,North Carolina,nc,3572,1824,311,304,108,0,0,0,0,0,0,0
Surf City,North Carolina,nc,1853,1393,970,421,166,0,0,0,0,0,0,0
Swansboro,North Carolina,nc,2663,1426,1165,976,1207,1104,559,454,394,420,390,265
Swepsonville,North Carolina,nc,1154,922,1195,0,0,0,0,0,0,0,0,0
Sylva,North Carolina,nc,2588,2435,1809,1699,1561,1564,1382,1409,1340,863,698,281
Tabor City,North Carolina,nc,2511,2509,2330,2710,2400,2338,2033,1552,1165,782,418,0
Tarboro,North Carolina,nc,11415,11138,11037,8741,9425,8411,8120,7148,6379,4568,4129,2499
Tar Heel,North Carolina,nc,117,70,115,118,87,0,0,0,0,0,0,0
Taylorsville,North Carolina,nc,2098,1799,1566,1103,1231,1470,1310,1122,926,1122,662,413
Taylortown,North Carolina,nc,722,845,543,0,0,0,0,0,0,0,0,0
Teachey,North Carolina,nc,376,245,244,373,219,187,226,228,140,164,154,0
Thomasville,North Carolina,nc,26757,19788,15915,14144,15230,15190,11154,11041,10090,5676,3877,751
Tobaccoville,North Carolina,nc,2441,2209,0,0,0,0,0,0,0,0,0,0
Topsail Beach,North Carolina,nc,368,471,346,264,108,0,0,0,0,0,0,0
Trenton,North Carolina,nc,287,206,248,294,539,404,469,431,500,488,331,338
Trent Woods,North Carolina,nc,4155,4192,2366,1177,719,517,0,0,0,0,0,0
Trinity,North Carolina,nc,6614,6690,5469,6878,0,0,0,0,554,400,332,274
Troutman,North Carolina,nc,2383,1592,1493,1360,797,648,613,566,432,342,230,0
Troy,North Carolina,nc,3189,3430,3404,2702,2429,2346,2213,1861,1522,1102,1055,878
Tryon,North Carolina,nc,1646,1760,1680,1796,1951,2223,1985,2043,1670,1067,700,324
Turkey,North Carolina,nc,292,262,234,417,329,199,223,188,213,146,0,0
Unionville,North Carolina,nc,5929,4797,0,0,0,119,124,144,140,135,0,0
Valdese,North Carolina,nc,4490,4485,3914,3364,3182,2941,2730,2615,1816,0,0,0
Vanceboro,North Carolina,nc,1005,898,946,833,758,806,753,826,742,540,392,291
Vandemere,North Carolina,nc,254,289,299,335,379,452,475,436,360,308,296,169
Varnamtown,North Carolina,nc,541,481,404,0,0,0,0,0,0,0,0,0
Vass,North Carolina,nc,720,750,670,828,885,767,757,728,602,407,273,0
Waco,North Carolina,nc,321,328,320,322,245,256,310,281,176,189,185,160
Wade,North Carolina,nc,556,480,238,474,315,0,0,0,362,190,0,0
Wadesboro,North Carolina,nc,5813,3552,3645,4206,3977,3744,3408,3587,3124,2648,2376,1546
Wagram,North Carolina,nc,840,801,480,617,718,562,397,388,309,174,0,0
Wake Forest,North Carolina,nc,30117,12588,5769,3780,3148,2664,3704,1562,1536,1425,1443,823
Walkertown,North Carolina,nc,4675,4009,1200,0,0,0,0,0,0,0,0,0
Wallace,North Carolina,nc,3880,3344,2939,2903,2905,2285,1622,1050,734,648,444,218
Wallburg,North Carolina,nc,3047,0,0,0,0,0,0,0,0,0,0,0
Walnut Cove,North Carolina,nc,1425,1465,1088,1147,1213,1288,1132,1084,1081,651,480,336
Walnut Creek,North Carolina,nc,835,859,623,343,0,0,0,0,0,0,0,0
Walstonburg,North Carolina,nc,219,224,188,181,176,191,177,198,178,158,127,0
Warrenton,North Carolina,nc,862,811,949,908,1035,1124,1166,1147,1072,927,807,836
Warsaw,North Carolina,nc,3054,3051,2859,2910,2701,2221,1598,1483,1222,1108,723,576
Washington,North Carolina,nc,9744,9583,9075,8418,8961,9939,9698,8569,7035,6314,6211,4842
Washington Park,North Carolina,nc,451,440,403,514,517,574,421,295,193,0,0,0
Watha,North Carolina,nc,190,151,99,196,181,174,222,214,227,181,169,0
Waxhaw,North Carolina,nc,9859,2625,1294,1208,1248,729,818,611,840,750,602,752
Waynesville,North Carolina,nc,9869,9232,6758,6765,6488,6159,5295,2940,2414,1942,2008,1307
Weaverville,North Carolina,nc,3120,2416,2107,1495,1280,1041,1111,880,848,606,442,329
Webster,North Carolina,nc,363,486,410,200,181,166,142,84,134,74,227,0
Weddington,North Carolina,nc,9459,6696,3803,0,0,0,0,0,0,0,0,0
Weldon,North Carolina,nc,1655,1374,1392,1844,2304,2165,2295,2341,2323,1872,1999,1433
Wendell,North Carolina,nc,5845,4247,2822,2222,1929,1620,1253,1132,980,1239,759,0
Wentworth,North Carolina,nc,2807,2779,0,0,0,0,0,0,0,0,0,0
Wesley Chapel,North Carolina,nc,7463,2549,0,0,0,0,0,0,0,0,0,0
West Jefferson,North Carolina,nc,1299,1081,1002,822,889,1000,871,883,704,462,0,0
Whispering Pines,North Carolina,nc,2928,2090,1243,1160,362,0,0,0,0,0,0,0
Whitakers,North Carolina,nc,744,799,860,924,926,1004,962,883,930,723,755,388
White Lake,North Carolina,nc,802,529,390,968,232,130,0,0,0,0,0,0
Whiteville,North Carolina,nc,5394,5148,5078,5565,4195,4683,4238,3011,2203,1604,1368,634
Whitsett,North Carolina,nc,590,686,0,0,0,0,0,0,0,0,0,0
Wilkesboro,North Carolina,nc,3413,3159,2573,2335,2038,1568,1370,1309,1042,814,799,634
Williamston,North Carolina,nc,5511,5843,5503,6159,6570,6924,4975,3966,2781,1800,1574,912
Wilmington,North Carolina,nc,106476,75838,55530,44000,46169,44013,45043,33407,32270,33372,25748,20976
Wilson,North Carolina,nc,49167,44405,36930,34424,29347,28753,23010,19234,12613,10612,6717,3525
Wilson's Mills,North Carolina,nc,2277,1291,0,0,0,0,0,0,350,0,0,0
Windsor,North Carolina,nc,3630,2283,2056,2126,2199,1813,1781,1747,1425,1210,684,597
Winfall,North Carolina,nc,594,554,501,634,581,269,421,160,426,288,289,222
Wingate,North Carolina,nc,3491,2406,2821,2615,2569,1304,793,541,526,470,353,0
Winston-Salem,North Carolina,nc,229617,185776,143485,131885,133683,111135,87811,79815,75274,48395,22700,13650
Winterville,North Carolina,nc,9269,4791,2816,2052,1437,1418,870,848,654,650,484,243
Winton,North Carolina,nc,769,956,796,825,917,835,834,733,582,489,624,688
Woodfin,North Carolina,nc,6123,3162,2736,3260,0,0,0,0,0,0,0,0
Woodland,North Carolina,nc,809,833,760,861,744,651,590,486,501,400,312,242
Wrightsville Beach,North Carolina,nc,2477,2593,2937,2910,1701,723,711,252,109,20,54,22
Yadkinville,North Carolina,nc,2959,2818,2525,2216,2232,1644,820,734,590,445,432,292
Yanceyville,North Carolina,nc,2039,2091,1973,0,1274,1113,1391,0,0,0,338,0
Youngsville,North Carolina,nc,1157,651,424,486,555,596,619,553,395,414,431,345
Zebulon,North Carolina,nc,4433,4046,3173,2055,1839,1534,1378,1070,860,953,483,0
Aberdeen,Ohio,oh,1638,1603,1329,1566,1165,774,551,497,452,477,568,711
Ada,Ohio,oh,5952,5582,5413,5669,5309,3918,3640,2368,2499,2321,2465,2576
Adamsville,Ohio,oh,114,127,151,229,174,167,164,175,190,151,176,201
Addyston,Ohio,oh,938,1010,1198,1195,1336,1376,1651,1610,1708,1448,1543,1513
Adelphi,Ohio,oh,380,371,398,472,455,441,392,414,412,329,407,516
Adena,Ohio,oh,759,815,842,1062,1134,1317,1517,1703,1286,724,570,0
Akron,Ohio,oh,199110,217074,223019,237177,275425,290351,274605,244791,255040,208435,69067,42728
Albany,Ohio,oh,828,808,795,905,899,629,525,551,471,465,546,548
Alexandria,Ohio,oh,517,85,468,489,588,452,464,425,450,415,414,420
Alger,Ohio,oh,860,888,864,992,1071,1068,943,811,857,787,730,462
Alliance,Ohio,oh,22322,23253,23376,24315,26547,28362,26161,22405,23047,21603,15083,8974
Amanda,Ohio,oh,737,707,729,720,788,732,587,561,557,531,484,0
Amberley,Ohio,oh,3585,3425,3108,3442,4761,2951,885,0,0,0,0,0
Amelia,Ohio,oh,4801,2752,1837,1108,820,913,601,550,427,658,417,0
Amesville,Ohio,oh,154,184,250,247,295,255,269,286,298,273,267,0
Amherst,Ohio,oh,12021,11797,10332,10638,9902,6750,3542,2896,2844,2485,2106,1758
Amsterdam,Ohio,oh,511,568,669,783,882,931,1048,1177,1171,1271,1041,0
Andover,Ohio,oh,1145,1269,1216,1205,1179,1116,1102,945,906,921,902,815
Anna,Ohio,oh,1567,1319,1164,1038,792,701,554,485,462,463,460,451
Ansonia,Ohio,oh,1174,1145,1279,1267,1044,1002,877,712,651,807,656,676
Antioch,Ohio,oh,86,89,68,113,112,110,112,145,138,133,169,212
Antwerp,Ohio,oh,1736,1740,1677,1765,1735,1465,1162,1086,1024,1096,1187,1206
Apple Creek,Ohio,oh,1173,999,860,741,784,722,548,510,459,382,400,387
Aquilla,Ohio,oh,340,372,360,355,389,459,386,0,0,0,0,0
Arcadia,Ohio,oh,590,537,546,580,689,610,529,481,490,376,380,425
Arcanum,Ohio,oh,2129,2076,1953,2002,1993,1678,1530,1188,1149,1311,1361,1225
Archbold,Ohio,oh,4346,4290,3440,3318,3047,2348,1486,1236,1185,1125,1082,958
Arlington Heights,Ohio,oh,745,899,1084,1082,1403,1355,1312,1222,1214,730,468,360
Arlington,Ohio,oh,1455,1351,1267,1187,1066,955,825,752,701,606,798,738
Ashland,Ohio,oh,20362,21249,20079,20326,19872,17419,14287,12453,11141,9249,6795,4087
Ashley,Ohio,oh,1330,1216,1059,1057,1034,907,798,762,734,786,706,700
Ashtabula,Ohio,oh,19124,20962,21633,23449,24313,24559,23696,21405,23301,22082,18266,12949
Ashville,Ohio,oh,4097,3174,2254,2046,1772,1639,1303,1101,1085,1032,972,654
Athalia,Ohio,oh,373,328,346,367,287,341,307,263,205,233,226,346
Athens,Ohio,oh,23832,21342,21265,19743,24168,16470,11660,7696,7252,6418,5463,3066
Attica,Ohio,oh,899,955,944,865,1005,965,858,780,783,658,719,694
Aurora,Ohio,oh,15548,13556,9192,8177,6549,4009,571,518,0,0,0,0
Avon,Ohio,oh,21193,11446,7337,7241,7214,6002,2773,2118,1826,1460,0,0
Avon Lake,Ohio,oh,22581,18145,15066,13222,12261,9403,4342,2274,1610,904,0,0
Bailey Lakes,Ohio,oh,371,397,367,397,394,0,0,0,0,0,0,0
Bainbridge,Ohio,oh,860,1012,968,1042,1057,1001,964,913,735,862,883,954
Bairdstown,Ohio,oh,130,130,130,151,138,182,188,176,172,158,240,298
Baltic,Ohio,oh,795,743,659,563,571,537,493,492,545,406,377,0
Baltimore,Ohio,oh,2966,2881,2971,2689,2418,2116,1843,835,720,566,551,460
Barberton,Ohio,oh,26550,27899,27623,29751,33052,33805,27820,24028,23934,18811,9410,4354
Barnesville,Ohio,oh,4193,4225,4326,4633,4292,4425,4665,5002,4602,4865,4233,3721
Barnhill,Ohio,oh,396,364,313,327,339,350,392,394,438,513,506,811
Batavia,Ohio,oh,1509,1617,1700,1896,1894,1729,1445,1320,1119,1088,1034,1029
Batesville,Ohio,oh,71,100,95,129,148,160,149,194,214,220,282,312
Bay View,Ohio,oh,632,692,739,804,798,802,0,0,0,0,0,0
Bay Village,Ohio,oh,15651,16087,17000,17846,18163,14489,6917,3356,2294,751,450,0
Beach City,Ohio,oh,1033,1137,1051,1083,1133,1151,940,812,725,658,671,364
Beachwood,Ohio,oh,11953,12186,10677,9983,9631,6089,1073,372,249,225,0,0
Beallsville,Ohio,oh,409,423,464,601,452,441,410,450,479,555,564,554
Beaver,Ohio,oh,449,464,336,330,317,341,285,305,295,278,286,262
Beavercreek,Ohio,oh,45193,37984,33626,31589,0,0,0,0,0,0,0,0
Beaverdam,Ohio,oh,382,356,467,492,525,514,450,377,360,394,455,477
Bedford,Ohio,oh,13074,14214,14822,15056,17552,15223,9105,7390,6814,2677,1783,1486
Bedford Heights,Ohio,oh,10751,11375,12131,13214,13063,5275,0,0,0,0,0,0
Bellaire,Ohio,oh,4278,4892,6028,8241,9655,11502,12573,13799,13327,15061,12946,9912
Bellbrook,Ohio,oh,6943,7009,6511,5174,1268,941,425,410,389,286,283,352
Belle Center,Ohio,oh,813,807,796,930,985,949,889,835,861,909,889,962
Belle Valley,Ohio,oh,223,263,267,329,393,438,458,617,603,1050,689,0
Bellefontaine,Ohio,oh,13370,13069,12142,11888,11255,11424,10232,9808,9543,9336,8238,6649
Bellevue,Ohio,oh,8202,8193,8146,8187,8604,8286,6906,6127,6256,5776,5209,4101
Bellville,Ohio,oh,1918,1773,1568,1714,1685,1621,1355,1199,987,998,1056,1039
Belmont,Ohio,oh,453,532,471,714,666,563,638,697,674,680,572,422
Belmore,Ohio,oh,143,171,161,205,319,232,216,238,251,269,298,334
Beloit,Ohio,oh,978,1024,1037,1093,921,877,778,706,694,589,510,0
Belpre,Ohio,oh,6441,6660,6796,7193,7189,5418,2451,1717,1724,1317,1249,0
Bentleyville,Ohio,oh,864,947,674,381,338,301,152,117,83,0,0,0
Benton Ridge,Ohio,oh,299,315,351,343,329,325,337,304,245,240,352,359
Berea,Ohio,oh,19093,18970,19051,19567,22465,16592,12051,6025,5697,2959,2609,2510
Bergholz,Ohio,oh,664,769,713,914,914,955,1035,1122,918,1215,1011,0
Berkey,Ohio,oh,237,265,264,306,294,257,239,248,261,201,0,0
Berlin Heights,Ohio,oh,714,685,691,756,828,721,613,552,569,514,554,625
Bethel,Ohio,oh,2711,2637,2407,2231,2214,2019,1932,1604,1312,1340,1201,850
Bethesda,Ohio,oh,1256,1413,1161,1429,1157,1178,1158,1127,1159,1182,0,0
Bettsville,Ohio,oh,661,784,752,752,833,776,687,692,656,451,486,492
Beverly,Ohio,oh,1313,1282,1444,1471,1396,1194,723,671,600,566,720,712
Bexley,Ohio,oh,13057,13203,13088,13405,14888,14319,12378,8705,7396,1342,682,0
Blakeslee,Ohio,oh,96,130,128,136,163,156,142,164,146,121,169,239
Blanchester,Ohio,oh,4243,4220,4206,3202,3080,2944,2109,1785,1597,1671,1813,1788
Bloomdale,Ohio,oh,678,724,632,744,727,669,592,575,578,509,602,740
Bloomingburg,Ohio,oh,938,874,769,869,895,719,623,567,543,552,610,636
Bloomingdale,Ohio,oh,202,221,227,254,289,284,324,339,265,191,185,189
Bloomville,Ohio,oh,956,1045,949,1019,884,836,759,750,700,645,754,819
Blue Ash,Ohio,oh,12114,12513,11860,9510,8324,8341,0,0,0,0,0,0
Bluffton,Ohio,oh,4125,3896,3367,3310,2935,2591,2423,2077,2035,1950,1953,1783
Bolivar,Ohio,oh,994,894,914,989,1084,932,776,596,506,519,567,0
Boston Heights,Ohio,oh,1300,1186,733,781,846,831,646,369,309,0,0,0
Botkins,Ohio,oh,1155,1205,1340,1372,1057,854,608,502,488,557,579,420
Bowerston,Ohio,oh,398,414,343,487,479,463,522,447,440,500,514,526
Bowersville,Ohio,oh,312,290,225,329,358,327,362,316,310,312,297,370
Bowling Green,Ohio,oh,30028,29636,28176,25728,21760,13574,12005,7190,6688,5788,5222,5067
Bradford,Ohio,oh,1842,1859,2005,2166,2163,2148,2055,1775,1732,2356,1844,1254
Bradner,Ohio,oh,985,1171,1093,1175,1140,994,924,890,836,786,890,1148
Brady Lake,Ohio,oh,464,513,490,470,450,544,444,166,78,0,0,0
Bratenahl,Ohio,oh,1197,1337,1356,1485,1613,1332,1240,1350,1308,1000,690,0
Brecksville,Ohio,oh,13656,13382,11818,10132,9137,5435,2664,1900,1308,0,0,0
Bremen,Ohio,oh,1425,1265,1386,1432,1413,1417,1187,1176,1232,1134,925,466
Brewster,Ohio,oh,2112,2324,2307,2321,2020,2025,1618,1534,1464,928,0,0
Brice,Ohio,oh,114,70,109,93,228,0,0,0,0,0,0,0
Bridgeport,Ohio,oh,1831,2186,2318,2642,3001,3824,4309,4853,4655,3977,3974,3963
Broadview Heights,Ohio,oh,19400,15967,12219,10920,11463,6209,2279,1141,689,0,0,0
Brook Park,Ohio,oh,19212,21218,22865,26195,30774,12856,2606,1122,837,861,0,0
Brooklyn,Ohio,oh,11169,11586,11706,12342,13142,10733,6317,1108,784,0,0,0
Brooklyn Heights,Ohio,oh,1543,1558,1450,1653,1527,1449,931,496,413,605,400,0
Brookside,Ohio,oh,632,644,703,887,939,831,845,975,882,426,383,249
Brookville,Ohio,oh,5884,5289,4621,4322,4403,3184,1908,1653,1403,1336,1187,869
Broughton,Ohio,oh,120,166,151,171,155,153,128,131,113,111,195,226
Brunswick,Ohio,oh,34255,33388,28230,28104,15852,11725,0,0,0,0,0,0
Bryan,Ohio,oh,8545,8333,8348,7879,7008,7361,6365,5404,4689,4252,3641,3131
Buchtel,Ohio,oh,558,574,640,585,592,499,569,775,799,1178,1180,0
Buckeye Lake,Ohio,oh,2746,3049,2986,0,0,0,0,0,0,0,0,0
Buckland,Ohio,oh,233,255,239,271,281,300,274,287,242,258,364,349
Bucyrus,Ohio,oh,12362,13224,13496,13433,13111,12276,10327,9727,10027,10425,8122,6560
Burbank,Ohio,oh,207,279,289,365,354,324,393,348,299,300,351,325
Burgoon,Ohio,oh,172,199,224,244,221,243,223,267,246,208,0,0
Burkettsville,Ohio,oh,244,254,268,295,279,290,211,220,155,218,236,0
Burton,Ohio,oh,1455,1450,1349,1401,1214,1085,932,761,597,592,650,727
Butler,Ohio,oh,933,921,968,991,1052,976,833,695,634,622,730,567
Butlerville,Ohio,oh,163,231,188,223,204,224,152,93,68,97,96,125
Byesville,Ohio,oh,2438,2574,2435,2572,2097,2447,2236,2418,2638,2775,3156,1267
Cadiz,Ohio,oh,3353,3308,3439,4058,3060,3259,3020,2808,2597,2084,1971,1755
Cairo,Ohio,oh,524,499,473,596,587,566,505,440,374,380,386,338
Caldwell,Ohio,oh,1748,1956,1786,1935,2082,1999,1767,1705,1778,1706,1430,927
Caledonia,Ohio,oh,577,578,644,759,792,673,655,629,526,492,562,682
Cambridge,Ohio,oh,10635,11520,11748,13573,13656,14562,14739,15044,16129,13104,11327,8241
Camden,Ohio,oh,2046,2302,2210,1971,1507,1308,1084,991,888,904,899,905
Campbell,Ohio,oh,8235,9460,10038,11619,12577,13406,12882,13785,14673,11237,4972,0
Canal Fulton,Ohio,oh,5479,5061,4157,3481,2367,1555,1258,1115,1160,1057,978,1172
Canal Winchester,Ohio,oh,7101,4478,2617,2749,2412,1976,1194,1046,906,791,740,662
Canfield,Ohio,oh,7515,7374,5409,5535,4997,3252,1465,1141,1015,806,685,672
Canton,Ohio,oh,73007,80806,84161,93077,110053,113631,116912,108401,104906,87091,50217,30667
Cardington,Ohio,oh,2047,1849,1770,1665,1730,1613,1465,1304,1192,1109,1349,1354
Carey,Ohio,oh,3674,3901,3684,3674,3523,3722,3260,2984,2722,2488,2225,1816
Carlisle,Ohio,oh,4915,5121,4872,4276,3821,671,0,0,0,0,0,0
Carroll,Ohio,oh,524,488,558,641,614,444,416,337,351,348,284,223
Carrollton,Ohio,oh,3241,3190,3042,3065,2817,2786,2658,2548,2286,2192,1730,1271
Casstown,Ohio,oh,267,322,246,331,380,366,368,306,298,291,265,262
Castalia,Ohio,oh,852,935,915,973,1045,954,736,0,0,0,0,0
Castine,Ohio,oh,130,129,163,147,150,169,146,124,91,146,142,0
Catawba,Ohio,oh,272,312,268,317,323,355,313,279,244,258,234,231
Cecil,Ohio,oh,188,216,249,267,295,288,266,266,250,263,290,326
Cedarville,Ohio,oh,4019,3828,3210,2799,2342,1702,1292,1034,940,1028,1059,1189
Celina,Ohio,oh,10400,10303,9650,9137,8072,7659,5703,4841,4664,4226,3493,2815
Centerburg,Ohio,oh,1773,1432,1323,1275,1038,963,887,779,761,775,723,706
Centerville,Ohio,oh,23999,23024,21082,18886,10333,3490,827,561,400,335,353,290
Centerville,Ohio,oh,103,134,128,148,114,251,142,113,127,96,143,198
Chagrin Falls,Ohio,oh,4113,4024,4146,4335,4848,3458,3085,2505,2739,2237,1931,1586
Chardon,Ohio,oh,5148,5156,4446,4434,3991,3154,2478,2001,1818,1566,1542,1360
Chatfield,Ohio,oh,189,218,206,228,291,263,204,216,236,239,270,298
Chauncey,Ohio,oh,1049,1067,980,1050,1117,996,1016,1234,1269,1178,821,0
Cherry Fork,Ohio,oh,155,127,178,210,176,185,197,219,195,0,0,0
Chesapeake,Ohio,oh,745,842,1073,1370,1364,1396,1285,1068,1094,821,541,0
Cheshire,Ohio,oh,132,221,250,297,315,369,0,0,0,0,0,0
Chesterhill,Ohio,oh,289,305,309,395,361,876,426,442,431,427,410,480
Chesterville,Ohio,oh,228,193,286,242,264,275,208,188,184,155,229,230
Cheviot,Ohio,oh,8375,9015,9616,9888,11135,10701,9944,9043,8046,4108,1930,0
Chickasaw,Ohio,oh,290,364,378,381,326,275,166,141,149,214,309,310
Chillicothe,Ohio,oh,21901,21796,21923,23420,24842,24957,20133,20129,18340,15831,14508,12976
Chilo,Ohio,oh,63,97,130,173,174,0,0,0,0,0,0,0
Chippewa Lake,Ohio,oh,711,823,271,245,341,210,107,42,22,0,0,0
Christiansburg,Ohio,oh,526,553,599,593,724,788,666,536,482,473,0,0
Cincinnati,Ohio,oh,296943,331285,364040,385409,453514,502550,503998,455610,451160,401247,363591,325902
Circleville,Ohio,oh,13314,13485,11666,11700,11687,11059,8723,7982,7369,7049,6744,6991
Clarington,Ohio,oh,384,444,406,558,338,394,478,490,506,607,784,905
Clarksburg,Ohio,oh,455,516,523,483,457,438,391,390,400,420,558,551
Clarksville,Ohio,oh,548,497,485,525,574,583,510,430,401,410,425,465
Clay Center,Ohio,oh,276,294,289,327,370,446,590,0,0,0,0,0
Clayton,Ohio,oh,13209,13347,713,752,773,550,466,0,0,0,0,0
Cleveland,Ohio,oh,396815,478403,505616,573822,750879,876050,914808,878336,900429,796841,560653,381768
Cleveland Heights,Ohio,oh,46121,49958,54052,56438,60767,61813,59141,54992,50945,15236,2955,0
Cleves,Ohio,oh,3234,2790,2208,2094,2044,2076,1981,1871,1711,1454,1423,1328
Clifton,Ohio,oh,152,179,165,182,216,230,220,187,190,214,239,262
Clinton,Ohio,oh,1214,1337,1175,1277,1335,924,397,367,404,312,305,0
Cloverdale,Ohio,oh,168,201,270,304,253,237,200,185,227,180,222,0
Clyde,Ohio,oh,6325,6064,5776,5489,5503,4826,4083,3174,3159,3099,2815,2515
Coal Grove,Ohio,oh,2165,2027,2251,2602,2759,2961,2492,2351,2181,1851,1759,1191
Coalton,Ohio,oh,479,545,553,639,550,648,628,623,646,790,1111,1625
Coldwater,Ohio,oh,4427,4482,4335,4220,3533,2766,2217,2019,1787,1531,869,627
College Corner,Ohio,oh,407,424,379,364,408,439,468,379,375,348,379,378
Columbiana,Ohio,oh,6384,5635,4961,4987,4959,4164,3369,2687,2485,2114,1582,1339
Columbus,Ohio,oh,787033,711470,632910,565021,540025,471316,375901,306087,290564,237031,181511,125560
Columbus Grove,Ohio,oh,2137,2200,2231,2313,2290,2104,1936,1737,1633,1768,1802,1935
Commercial Point,Ohio,oh,1582,776,405,316,320,308,238,207,211,220,234,245
Conesville,Ohio,oh,347,364,420,451,448,451,466,0,0,0,0,0
Congress,Ohio,oh,185,192,162,178,205,186,186,157,126,123,164,198
Conneaut,Ohio,oh,12841,12485,13241,13835,14552,10557,10230,9355,9691,9343,8319,7133
Continental,Ohio,oh,1153,1188,1214,1179,1185,1147,1023,1059,897,1093,1074,1104
Convoy,Ohio,oh,1085,1110,1200,1140,991,976,910,817,876,932,741,690
Coolville,Ohio,oh,496,528,663,649,672,443,469,463,475,457,370,315
Corning,Ohio,oh,583,593,703,789,838,1065,1215,1433,1411,1628,1564,1401
Cortland,Ohio,oh,7104,6830,5666,5011,2525,1957,1259,1014,940,750,612,620
Corwin,Ohio,oh,421,256,225,276,346,447,326,163,138,136,146,131
Coshocton,Ohio,oh,11216,11682,12193,13405,13747,13106,11675,11509,10908,10847,9603,6473
Covington,Ohio,oh,2584,2559,2603,2610,2575,2473,2172,1945,1807,1885,1848,1791
Craig Beach,Ohio,oh,1180,1254,1402,1657,1451,1139,569,198,0,0,0,0
Crestline,Ohio,oh,4630,5088,4934,5406,5965,5521,4614,4337,4425,4313,3807,3282
Creston,Ohio,oh,2171,2161,1848,1828,1792,1522,1300,1110,1029,894,970,893
Cridersville,Ohio,oh,1852,1817,1885,1843,1103,1053,684,581,559,493,526,581
Crooksville,Ohio,oh,2534,2483,2601,2766,2828,2958,2960,2890,3251,3311,3028,835
Crown City,Ohio,oh,413,411,445,513,371,323,301,364,292,288,295,284
Cumberland,Ohio,oh,367,402,318,461,463,493,537,421,556,636,609,618
Custar,Ohio,oh,179,208,209,254,277,246,263,250,257,316,345,293
Cuyahoga Falls,Ohio,oh,49652,49374,48950,43890,49815,47922,29195,20546,19797,10200,4020,3186
