NAME,ST,stabbr,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Blue Hill,Maine,me,2686,2390,1941,1644,1367,1270,1308,1343,1439,1564,1462,1828
Boothbay Harbor,Maine,me,2165,2334,2347,2207,2320,2252,2290,2121,2076,2025,2021,1926
Boothbay,Maine,me,3120,2960,2648,2308,1814,1617,1559,1370,1345,1432,1700,1766
Bowdoin,Maine,me,3061,2727,2207,1629,858,668,638,467,568,749,814,937
Bowdoinham,Maine,me,2889,2612,2192,1828,1294,1131,1039,915,904,1030,1385,1305
Bowerbank,Maine,me,116,123,72,27,29,17,20,49,43,41,76,66
Bradford,Maine,me,1290,1186,1103,888,569,690,793,734,721,738,930,954
Bradley,Maine,me,1492,1242,1136,1149,1010,951,786,716,671,672,634,682
Bremen,Maine,me,806,782,674,598,454,438,409,383,322,423,550,657
Brewer,Maine,me,9482,8987,9021,9017,9300,9009,6862,6510,6329,6064,5667,4835
Bridgewater,Maine,me,610,612,647,742,895,999,1279,1267,1235,1212,1238,1179
Bridgton,Maine,me,5210,4883,4307,3528,2967,2707,2950,3035,2659,2546,2660,2868
Brighton,Maine,me,70,86,94,74,58,62,106,183,114,293,274,368
Bristol,Maine,me,2755,2644,2326,2095,1721,1441,1476,1355,1413,1419,2415,2572
Brooklin,Maine,me,824,841,785,619,598,525,546,656,782,856,936,936
Brooks,Maine,me,1078,1022,900,804,751,758,747,744,729,691,704,669
Brooksville,Maine,me,934,911,760,753,673,603,751,805,810,1019,1176,1171
Brownfield,Maine,me,1597,1251,1034,767,478,538,612,741,689,835,933,1019
Brownville,Maine,me,1250,1259,1506,1545,1490,1641,1964,1914,1910,1743,1808,1570
Brunswick,Maine,me,20278,21172,20906,17366,16195,15797,10996,8658,7604,7261,6621,6806
Buckfield,Maine,me,2009,1723,1566,1333,929,982,899,903,972,957,1087,1139
Bucksport,Maine,me,4924,4908,4825,4345,3756,3466,3102,2927,2135,1906,2216,2339
Burlington,Maine,me,363,351,360,322,266,353,425,338,301,330,370,394
Burnham,Maine,me,1164,1142,961,951,802,755,706,643,664,643,733,766
Buxton,Maine,me,8034,7452,6494,5775,3135,2339,2009,1708,1574,1560,1675,1838
Byron,Maine,me,145,121,111,114,132,108,96,125,96,217,187,204
Calais,Maine,me,3123,3447,3963,4262,4044,4223,4589,5161,5470,6084,6116,7655
Cambridge,Maine,me,462,492,490,445,281,354,326,310,324,318,369,364
Camden,Maine,me,4850,5254,5060,4584,4115,3988,3670,3554,3606,3403,3015,2825
Canaan,Maine,me,2275,2017,1636,1189,904,800,785,717,714,822,874,977
Canton,Maine,me,990,1121,951,831,742,728,746,706,767,750,1013,946
Cape Elizabeth,Maine,me,9015,9068,8854,7838,7873,5505,3816,3172,2376,1534,1857,887
Caratunk,Maine,me,69,108,98,84,96,90,96,133,169,193,235,218
Caribou,Maine,me,8189,8312,9415,9916,10419,12464,9923,8218,7248,6018,5377,4758
Carmel,Maine,me,2794,2416,1906,1695,1301,1206,996,870,881,918,1050,932
Carrabassett Valley,Maine,me,781,399,325,107,0,0,0,0,0,0,0,0
Carroll,Maine,me,153,144,0,0,0,0,0,0,0,0,0,0
Carthage,Maine,me,560,520,458,438,354,370,339,281,247,282,292,334
Cary,Maine,me,218,217,235,229,184,208,278,287,241,327,340,400
Casco,Maine,me,3742,3469,3018,2243,1256,947,881,890,713,685,688,783
Castine,Maine,me,1366,1343,1161,1304,1080,824,793,662,726,743,933,925
Castle Hill,Maine,me,425,454,449,509,519,554,581,697,617,571,532,567
Caswell,Maine,me,306,326,408,586,693,853,687,650,642,558,529,368
Central Aroostook,Maine,me,118,95,53,16,82,0,0,0,0,0,0,0
Central Hancock,Maine,me,117,138,138,124,110,0,0,0,0,0,0,0
Central Somerset,Maine,me,338,336,289,278,216,0,0,0,0,0,0,0
Chapman,Maine,me,468,465,422,406,328,376,381,397,409,490,426,285
Charleston,Maine,me,1409,1397,1187,1037,909,750,771,768,716,720,864,842
Charlotte,Maine,me,332,324,271,300,199,260,252,292,250,289,290,315
Chebeague Island,Maine,me,341,0,0,0,0,0,0,0,0,0,0,0
Chelsea,Maine,me,2721,2559,2497,2522,2095,1893,2169,2280,2210,2050,3216,3092
Cherryfield,Maine,me,1232,1157,1183,983,771,780,904,1046,1112,1304,1499,1859
Chester,Maine,me,546,525,442,434,255,261,256,258,253,285,349,363
Chesterville,Maine,me,1352,1170,1012,869,643,505,588,538,575,586,627,709
China,Maine,me,4328,4106,3713,2918,1850,1561,1375,1252,1163,1257,1297,1380
Clifton,Maine,me,921,743,607,462,233,227,193,168,156,185,217,236
Clinton,Maine,me,3486,3340,3312,2696,1971,1729,1623,1436,1354,1230,1268,1398
Codyville,Maine,me,24,19,35,43,45,38,62,79,89,80,69,68
