geoid,name,st,cty_fips,cz,pop2010,rucc,cbsa,csa,metro_type,msp,msp_yr,msp_accr,msp_affl,jobs_02,jobs_03,jobs_04,jobs_05,jobs_06,jobs_07,jobs_08,jobs_09,jobs_10,jobs_11,jobs_12,jobs_13,jobs_14,jobs_15
2639540,Howell,Michigan,26093,232,9489,1,19820,220,Metropolitan Statistical Area,1,2005,1,0,7961,7882,8047,7635,7518,7010,6998,6650,6591,7399,7166,6958,6570,7040
2640000,Huntington Woods,Michigan,26125,232,6238,1,19820,220,Metropolitan Statistical Area,0,0,0,0,999,1020,834,1140,1076,991,1002,993,950,952,1120,1087,1126,1401
2640320,Imlay City,Michigan,26087,232,3597,1,19820,220,Metropolitan Statistical Area,0,0,0,0,1846,2111,2004,1550,1516,1886,1445,1516,1992,2667,2179,2209,2368,2784
2640680,Inkster,Michigan,26163,232,25369,1,19820,220,Metropolitan Statistical Area,0,0,0,0,3404,2690,2643,2704,2409,2394,2309,2145,2130,2635,2745,2608,2246,2321
2644940,Lake Orion,Michigan,26125,232,2973,1,19820,220,Metropolitan Statistical Area,0,0,0,0,2316,2281,2163,2163,1970,1907,1970,1961,2187,2057,2376,2571,2519,2514
2646040,Lapeer,Michigan,26087,232,8841,1,19820,220,Metropolitan Statistical Area,1,2017,0,1,9849,10241,10188,10150,9931,7032,6902,8710,9012,9748,9311,8929,9265,8750
2647800,Lincoln Park,Michigan,26163,232,38144,1,19820,220,Metropolitan Statistical Area,0,0,0,0,8752,8093,7799,7233,6979,6518,6607,5832,5671,5693,6112,5963,5757,5662
2651600,Marine City,Michigan,26147,232,4248,1,19820,220,Metropolitan Statistical Area,0,0,0,0,1657,1731,1734,1782,1980,2110,3506,1302,1060,1158,1306,1225,1138,1246
2652080,Marysville,Michigan,26147,232,9959,1,19820,220,Metropolitan Statistical Area,0,0,0,0,4985,5739,5581,5656,5519,5405,5450,3305,3408,3897,4081,3937,3974,4088
2652940,Melvindale,Michigan,26163,232,10715,1,19820,220,Metropolitan Statistical Area,0,0,0,0,3176,3272,3407,3355,3230,2103,2612,2152,2251,2456,2888,2774,2397,2514
2653960,Milford,Michigan,26125,232,6175,1,19820,220,Metropolitan Statistical Area,0,0,0,0,6314,2456,2600,2462,2252,1825,1845,2079,1765,2025,2209,2178,2238,2800
2655820,Mount Clemens,Michigan,26099,232,16314,1,19820,220,Metropolitan Statistical Area,0,0,0,0,17146,18828,18882,21031,20776,17588,15988,13603,16386,16225,13836,13919,14053,14055
2657100,New Baltimore,Michigan,26099,232,12084,1,19820,220,Metropolitan Statistical Area,0,0,0,0,2567,2441,2622,2514,2286,2235,2241,2311,2279,1304,2895,2647,3087,2936
2658980,Northville,Michigan,26125,232,5970,1,19820,220,Metropolitan Statistical Area,0,0,0,0,2546,2431,2446,2718,2651,2509,2471,2337,4024,3965,2697,2913,2629,2963
2658980,Northville,Michigan,26163,232,5970,1,19820,220,Metropolitan Statistical Area,0,0,0,0,2546,2431,2446,2718,2651,2509,2471,2337,4024,3965,2697,2913,2629,2963
2659920,Oak Park,Michigan,26125,232,29319,1,19820,220,Metropolitan Statistical Area,0,0,0,0,11816,11386,11080,10579,10449,9741,10338,10510,9912,9166,8321,8214,6359,7498
2662020,Oxford,Michigan,26125,232,3436,1,19820,220,Metropolitan Statistical Area,0,0,0,0,985,969,1149,1112,1024,896,812,746,874,857,1487,1448,1525,1602
2664900,Pleasant Ridge,Michigan,26125,232,2526,1,19820,220,Metropolitan Statistical Area,0,0,0,0,410,391,423,449,396,617,556,515,510,555,598,738,742,615
2665060,Plymouth,Michigan,26163,232,9132,1,19820,220,Metropolitan Statistical Area,0,0,0,0,6482,7022,6836,6886,6911,5740,6607,5846,6189,6863,8016,7379,6653,7479
2665440,Pontiac,Michigan,26125,232,59515,1,19820,220,Metropolitan Statistical Area,0,0,0,0,37503,43708,42504,41615,39933,35274,33942,30132,23459,22857,25277,26824,26712,27042
2665820,Port Huron,Michigan,26147,232,30184,1,19820,220,Metropolitan Statistical Area,0,0,0,0,22928,20177,19622,20028,19156,18323,17812,17045,16184,17039,15556,15068,15516,14596
2668380,Richmond,Michigan,26099,232,5735,1,19820,220,Metropolitan Statistical Area,0,0,0,0,1680,1415,1631,1191,1407,1298,1335,1334,1317,1764,2092,2287,2427,2272
2668760,River Rouge,Michigan,26163,232,7903,1,19820,220,Metropolitan Statistical Area,0,0,0,0,1785,1661,1621,1470,1481,1098,1203,871,941,984,777,945,878,982
2669020,Rochester,Michigan,26125,232,12711,1,19820,220,Metropolitan Statistical Area,0,0,0,0,10105,10098,9369,9533,8714,8769,8269,7640,7321,6914,7483,7444,7618,7763
2669180,Rockwood,Michigan,26163,232,3289,1,19820,220,Metropolitan Statistical Area,0,0,0,0,532,484,463,452,500,536,452,413,373,389,479,515,438,528
2669400,Romeo,Michigan,26099,232,3596,1,19820,220,Metropolitan Statistical Area,0,0,0,0,4364,3915,4099,4121,4113,4061,3817,3491,4013,3963,3947,3887,3947,3803
2669800,Roseville,Michigan,26099,232,47299,1,19820,220,Metropolitan Statistical Area,0,0,0,0,19619,18770,18312,18777,18879,18097,18246,16248,16543,17225,16948,16818,17064,16976
2670040,Royal Oak,Michigan,26125,232,57236,1,19820,220,Metropolitan Statistical Area,0,0,0,0,32586,30238,29946,19146,29251,30548,31846,31256,31212,30354,32164,32816,33534,33639
2670680,St. Clair,Michigan,26147,232,5485,1,19820,220,Metropolitan Statistical Area,0,0,0,0,1840,1943,1872,1941,1985,3270,2992,2680,1946,2175,2900,3052,2834,2868
2670760,St. Clair Shores,Michigan,26099,232,59715,1,19820,220,Metropolitan Statistical Area,0,0,0,0,16718,16482,15709,15885,14950,14970,13864,13766,13964,14099,13845,13822,13969,14269
