fips,name,st,county,rucc,pop_2010,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
0806970,Black Forest,Colorado,8041,2,0,0,0,0,0,0
0807025,Black Hawk,Colorado,8047,1,118,289,253,253,668,1200
0807190,Blanca,Colorado,8023,9,385,407,252,380,0,0
0807245,Blende,Colorado,8101,3,0,0,0,0,0,0
0807410,Blue River,Colorado,8117,5,849,0,0,0,0,0
0807420,Blue Sky,Colorado,8087,6,0,0,0,0,0,0
0807571,Bonanza,Colorado,8109,9,16,140,445,91,96,141
0807580,Bonanza Mountain Estates,Colorado,8013,2,0,0,0,0,0,0
0807795,Boone,Colorado,8101,3,339,0,0,0,0,0
0807850,Boulder,Colorado,8013,2,97385,12958,11223,11006,9539,6150
0808070,Bow Mar,Colorado,8005,1,866,0,0,0,0,0
0808290,Brandon,Colorado,8061,9,0,0,0,0,0,0
0808345,Branson,Colorado,8071,7,74,250,237,0,0,0
0808400,Breckenridge,Colorado,8117,5,4540,381,436,796,834,976
0808530,Brick Center,Colorado,8005,1,0,0,0,0,0,0
0808675,Brighton,Colorado,8001,1,33352,4029,3394,2715,850,366
0809115,Brookside,Colorado,8043,4,233,196,198,202,0,0
0809280,Broomfield,Colorado,8014,1,55889,0,0,0,0,0
0809280,Broomfield,Colorado,8014,1,55889,200,0,0,0,0
0809555,Brush,Colorado,8087,6,5463,2481,2312,2103,997,381
0810105,Buena Vista,Colorado,8015,7,2617,779,751,903,1041,1006
0810600,Burlington,Colorado,8063,7,4254,1280,1280,991,368,183
0810985,Byers,Colorado,8005,1,0,0,0,0,0,0
0811260,Calhan,Colorado,8041,2,780,352,399,0,0,0
0811645,Campo,Colorado,8009,9,109,0,0,0,0,0
0811975,Capulin,Colorado,8021,9,0,0,0,0,0,0
0812045,Carbondale,Colorado,8045,5,6427,437,283,310,284,173
0812325,Cascade-Chipita Park,Colorado,8041,2,0,0,0,0,0,0
0812387,Castle Pines,Colorado,8035,1,0,0,0,0,0,0
0812390,Castle Pines North,Colorado,8035,1,10360,0,0,0,0,0
0812415,Castle Rock,Colorado,8035,1,48231,580,478,461,365,304
0812415,Castle Rock,Colorado,8035,1,48231,600,478,461,365,304
0812450,Cathedral,Colorado,8053,9,0,0,0,0,0,0
0812460,Catherine,Colorado,8045,5,0,0,0,0,0,0
0812470,Cattle Creek,Colorado,8045,5,0,0,0,0,0,0
0812635,Cedaredge,Colorado,8029,6,2253,556,463,455,295,0
0812815,Centennial,Colorado,8005,1,100377,0,0,0,0,0
0812855,Center,Colorado,8109,9,2230,1515,1011,547,385,0
0812910,Central City,Colorado,8047,1,663,706,572,552,1782,3114
0812945,Chacra,Colorado,8045,5,0,0,0,0,0,0
0813460,Cheraw,Colorado,8089,6,252,184,293,186,0,0
0813590,Cherry Creek,Colorado,8005,1,0,0,0,0,0,0
0813845,Cherry Hills Village,Colorado,8005,1,5987,0,0,0,0,0
0814175,Cheyenne Wells,Colorado,8017,9,846,695,595,508,270,0
0814175,Cheyenne Wells,Colorado,8017,9,846,695,595,508,270,298
0814587,Cimarron Hills,Colorado,8041,2,0,0,0,0,0,0
0815165,Clifton,Colorado,8077,3,19889,1712,1246,1105,1126,0
0815302,Coal Creek,Colorado,8059,1,343,261,435,618,676,698
0815330,Coal Creek,Colorado,8043,4,343,261,435,618,676,698
0815440,Coaldale,Colorado,8043,4,0,0,0,0,0,0
0815550,Cokedale,Colorado,8071,7,129,0,0,0,0,0
0815605,Collbran,Colorado,8077,3,708,301,341,286,156,0
0815825,Colona,Colorado,8091,9,0,0,0,0,0,0
0815935,Colorado City,Colorado,8101,3,0,0,0,0,4333,2914
0815935,Colorado City,Colorado,8101,3,0,0,0,0,0,0
0816000,Colorado Springs,Colorado,8041,2,416427,36789,33237,30105,29078,21085
0816110,Columbine,Colorado,8059,1,24280,0,0,0,0,0
0816110,Columbine,Colorado,8059,1,0,0,0,0,0,0
0816385,Columbine Valley,Colorado,8005,1,1256,0,0,0,0,0
0816465,Comanche Creek,Colorado,8005,1,0,0,0,0,0,0
0816495,Commerce City,Colorado,8001,1,45913,0,0,0,0,0
0816715,Conejos,Colorado,8021,9,0,0,0,0,0,348
0816715,Conejos,Colorado,8021,9,0,0,0,0,0,0
0817150,Copper Mountain,Colorado,8117,5,0,0,0,0,0,0
0817375,Cortez,Colorado,8083,6,8482,1778,921,541,565,125
0817485,Cotopaxi,Colorado,8043,4,0,0,0,0,0,0
0817760,Craig,Colorado,8081,7,9464,2123,1418,1297,392,0
0817925,Crawford,Colorado,8029,6,431,221,157,149,0,0
0818310,Crested Butte,Colorado,8051,7,1487,1145,1251,1213,904,988
0818420,Crestone,Colorado,8109,9,127,172,86,74,231,0
0818530,Cripple Creek,Colorado,8119,2,1189,2358,1427,2325,6206,10147
0818585,Crisman,Colorado,8013,2,0,0,0,0,0,0
0818640,Crook,Colorado,8075,7,110,236,251,232,0,0
0818750,Crowley,Colorado,8025,8,176,318,323,224,0,0
0819080,Dacono,Colorado,8123,2,4152,296,275,172,180,0
0819150,Dakota Ridge,Colorado,8059,1,0,0,0,0,0,0
0819355,De Beque,Colorado,8077,3,504,280,347,292,149,83
0819630,Deer Trail,Colorado,8005,1,546,387,390,0,0,0
0819795,Del Norte,Colorado,8105,7,1686,1923,1410,1007,840,705
0819850,Delta,Colorado,8029,6,8915,3717,2938,2623,2388,819
0820000,Denver,Colorado,8031,1,600158,322412,287861,256491,213381,133859
0820275,Derby,Colorado,8001,1,0,0,0,0,0,0
0820440,Dillon,Colorado,8117,5,904,161,92,126,134,143
0820495,Dinosaur,Colorado,8081,7,339,0,0,0,0,0
0820605,Divide,Colorado,8119,2,0,0,0,0,0,0
0820770,Dolores,Colorado,8083,6,936,804,557,465,320,108
0821155,Dotsero,Colorado,8037,5,0,0,0,0,0,0
0821265,Dove Creek,Colorado,8033,9,735,418,0,0,0,0
0821330,Dove Valley,Colorado,8005,1,0,0,0,0,0,0
0821390,Downieville-Lawson-Dumont,Colorado,8019,1,0,0,0,0,0,0
0822035,Durango,Colorado,8067,4,16887,5887,5400,4116,4686,3317
0822145,Eads,Colorado,8061,9,609,700,518,406,0,0
0822200,Eagle,Colorado,8037,5,6508,518,341,358,186,124
0822575,East Pleasant View,Colorado,8059,1,0,0,0,0,0,0
0822860,Eaton,Colorado,8123,2,4365,1322,1221,1289,1157,384
0823025,Eckley,Colorado,8125,7,257,358,359,332,0,0
0823135,Edgewater,Colorado,8059,1,5170,1648,1473,664,712,0
0823300,Edwards,Colorado,8037,5,0,0,0,0,0,0
0823520,Elbert,Colorado,8039,1,0,0,0,0,0,0
0823575,Eldora,Colorado,8013,2,0,31,16,35,81,395
0823575,Eldora,Colorado,8013,2,0,0,0,0,0,0
0823630,Eldorado Springs,Colorado,8013,2,0,0,0,0,0,0
0823740,Elizabeth,Colorado,8039,1,1358,275,266,230,194,215
0823795,El Jebel,Colorado,8037,5,3801,0,0,0,0,0
0824235,Ellicott,Colorado,8041,2,0,0,0,0,0,0
0824290,El Moro,Colorado,8071,7,0,0,0,0,0,0
0824620,Empire,Colorado,8019,1,282,174,93,105,179,276
0824785,Englewood,Colorado,8005,1,30255,9680,7980,4356,2983,0
0824950,Erie,Colorado,8013,2,18135,1019,930,697,596,697
0824950,Erie,Colorado,8123,2,18135,1019,930,697,596,697
0825115,Estes Park,Colorado,8069,2,5858,994,417,0,0,0
0825280,Evans,Colorado,8123,2,18537,792,540,505,600,400
0825390,Evergreen,Colorado,8059,1,0,0,0,0,0,0
0825550,Fairmount,Colorado,8059,1,0,0,0,0,0,0
0825610,Fairplay,Colorado,8093,1,679,739,221,183,265,319
0826270,Federal Heights,Colorado,8001,1,11467,0,0,0,0,0
0826600,Firestone,Colorado,8123,2,10147,262,240,214,110,0
0826765,Flagler,Colorado,8063,7,561,506,540,544,0,0
0826875,Fleming,Colorado,8075,7,408,400,365,518,0,0
0827040,Florence,Colorado,8043,4,3881,2632,2475,2629,2712,3728
0827095,Florissant,Colorado,8119,2,0,62,26,48,268,131
0827095,Florissant,Colorado,8119,2,0,0,0,0,0,0
0827175,Floyd Hill,Colorado,8019,1,0,0,0,0,0,0
0827425,Fort Collins,Colorado,8069,2,143986,12251,11489,8755,8210,3053
0827535,Fort Garland,Colorado,8023,9,0,0,0,0,0,0
0827700,Fort Lupton,Colorado,8123,2,7377,1692,1578,1014,614,214
0827700,Fort Lupton,Colorado,8123,2,7377,0,0,0,0,0
0827810,Fort Morgan,Colorado,8087,6,11315,4884,4423,3818,2800,634
0827865,Fountain,Colorado,8041,2,25846,571,577,595,431,0
0827975,Fowler,Colorado,8089,6,1182,922,968,1062,925,0
0828105,Foxfield,Colorado,8005,1,685,0,0,0,0,0
0828250,Franktown,Colorado,8035,1,0,0,0,0,0,0
0828305,Fraser,Colorado,8049,7,1224,0,0,0,0,0
0828360,Frederick,Colorado,8123,2,8679,652,596,361,266,0
0828690,Frisco,Colorado,8117,5,2683,60,18,0,0,0
0828745,Fruita,Colorado,8077,3,12646,1486,1053,1193,881,126
0828745,Fruita,Colorado,8077,3,12646,1466,1053,1193,881,126
0828800,Fruitvale,Colorado,8077,3,0,0,0,0,0,0
0828830,Fulford,Colorado,8037,5,0,0,0,0,0,0
0829295,Garfield,Colorado,8015,7,0,0,0,0,0,0
0829625,Genesee,Colorado,8059,1,0,0,0,0,0,0
0829680,Genoa,Colorado,8073,8,139,214,218,0,0,0
0829735,Georgetown,Colorado,8019,1,1034,391,303,703,950,1418
0829845,Gerrard,Colorado,8105,7,0,0,0,0,0,0
0829955,Gilcrest,Colorado,8123,2,1034,352,324,222,0,0
0830340,Glendale,Colorado,8005,1,4184,0,0,0,0,0
0830350,Glendale,Colorado,8013,2,4184,0,0,0,0,0
0830420,Gleneagle,Colorado,8041,2,0,0,0,0,0,0
0830780,Glenwood Springs,Colorado,8045,5,9614,2253,1825,2073,2019,1350
0830835,Golden,Colorado,8059,1,18867,3175,2426,2135,2477,2152
0830835,Golden,Colorado,8059,1,18867,3175,2426,2484,2477,2152
0830890,Goldfield,Colorado,8119,2,0,195,159,633,1112,2191
0830890,Goldfield,Colorado,8119,2,0,0,0,0,0,0
0830945,Gold Hill,Colorado,8013,2,0,0,0,0,0,0
0831550,Granada,Colorado,8099,7,517,342,352,308,359,204
0831605,Granby,Colorado,8049,7,1864,251,90,32,40,0
0831660,Grand Junction,Colorado,8077,3,58566,12479,10247,8665,7754,3503
0831715,Grand Lake,Colorado,8049,7,471,0,0,0,0,0
0831935,Grand View Estates,Colorado,8035,1,0,0,0,0,0,0
0832155,Greeley,Colorado,8123,2,92889,15995,12203,10958,8179,3023
0832650,Green Mountain Falls,Colorado,8041,2,640,87,41,100,30,40
0833035,Greenwood Village,Colorado,8005,1,13925,0,0,0,0,0
0833310,Grover,Colorado,8123,2,137,137,165,195,0,0
0833420,Guffey,Colorado,8093,1,0,0,0,0,0,0
0833502,Gunbarrel,Colorado,8013,2,0,0,0,0,0,0
0833640,Gunnison,Colorado,8051,7,5854,2177,1415,1329,1026,1200
0833695,Gypsum,Colorado,8037,5,6477,245,165,164,0,0
0834520,Hartman,Colorado,8099,7,81,148,269,175,0,0
0834685,Hasty,Colorado,8011,7,0,0,0,0,0,0
0834740,Haswell,Colorado,8061,9,68,163,156,0,0,0
0834960,Haxtun,Colorado,8095,9,946,985,1027,1118,341,0
0835070,Hayden,Colorado,8107,7,1810,640,554,455,314,0
0835400,Heeney,Colorado,8117,5,0,0,0,0,0,0
0835860,Hidden Lake,Colorado,8013,2,0,0,0,0,0,0
0836410,Highlands Ranch,Colorado,8035,1,96713,0,0,0,0,0
0836410,Highlands Ranch,Colorado,8035,1,0,0,0,0,0,0
0836610,Hillrose,Colorado,8087,6,264,177,210,0,0,0
0836940,Hoehne,Colorado,8071,7,0,0,0,0,0,0
0837215,Holly,Colorado,8099,7,802,864,971,940,724,364
0837220,Holly Hills,Colorado,8005,1,0,0,0,0,0,0
0837270,Holyoke,Colorado,8095,9,2313,1150,1226,1205,659,451
0837380,Hooper,Colorado,8003,7,103,170,155,156,131,177
0837545,Hotchkiss,Colorado,8029,6,944,653,541,572,600,261
0837600,Hot Sulphur Springs,Colorado,8049,7,663,235,142,123,182,0
0837655,Howard,Colorado,8043,4,0,0,0,0,0,0
0837820,Hudson,Colorado,8123,2,2356,295,346,322,0,0
0837875,Hugo,Colorado,8073,8,730,852,712,838,343,0
0838370,Idaho Springs,Colorado,8019,1,1717,2112,1207,1192,2154,2502
0838425,Idalia,Colorado,8125,7,0,0,0,0,0,0
0838480,Idledale,Colorado,8059,1,0,0,0,0,0,0
0838535,Ignacio,Colorado,8067,4,697,555,464,290,0,0
0838590,Iliff,Colorado,8075,7,266,322,266,238,0,0
0838810,Indian Hills,Colorado,8059,1,0,0,0,0,0,0
0838910,Inverness,Colorado,8005,1,0,0,0,0,0,0
0839160,Jackson Lake,Colorado,8087,6,0,0,0,0,0,0
0839195,Jamestown,Colorado,8013,2,274,190,69,150,157,164
0839250,Jansen,Colorado,8071,7,0,0,0,0,0,0
0839745,Joes,Colorado,8125,7,0,0,0,0,0,0
0839800,Johnson Village,Colorado,8015,7,0,0,0,0,0,0
0839855,Johnstown,Colorado,8123,2,9887,961,767,274,198,0
0839965,Julesburg,Colorado,8115,9,1225,1619,1467,1320,962,371
0840185,Keenesburg,Colorado,8123,2,1127,284,297,164,0,0
0840377,Ken Caryl,Colorado,8059,1,32438,0,0,0,0,0
0840377,Ken Caryl,Colorado,8059,1,0,0,0,0,0,0
0840515,Kersey,Colorado,8123,2,1454,268,307,319,304,0
0840550,Keystone,Colorado,8117,5,0,0,0,0,0,0
0840570,Kim,Colorado,8071,7,74,0,0,0,0,0
0840790,Kiowa,Colorado,8039,1,723,195,185,148,0,0
0840900,Kirk,Colorado,8125,7,0,0,0,0,0,0
0841010,Kit Carson,Colorado,8017,9,233,333,0,0,0,0
0841065,Kittredge,Colorado,8059,1,0,0,0,0,0,0
0841560,Kremmling,Colorado,8049,7,1444,567,261,254,141,0
0841835,Lafayette,Colorado,8013,2,24453,2052,1842,1815,1892,970
0842000,Laird,Colorado,8125,7,0,0,0,0,0,0
0842055,La Jara,Colorado,8021,9,818,897,602,521,448,208
0842110,La Junta,Colorado,8089,6,7077,7040,7193,4964,4154,2513
0842330,Lake City,Colorado,8053,9,408,185,259,317,405,700
0842495,Lakeside,Colorado,8059,1,8,39,49,36,103,0
0843000,Lakewood,Colorado,8059,1,142980,0,0,0,0,0
0843110,Lamar,Colorado,8099,7,7804,4445,4233,2512,2977,987
0843110,Lamar,Colorado,8099,7,7804,4445,4165,2512,2977,987
0843220,Laporte,Colorado,8069,2,0,0,0,0,0,0
0843550,Larkspur,Colorado,8035,1,183,0,0,0,0,0
0843605,La Salle,Colorado,8123,2,1955,755,564,460,0,0
0843660,Las Animas,Colorado,8011,7,2410,3232,2517,2252,2008,1192
0844100,La Veta,Colorado,8055,6,800,897,782,737,691,254
0844270,Lazy Acres,Colorado,8013,2,0,0,0,0,0,0
0844320,Leadville,Colorado,8065,6,2602,4774,3771,4959,7508,12455
0844375,Leadville North,Colorado,8065,6,0,0,0,0,0,0
0844595,Lewis,Colorado,8083,6,0,0,0,0,0,0
0844695,Leyner,Colorado,8013,2,0,0,0,0,0,0
0844980,Limon,Colorado,8073,8,1880,1053,1100,1047,534,0
0845145,Lincoln Park,Colorado,8043,4,0,0,0,0,0,0
0845255,Littleton,Colorado,8005,1,41737,2244,2019,1636,1373,738
0845530,Lochbuie,Colorado,8123,2,4726,0,0,0,0,0
0845680,Loghill Village,Colorado,8091,9,0,0,0,0,0,0
0845695,Log Lane Village,Colorado,8087,6,873,0,0,0,0,0
0845750,Loma,Colorado,8077,3,0,0,0,0,0,0
0845955,Lone Tree,Colorado,8035,1,10218,0,0,0,0,0
0845970,Longmont,Colorado,8013,2,86270,7406,6029,5848,4256,2201
0846355,Louisville,Colorado,8013,2,18376,2023,1681,1799,1706,966
0846410,Louviers,Colorado,8035,1,0,0,0,0,0,0
0846465,Loveland,Colorado,8069,2,66859,6145,5506,5065,3651,1091
0847015,Lynn,Colorado,8071,7,0,0,0,0,0,0
0847070,Lyons,Colorado,8013,2,2033,654,567,570,632,547
0847345,McCoy,Colorado,8037,5,0,0,0,0,0,0
0848060,Manassa,Colorado,8021,9,991,1008,953,906,788,739
0848115,Mancos,Colorado,8083,6,1336,748,646,682,567,383
0848445,Manitou Springs,Colorado,8041,2,4992,1462,1205,1129,1357,1303
0848500,Manzanola,Colorado,8089,6,434,531,578,562,428,0
0848555,Marble,Colorado,8051,7,131,240,217,81,782,101
0849325,Maybell,Colorado,8081,7,0,0,0,0,0,0
0849490,Maysville,Colorado,8015,7,0,0,0,0,0,0
0849600,Mead,Colorado,8123,2,3405,191,152,145,114,0
0849875,Meeker,Colorado,8103,9,2475,1399,1069,935,807,507
0850012,Meridian,Colorado,8035,1,0,0,0,0,0,0
0850040,Merino,Colorado,8075,7,284,259,230,263,0,0
0850380,Midland,Colorado,8119,2,0,0,0,0,0,0
0850480,Milliken,Colorado,8123,2,5610,531,483,372,0,0
0850920,Minturn,Colorado,8037,5,1027,596,400,298,241,0
0851250,Moffat,Colorado,8109,9,116,149,0,0,0,0
0851635,Monte Vista,Colorado,8105,7,4444,3208,2610,2484,2544,556
0851690,Montezuma,Colorado,8117,5,65,59,38,69,134,40
0851745,Montrose,Colorado,8085,4,19132,4764,3566,3581,3254,1217
0851800,Monument,Colorado,8041,2,5530,175,192,192,149,156
0851975,Morgan Heights,Colorado,8087,6,0,0,0,0,0,0
0852075,Morrison,Colorado,8059,1,428,216,177,195,251,0
0852210,Mountain Meadows,Colorado,8013,2,0,0,0,0,0,0
0852350,Mountain View,Colorado,8059,1,507,711,664,372,390,0
0852550,Mountain Village,Colorado,8113,9,1320,0,0,0,0,0
0852570,Mount Crested Butte,Colorado,8051,7,801,0,0,0,0,0
0852820,Mulford,Colorado,8045,5,0,0,0,0,0,0
0853120,Naturita,Colorado,8085,4,546,0,0,0,0,0
0853175,Nederland,Colorado,8013,2,1445,384,285,291,446,0
0853395,New Castle,Colorado,8045,5,4518,484,470,447,493,431
0853780,Niwot,Colorado,8013,2,0,0,0,0,0,0
0853875,No Name,Colorado,8045,5,0,0,0,0,0,0
0853945,Norrie,Colorado,8097,7,0,0,0,0,0,0
0854330,Northglenn,Colorado,8001,1,35789,0,0,0,0,0
0854495,North La Junta,Colorado,8089,6,0,0,0,0,0,0
0854750,North Washington,Colorado,8001,1,0,0,0,0,0,0
0854880,Norwood,Colorado,8113,9,518,412,299,365,212,0
0854935,Nucla,Colorado,8085,4,711,361,221,217,0,0
0855045,Nunn,Colorado,8123,2,416,190,196,149,143,0
0855155,Oak Creek,Colorado,8107,7,884,1769,1211,967,222,0
0855540,Olathe,Colorado,8085,4,1849,705,593,491,458,0
0855705,Olney Springs,Colorado,8025,8,345,260,228,240,0,0
0855870,Ophir,Colorado,8113,9,159,2,0,0,124,127
0855870,Ophir,Colorado,8113,9,159,2,0,29,124,127
0855925,Orchard,Colorado,8087,6,3119,865,0,531,0,0
0855925,Orchard,Colorado,8087,6,0,0,0,0,0,0
0855980,Orchard City,Colorado,8029,6,3119,865,0,531,0,0
0856035,Orchard Mesa,Colorado,8077,3,0,0,0,0,0,0
0856145,Ordway,Colorado,8025,8,1080,1150,1139,1186,705,138
0856365,Otis,Colorado,8121,9,475,498,529,467,0,0
0856420,Ouray,Colorado,8091,9,1000,951,707,1165,1644,2196
0856475,Ovid,Colorado,8115,9,318,687,649,0,0,0
0856695,Padroni,Colorado,8075,7,0,0,0,0,0,0
0856860,Pagosa Springs,Colorado,8007,7,1727,1591,804,1032,669,367
0856970,Palisade,Colorado,8077,3,2692,855,851,855,900,0
0857025,Palmer Lake,Colorado,8041,2,2420,269,244,160,163,166
0857245,Paoli,Colorado,8095,9,34,85,0,0,0,0
0857300,Paonia,Colorado,8029,6,1451,1117,958,925,1007,0
0857400,Parachute,Colorado,8045,5,1085,230,209,228,268,0
0857400,Parachute,Colorado,8045,5,1085,0,0,0,0,0
0857445,Paragon Estates,Colorado,8013,2,0,0,0,0,0,0
0857630,Parker,Colorado,8035,1,45297,0,0,0,0,0
0857630,Parker,Colorado,8035,1,45297,200,0,0,0,0
0857850,Parshall,Colorado,8049,7,0,0,0,0,0,0
0858235,Peetz,Colorado,8075,7,238,207,244,322,0,0
0858400,Penrose,Colorado,8043,4,0,0,0,0,0,0
0858510,Peoria,Colorado,8005,1,0,0,0,0,0,0
0858592,Perry Park,Colorado,8035,1,0,0,0,0,0,0
0858675,Peyton,Colorado,8041,2,0,0,0,0,0,0
0858758,Phippsburg,Colorado,8107,7,0,0,0,0,0,0
0858960,Piedra,Colorado,8053,9,0,0,0,0,0,0
0859005,Pierce,Colorado,8123,2,834,343,281,327,0,0
0859240,Pine Brook Hill,Colorado,8013,2,0,0,0,0,0,0
0859830,Pitkin,Colorado,8051,7,66,156,228,165,250,203
0860160,Platteville,Colorado,8123,2,2485,561,533,479,430,263
0860600,Poncha Springs,Colorado,8015,7,737,94,80,37,43,97
0860655,Ponderosa Park,Colorado,8039,1,0,0,0,0,0,0
0860765,Portland,Colorado,8091,9,0,0,0,0,0,0
0861315,Pritchett,Colorado,8009,9,140,495,451,0,0,0
0862000,Pueblo,Colorado,8101,3,106595,52162,50096,43050,41747,28157
0862000,Pueblo,Colorado,8101,3,106595,52162,50096,43050,44395,28157
0862220,Pueblo West,Colorado,8101,3,0,0,0,0,0,0
0862660,Ramah,Colorado,8041,2,123,186,171,0,0,0
0862880,Rangely,Colorado,8103,9,2365,0,0,0,0,0
0863265,Red Cliff,Colorado,8037,5,267,715,544,347,383,256
0863320,Red Feather Lakes,Colorado,8069,2,0,0,0,0,0,0
0863375,Redlands,Colorado,8077,3,0,0,0,0,0,0
0863650,Redstone,Colorado,8097,7,0,0,0,0,0,0
0863705,Redvale,Colorado,8085,4,0,0,0,0,0,0
0864090,Rico,Colorado,8033,9,265,388,447,326,368,811
0864200,Ridgway,Colorado,8091,9,924,354,239,400,376,245
0864255,Rifle,Colorado,8045,5,9172,1373,1287,865,698,273
0864255,Rifle,Colorado,8045,5,9172,1373,1287,885,698,273
0864870,Rock Creek Park,Colorado,8041,2,0,0,0,0,0,0
0864970,Rockvale,Colorado,8043,4,487,575,710,1249,1413,870
0865190,Rocky Ford,Colorado,8089,6,3957,3493,3426,3746,3230,2018
0865190,Rocky Ford,Colorado,8089,6,3957,3494,3426,3746,3230,2018
0865685,Rollinsville,Colorado,8047,1,0,0,0,0,0,0
0865740,Romeo,Colorado,8021,9,404,392,188,0,0,0
0866197,Roxborough Park,Colorado,8035,1,0,0,0,0,0,0
0866895,Rye,Colorado,8101,3,153,163,0,0,0,0
0866995,Saddle Ridge,Colorado,8087,6,0,0,0,0,0,0
0867005,Saguache,Colorado,8109,9,485,1219,1010,948,620,389
0867040,St. Ann Highlands,Colorado,8013,2,0,0,0,0,0,0
0867142,St. Mary's,Colorado,8019,1,0,0,0,0,0,0
0867280,Salida,Colorado,8015,7,5236,4969,5065,4689,4425,3722
0867445,Salt Creek,Colorado,8101,3,0,0,0,0,0,0
0867500,San Acacio,Colorado,8023,9,0,0,0,0,0,0
0867830,Sanford,Colorado,8021,9,879,736,597,555,564,0
0868105,San Luis,Colorado,8023,9,629,0,0,0,0,0
0868655,Sawpit,Colorado,8113,9,40,0,0,0,121,94
0868655,Sawpit,Colorado,8113,9,40,0,0,121,121,94
0868847,Security-Widefield,Colorado,8041,2,0,0,0,0,0,0
0868875,Sedalia,Colorado,8035,1,0,0,0,0,0,0
0868930,Sedgwick,Colorado,8115,9,146,373,444,380,0,0
0868985,Segundo,Colorado,8071,7,98,0,0,0,0,0
0869040,Seibert,Colorado,8063,7,181,249,273,311,0,0
0869110,Seven Hills,Colorado,8013,2,0,0,0,0,0,0
0869150,Severance,Colorado,8123,2,3165,138,0,0,0,0
0869480,Shaw Heights,Colorado,8001,1,0,0,0,0,0,0
0869645,Sheridan,Colorado,8005,1,5664,712,587,455,498,442
0869700,Sheridan Lake,Colorado,8061,9,88,0,0,0,0,0
0869810,Sherrelwood,Colorado,8001,1,0,0,0,0,0,0
0870195,Silt,Colorado,8045,5,2930,359,264,165,0,0
0870250,Silver Cliff,Colorado,8027,8,587,309,201,241,250,576
0870360,Silver Plume,Colorado,8019,1,170,139,126,272,460,775
0870525,Silverthorne,Colorado,8117,5,3887,0,0,0,0,0
0870580,Silverton,Colorado,8111,9,637,1127,1301,1150,2153,1360
0870635,Simla,Colorado,8039,1,618,421,351,387,0,0
0871625,Smeltertown,Colorado,8015,7,0,0,0,0,0,0
0871755,Snowmass Village,Colorado,8097,7,2826,0,0,0,0,0
0871790,Snyder,Colorado,8087,6,0,0,0,0,0,0
0872320,Southern Ute,Colorado,8067,4,0,0,0,0,0,0
0872395,South Fork,Colorado,8105,7,386,0,0,0,0,0
0873330,Springfield,Colorado,8009,9,1451,1082,1393,295,0,0
0873330,Springfield,Colorado,8009,9,1451,1082,1393,295,0,44
0873715,Starkville,Colorado,8071,7,59,0,0,0,0,0
0873825,Steamboat Springs,Colorado,8107,7,12088,1613,1198,1249,1227,0
0873935,Sterling,Colorado,8075,7,14777,7411,7195,6415,3044,998
0874080,Stonegate,Colorado,8035,1,0,0,0,0,0,0
