city_fips,name,st,cty_fips,cbsa_fips,cz,rucc,pop_2010,msp,msp_yr,msp_accr,msp_affl,cty_seat
1923115,Dyersville,Iowa,19061,20220,344,3,4058,0,0,0,0,0
1923250,Eagle Grove,Iowa,19197,0,401,7,3583,0,0,0,0,0
1924420,Eldon,Iowa,19179,36900,393,5,927,0,0,0,0,0
1924465,Eldora,Iowa,19083,0,561,6,2732,0,0,0,0,1
1924690,Elkader,Iowa,19043,0,470,8,1273,1,1991,1,0,1
1925590,Emmetsburg,Iowa,19147,0,518,7,3904,0,0,0,0,1
1925860,Estherville,Iowa,19063,0,518,7,6360,0,0,0,0,1
1926265,Exira,Iowa,19009,0,597,8,840,0,0,0,0,0
1926445,Fairfield,Iowa,19101,21840,478,7,9464,0,0,0,0,1
1927165,Fayette,Iowa,19065,0,230,6,1338,0,0,0,0,0
1928380,Forest City,Iowa,19189,0,304,7,4151,0,0,0,0,1
1928515,Fort Dodge,Iowa,19187,22700,401,5,25206,0,0,0,0,1
1928605,Fort Madison,Iowa,19111,22800,192,5,11051,1,2009,1,0,1
1929955,Garner,Iowa,19081,0,304,7,3129,0,0,0,0,1
1930225,George,Iowa,19119,0,504,8,1080,0,0,0,0,0
1931710,Gowrie,Iowa,19187,22700,401,5,1037,0,0,0,0,0
1931980,Grand Junction,Iowa,19073,0,621,6,824,0,0,0,0,0
1932745,Greene,Iowa,19023,0,230,8,1130,0,0,0,0,0
1932790,Greenfield,Iowa,19001,0,15,8,1982,1,1995,1,0,1
1933105,Grinnell,Iowa,19157,0,455,7,9218,0,0,0,0,0
1933150,Griswold,Iowa,19029,0,597,6,1036,0,0,0,0,0
1933195,Grundy Center,Iowa,19075,47940,230,3,2706,1,2015,1,0,1
1933465,Guttenberg,Iowa,19043,0,470,8,1919,0,0,0,0,0
1933780,Hamburg,Iowa,19071,0,295,8,1187,0,0,0,0,0
1933960,Hampton,Iowa,19069,0,561,7,4461,1,1991,1,0,1
1934500,Harlan,Iowa,19165,0,597,6,5106,0,0,0,0,1
1934725,Hartley,Iowa,19141,0,504,7,1672,0,0,0,0,0
1935265,Hawarden,Iowa,19167,0,504,7,2546,0,0,0,0,0
1936840,Holstein,Iowa,19093,0,564,8,1396,0,0,0,0,0
1937515,Hull,Iowa,19167,0,504,7,2175,0,0,0,0,0
1937560,Humboldt,Iowa,19091,0,401,7,4690,0,0,0,0,0
1938010,Ida Grove,Iowa,19093,0,564,8,2142,0,0,0,0,1
1938100,Independence,Iowa,19019,0,230,6,5966,0,0,0,0,1
1938595,Iowa City,Iowa,19103,26980,161,3,67862,0,0,0,0,1
1938640,Iowa Falls,Iowa,19083,0,561,6,5238,1,1990,1,0,0
1939450,Jefferson,Iowa,19073,0,621,6,4345,1,2012,1,0,1
1939675,Jewell Junction,Iowa,19079,0,401,6,1215,0,0,0,0,0
1940845,Keokuk,Iowa,19111,22800,192,5,10780,1,1986,1,0,0
1940935,Keosauqua,Iowa,19177,0,478,9,1006,0,0,0,0,1
1940980,Keota,Iowa,19107,0,393,8,1009,0,0,0,0,0
1941385,Kingsley,Iowa,19149,43580,4,3,1411,0,0,0,0,0
1942015,Knoxville,Iowa,19125,0,393,6,7313,0,0,0,0,1
1942465,Lake City,Iowa,19025,0,401,9,1727,0,0,0,0,0
1942555,Lake Mills,Iowa,19189,0,304,7,2100,0,0,0,0,0
1942690,Lake View,Iowa,19161,0,564,9,1142,0,0,0,0,0
1942960,Lamoni,Iowa,19053,0,526,9,2324,0,0,0,0,0
