city_fips,name,st,cty_fips,cz,rucc,pop_2010
1985845,Williamsburg,Iowa,19095,161,6,3068
1986070,Wilton,Iowa,19139,161,4,2802
1986385,Winfield,Iowa,19087,192,6,1134
2600440,Adrian,Michigan,26091,513,4,21133
2601260,Allegan,Michigan,26005,249,4,4998
2601540,Alma,Michigan,26057,352,6,9383
2601740,Alpena,Michigan,26007,322,7,10483
2604740,Bad Axe,Michigan,26063,583,7,3129
2605320,Baraga,Michigan,26013,13,9,2053
2606900,Belding,Michigan,26067,249,4,5757
2607960,Bessemer,Michigan,26053,130,7,1905
2608300,Big Rapids,Michigan,26107,172,6,10601
2609000,Blissfield,Michigan,26091,513,4,3340
2609820,Boyne City,Michigan,26029,395,7,3735
2610860,Bronson,Michigan,26023,284,6,2349
2612320,Cadillac,Michigan,26165,172,7,10355
2613420,Caro,Michigan,26157,583,6,4229
2613860,Caspian,Michigan,26071,111,7,906
2613880,Cass City,Michigan,26157,583,6,2428
2614780,Charlevoix,Michigan,26029,395,7,2513
2615000,Cheboygan,Michigan,26031,395,7,4867
2615920,Clare,Michigan,26035,352,6,3118
2616480,Clinton,Michigan,26091,513,4,2336
2617020,Coldwater,Michigan,26023,284,6,10945
2617840,Constantine,Michigan,26149,284,4,2076
2618300,Corunna,Michigan,26155,53,4,3497
2618920,Croswell,Michigan,26151,232,6,2447
2619140,Crystal Falls,Michigan,26071,111,7,1469
2623500,Durand,Michigan,26155,53,4,3446
2624020,East Jordan,Michigan,26029,395,7,2351
2624420,East Tawas,Michigan,26069,322,7,2808
2626360,Escanaba,Michigan,26041,519,5,12616
2626640,Evart,Michigan,26133,172,9,1903
2630260,Frankfort,Michigan,26019,104,9,1286
2630700,Fremont,Michigan,26123,249,6,4081
2631720,Gaylord,Michigan,26137,322,7,3645
2632300,Gladstone,Michigan,26041,519,5,4973
2632320,Gladwin,Michigan,26051,352,6,2933
2634640,Grayling,Michigan,26039,388,7,1884
2636300,Hancock,Michigan,26061,13,5,4634
2636460,Harbor Beach,Michigan,26063,583,7,1703
2636560,Harbor Springs,Michigan,26047,395,7,1194
2636920,Hart,Michigan,26127,249,6,2126
2638460,Hillsdale,Michigan,26059,513,6,8305
2639360,Houghton,Michigan,26061,13,5,7708
2639720,Hudson,Michigan,26091,513,4,2307
2640860,Ionia,Michigan,26067,249,4,11394
2640960,Iron Mountain,Michigan,26043,111,7,7624
2640980,Iron River,Michigan,26071,111,7,3029
2641060,Ironwood,Michigan,26053,130,7,5387
2641220,Ishpeming,Michigan,26103,519,5,6470
2641340,Ithaca,Michigan,26057,352,6,2910
2641920,Jonesville,Michigan,26059,513,6,2258
2642260,Kalkaska,Michigan,26079,104,7,2020
2643300,Kingsford,Michigan,26043,111,7,5133
2644780,Lake Linden,Michigan,26061,13,5,1007
2644880,Lake Odessa,Michigan,26067,249,4,2018
2645540,L'Anse,Michigan,26013,13,9,2011
2646360,Laurium,Michigan,26061,13,5,1977
2649640,Ludington,Michigan,26105,574,7,8076
2650620,Mancelona,Michigan,26009,104,9,1390
2650720,Manistee,Michigan,26101,574,7,6226
2650760,Manistique,Michigan,26153,519,7,3097
2650880,Manton,Michigan,26165,172,7,1287
2651820,Marlette,Michigan,26151,232,6,1875
2651900,Marquette,Michigan,26103,519,5,21355
2653020,Menominee,Michigan,26109,111,7,8599
2655500,Morenci,Michigan,26091,513,4,2220
2656020,Mount Pleasant,Michigan,26073,352,4,26016
2656200,Munising,Michigan,26003,519,7,2355
2656860,Negaunee,Michigan,26103,519,5,4568
2657080,Newaygo,Michigan,26123,249,6,1976
2657140,Newberry,Michigan,26095,508,7,1519
2659220,Norway,Michigan,26043,111,7,2845
2660680,Onaway,Michigan,26141,322,7,880
2660860,Ontonagon,Michigan,26131,130,9,1494
2661620,Otsego,Michigan,26005,249,4,3956
2661940,Owosso,Michigan,26155,53,4,15194
2663820,Petoskey,Michigan,26047,395,7,5670
2664740,Plainwell,Michigan,26005,249,4,3804
2665860,Portland,Michigan,26067,249,4,3883
2666640,Quincy,Michigan,26023,284,6,1652
2667500,Reading,Michigan,26059,513,6,1078
2667820,Reed City,Michigan,26133,172,9,2425
2669260,Rogers City,Michigan,26141,322,7,2827
2670840,St. Ignace,Michigan,26097,508,7,2452
