cty_fips,cal_yr,cty_unemp_rt,cty_pop,lag_unemp
13153,1991,3.9,91479,4
13155,1991,4.8,8714,5.9
13157,1991,6.2,30909,6.3
13159,1991,8.2,8626,5.9
13161,1991,7.2,12035,6.5
13163,1991,6.9,17441,8
13165,1991,5.4,8352,9.9
13167,1991,5.4,8419,6.7
13169,1991,4.3,20955,4.1
13171,1991,5.7,13275,5.3
13173,1991,4.2,5686,4.7
13175,1991,4.8,40473,5.4
13177,1991,4.7,16816,5.5
13179,1991,4.8,53880,6.9
13181,1991,4.5,7525,5.8
13183,1991,3.3,6278,4.9
13185,1991,4,77690,4.7
13187,1991,5.1,15179,5.1
13189,1991,6.3,20357,5.6
13191,1991,6.1,8805,7.4
13193,1991,10,13235,8.9
13195,1991,5.3,21667,7
13197,1991,7,5698,12.8
13199,1991,6.9,22562,7.5
13201,1991,6.2,6306,3.4
13205,1991,8.1,20612,9.6
13207,1991,6.5,17716,6.3
13209,1991,6.2,7489,6.8
13211,1991,6.5,13061,7.2
13213,1991,7.5,27257,6.9
13215,1991,5,180114,6.2
13217,1991,5.8,43472,7
13219,1991,3.3,18422,4.3
13221,1991,5.6,10030,5.9
13223,1991,5.2,44525,5.1
13225,1991,6,21179,5.9
13227,1991,6.8,14849,8.1
13229,1991,6,13418,6.2
13231,1991,5,10557,5.6
13233,1991,9.5,34300,11
13235,1991,4.1,8184,5.8
13237,1991,4.8,14730,3.4
13239,1991,5.6,2253,6.8
13241,1991,6.6,11926,5.2
13243,1991,7.3,8110,8.1
13245,1991,5.7,196040,5.5
13247,1991,4.2,56919,4.4
13249,1991,7.7,3549,9.1
13251,1991,8.9,13846,7.8
13253,1991,6.5,9041,4.1
13255,1991,6.2,55539,5.7
13257,1991,5.5,23759,7.3
13259,1991,8.2,5543,8.5
13261,1991,6.9,30777,8.9
13263,1991,5.9,6513,6.9
13265,1991,5.1,1869,5.3
13267,1991,3.9,18192,4.9
13269,1991,7.7,7686,9
13271,1991,5.6,11096,8.5
13273,1991,6.4,10537,8.4
13275,1991,4.6,39014,5
13277,1991,5.7,35531,7.3
13279,1991,6.4,24188,6.5
13281,1991,5.3,6909,6.4
13283,1991,7,6094,7.6
13285,1991,7.9,56357,6.1
13287,1991,5.4,8830,7.9
13289,1991,5.5,9813,6.1
13291,1991,4.5,12368,4.5
13293,1991,5.3,26321,5.6
13295,1991,6.4,58546,6.4
13297,1991,5.3,39832,6.8
13299,1991,5.8,35551,6.1
13301,1991,11.2,6122,8.5
13303,1991,5.2,19406,5.9
13305,1991,6.3,23284,6.5
13307,1991,6.9,2266,8.1
13309,1991,5.7,5063,7.3
13311,1991,5.3,13532,4.7
13313,1991,5.8,73128,5.4
13315,1991,5.1,7158,4.9
13317,1991,5.1,10619,5.4
13319,1991,4.3,10134,4
13321,1991,4.7,19920,6.1
15001,1991,4.6,NA,3.9
15003,1991,2.1,NA,2.1
15007,1991,4.3,NA,3.9
15009,1991,5.6,NA,4.6
16001,1991,4.2,216798,3.7
16003,1991,14.4,3306,12
16005,1991,6.9,67338,6.9
16007,1991,5,6094,5.3
16009,1991,12.3,8013,10.8
16011,1991,5.5,38360,5.4
16013,1991,6.1,14458,3
16015,1991,7.2,3805,5.8
16017,1991,10.5,27959,9.2
16019,1991,4.1,75033,3.6
16021,1991,10.1,8362,8.8
16023,1991,5.9,2855,4.3
16025,1991,5,767,6.1
16027,1991,7.1,93983,6.4
16029,1991,5.9,7081,4.8
16031,1991,6.4,19747,7.2
16033,1991,2.7,779,2.7
16035,1991,15.5,8514,13.1
16037,1991,6.5,4232,4.5
16039,1991,5.5,21041,5.7
16041,1991,3.4,9438,3.4
16043,1991,8.4,11179,8.1
16045,1991,8.6,12268,6.6
16047,1991,4.4,11915,3.9
16049,1991,11.6,13951,8.4
16051,1991,5.5,16884,5.1
16053,1991,5.6,15511,4.6
16055,1991,7.9,73946,7.5
16057,1991,4.3,31343,4.8
16059,1991,11.2,7056,7.8
16061,1991,7.1,3547,7.8
16063,1991,5.8,3393,3.6
16065,1991,4.4,24081,4.4
16067,1991,6.5,19692,7
16069,1991,4.7,34539,3.9
16071,1991,3.6,3477,3.2
16073,1991,5.7,8524,4.8
16075,1991,7.4,16910,8.5
16077,1991,7,7179,8.6
16079,1991,17.1,14082,9.3
16081,1991,3.6,3603,4
16083,1991,5.7,55073,4.5
16085,1991,10.4,6514,8.4
16087,1991,13.4,8686,9.7
17001,1991,5.6,66689,4.8
17003,1991,12.6,10518,12
17005,1991,8.3,15165,7.3
17007,1991,9.8,31810,6.9
17009,1991,5.7,6171,6.1
17011,1991,6.7,35723,5.3
17013,1991,9.4,5311,10.6
17015,1991,6.9,16646,5.2
17017,1991,7.8,13511,8.3
17019,1991,3.5,175468,2.9
17021,1991,6.8,35039,4.9
17023,1991,7.1,15943,7
17025,1991,8.5,14550,9.4
17027,1991,7.1,34029,6.1
17029,1991,5.4,51895,5.3
17031,1991,8.2,5149050,7.1
17033,1991,9.5,20046,8.6
17035,1991,8.4,10773,8.6
17037,1991,6.5,79564,4.8
17039,1991,7,16613,5.4
17041,1991,5.3,19457,4.1
17043,1991,5.2,801291,3.9
17045,1991,7.7,19496,7.5
17047,1991,9.2,7400,6.3
17049,1991,7.6,31945,6.5
17051,1991,8.4,20743,8.6
17053,1991,5.8,14063,4.1
17055,1991,12.5,40048,13.4
17057,1991,9.7,38186,7.9
17059,1991,8.8,6787,8.1
17061,1991,6.6,15156,5.6
17063,1991,10.6,33255,8.8
17065,1991,11.4,8478,9.7
17067,1991,5.4,21319,4.8
17069,1991,6.9,5117,8.1
17071,1991,6.4,8087,5.8
17073,1991,7,50971,5.3
17075,1991,5,30919,4.7
17077,1991,6.6,60699,6.1
17079,1991,6.9,10563,5.6
17081,1991,11.1,37154,10.1
17083,1991,6.9,20780,5.5
17085,1991,5.6,22008,4.1
17087,1991,11.3,11463,10.4
17089,1991,7.7,325727,5.8
17091,1991,7.5,97598,6.3
17093,1991,6,40290,4.4
17095,1991,6.7,56412,6.2
17097,1991,4.8,532119,3.7
17099,1991,8.6,107553,7.9
17101,1991,9.3,16025,8.3
17103,1991,6.5,34711,4.7
17105,1991,4.3,39086,3
17107,1991,5.9,30726,5.2
17109,1991,3.7,35133,3.2
17111,1991,6.8,193390,5.3
17113,1991,3.7,132200,3.2
17115,1991,8.2,117984,6.3
17117,1991,7.5,47897,6.1
17119,1991,7.2,251778,6
17121,1991,10.8,41571,11
17123,1991,5.8,12840,4.2
17125,1991,9.8,16353,6.9
17127,1991,7.1,14784,6.8
17129,1991,4.6,11229,4
17131,1991,7.1,17219,6.1
17133,1991,5.6,22994,5.8
17135,1991,7.8,30687,7.2
17137,1991,4.7,36582,3.9
17139,1991,6.5,13909,5.7
17141,1991,6.4,46892,5
17143,1991,6.2,184365,5.1
17145,1991,15,21388,12.2
17147,1991,5.6,15602,4.6
17149,1991,6.7,17459,6.5
17151,1991,10.7,4404,9.8
17153,1991,11.2,7463,10.7
17155,1991,7.7,5777,6.7
17157,1991,7.5,34457,7.6
17159,1991,6.4,16556,6.7
17161,1991,6.2,149563,4.9
17163,1991,7.7,261785,7.2
17165,1991,9.9,26479,9.5
17167,1991,4,181315,3.4
17169,1991,7.1,7515,8.3
17171,1991,6.7,5573,5.7
17173,1991,8,22373,6.3
17175,1991,8.2,6460,6.2
17177,1991,6.5,48255,5.8
17179,1991,6.1,124456,4.7
17181,1991,10.7,17699,10.4
17183,1991,8.9,87986,8.6
17185,1991,13.6,13169,7.1
17187,1991,5.7,19223,5.6
17189,1991,7.9,14860,6.5
17191,1991,8.9,17022,9.2
17193,1991,8.7,16359,8.7
17195,1991,6.9,60583,5.4
17197,1991,7.6,367887,6.4
17199,1991,9.4,57879,9
17201,1991,7.1,258085,5.3
17203,1991,3.5,33379,3
18001,1991,7.3,31385,6.5
18003,1991,6,304430,5.1
18005,1991,5.9,64843,4.8
18007,1991,3.9,9415,3.4
18009,1991,12.3,13980,9.2
18011,1991,3.1,38851,2.4
18013,1991,4.6,14263,4.5
18015,1991,4.4,19071,4.1
18017,1991,6.9,38636,6.8
18019,1991,5.7,88661,5.9
18021,1991,6.8,24727,5
18023,1991,4.8,31514,4.6
18025,1991,10.5,9882,9.9
18027,1991,4.7,27816,4
18029,1991,8.5,39695,8.2
18031,1991,4.3,23750,4.2
18033,1991,7.2,35976,6
18035,1991,6.6,119973,5.6
18037,1991,3.6,37211,3.2
18039,1991,6.9,158141,5.5
18041,1991,12.9,25955,13.1
18043,1991,4.6,66052,5
18045,1991,8.1,17793,6.5
18047,1991,8.4,19721,8.2
18049,1991,6.3,18909,4.9
18051,1991,6.2,31794,6.4
18053,1991,8.9,74401,7.8
18055,1991,8.4,30960,8.2
18057,1991,2.5,116070,2.2
18059,1991,4.2,46338,3.1
18061,1991,5.2,30275,5.3
18063,1991,2.9,77754,2.4
18065,1991,8.6,48239,9.2
18067,1991,8.3,81924,7.2
18069,1991,7.9,35851,5.1
18071,1991,7.7,38309,6.3
18073,1991,6.8,25344,6.5
18075,1991,9.3,21621,8.2
18077,1991,8.5,29968,6.8
18079,1991,7.2,23837,5.6
18081,1991,3.6,91898,3
18083,1991,7.3,39821,7.4
18085,1991,5,65604,3.8
18087,1991,7.5,29808,6.2
18089,1991,7.1,479214,6.4
18091,1991,5.7,108151,5.4
18093,1991,9,43060,9.6
18095,1991,6.8,131776,6
18097,1991,4.6,811733,3.7
18099,1991,5.8,42719,5.3
18101,1991,7.4,10358,6.3
18103,1991,8.5,37375,6.2
18105,1991,3.4,110204,3.2
18107,1991,4,34870,3.6
18109,1991,5.2,57058,4.2
18111,1991,4.9,13730,4.5
18113,1991,9.3,38574,7.9
18115,1991,7.3,5364,8
18117,1991,11.2,18513,11.3
18119,1991,5.8,17779,5.6
18121,1991,6,15565,6.1
18123,1991,9.7,19017,9.5
18125,1991,6.3,12359,6.7
18127,1991,4.4,131875,4
18129,1991,5.1,25988,4.7
18131,1991,6.5,12934,6.2
18133,1991,5.5,30965,5
18135,1991,11.7,27158,10.1
18137,1991,8.1,24956,5.8
18139,1991,6.9,18190,6.6
18141,1991,6.2,249397,5.8
18143,1991,8,21242,8.5
18145,1991,6.1,40736,5.7
18147,1991,7.2,19516,6.4
18149,1991,7.6,22832,7.3
18151,1991,7,27879,5.6
18153,1991,8.7,18994,7.1
18155,1991,8.2,7810,7.9
18157,1991,2.7,133136,2.7
18159,1991,6.7,16093,5.7
18161,1991,9.3,7043,8
18163,1991,5.9,166286,5.5
18165,1991,7.1,16609,6.5
18167,1991,5.5,106613,5
18169,1991,8.9,35020,6.3
18171,1991,6,8149,4.7
18173,1991,4.7,45719,4.6
18175,1991,8.4,23880,6.8
18177,1991,11,72018,8.7
18179,1991,5.3,26097,4.5
18181,1991,6.1,23348,5.9
18183,1991,6.7,28020,5.9
19001,1991,3.1,8430,2.5
19003,1991,4.7,4748,3.8
19005,1991,5.4,13996,5.7
19007,1991,6.5,13768,6.9
19009,1991,2.9,7251,3.4
19011,1991,5.2,22526,5.3
19013,1991,6.2,125601,5.9
19015,1991,4.9,25335,4.3
19017,1991,4.7,22931,3.8
19019,1991,5.9,20902,5.6
19021,1991,2.4,20076,2.7
19023,1991,6.3,15788,4.7
19025,1991,3.1,11497,2.4
19027,1991,3.7,21429,4.2
19029,1991,5.4,15062,5.6
19031,1991,3,17505,2.8
19033,1991,5.6,47206,5.4
19035,1991,2.9,14062,2.8
19037,1991,6.8,13219,6.2
19039,1991,6.7,8353,5.1
19041,1991,3.4,17638,2.4
19043,1991,6,18889,5.6
19045,1991,6.1,51064,6
19047,1991,4.5,16739,5.8
19049,1991,3.4,30578,3.6
19051,1991,6.1,8321,3.7
19053,1991,6.5,8185,6.4
19055,1991,5.4,18139,4.7
19057,1991,5.9,42871,5.4
19059,1991,3.6,15196,3.4
19061,1991,6.1,86988,6.1
19063,1991,5.9,11666,5.8
19065,1991,5.3,22065,4.3
19067,1991,6.7,16950,5.5
19069,1991,4.2,11314,4.1
19071,1991,4.9,8194,3.6
19073,1991,4.8,10110,5.1
19075,1991,3.4,11957,2.6
19077,1991,4.4,11101,3.9
19079,1991,4.2,16098,4.9
19081,1991,5.7,12496,6
19083,1991,5.6,19032,4.8
19085,1991,5.3,14712,4.1
19087,1991,4.4,19490,3.6
19089,1991,4,9910,4
19091,1991,4,10687,3.2
19093,1991,3.6,8286,2.5
19095,1991,2.5,14744,2.6
19097,1991,6.6,19912,6.7
19099,1991,4.5,34791,3.6
