city_fips,st,place,p1980,p1990,p2000,p2010
1767372,Illinois,Sammons Point village,,,,279
1767613,Illinois,San Jose village,784,519,696,642
1767444,Illinois,Sandoval village,1734,1535,1434,1274
1767548,Illinois,Sandwich city,5244,5567,6509,7421
1767756,Illinois,Sauget village,205,197,249,159
1767769,Illinois,Sauk Village village,10906,9926,10411,10506
1767795,Illinois,Saunemin village,463,399,456,420
1767821,Illinois,Savanna city,4529,3819,3542,3062
1767860,Illinois,Savoy village,2126,2674,4476,7280
1767873,Illinois,Sawyerville village,381,312,295,279
1767912,Illinois,Saybrook village,882,767,764,693
1767925,Illinois,Scales Mound village,347,388,401,376
1768003,Illinois,Schaumburg village,53305,68586,75386,74227
1768081,Illinois,Schiller Park village,11458,11189,11850,11793
1768120,Illinois,Schram City village,708,692,653,586
1768198,Illinois,Sciota village,81,68,58,61
1768328,Illinois,Scott AFB CDP,8648,7245,2707,3612
1768406,Illinois,Scottville village,214,165,140,116
1768458,Illinois,Seaton village,255,221,242,222
1768471,Illinois,Seatonville village,369,259,303,314
1768510,Illinois,Secor village,488,389,379,373
1768640,Illinois,Seneca village,2098,1878,2053,2371
1768705,Illinois,Sesser city,2238,2087,2128,1931
1768809,Illinois,Seymour CDP,,,,303
1768822,Illinois,Shabbona village,851,897,929,925
1768991,Illinois,Shannon village,938,887,854,757
1769082,Illinois,Shawneetown city,1841,1575,1410,1239
1769147,Illinois,Sheffield village,1130,951,946,926
1769186,Illinois,Shelbyville city,5259,4943,4971,4700
1769212,Illinois,Sheldon village,1215,1109,1232,1070
1769277,Illinois,Sheridan village,719,1288,2411,2137
1769342,Illinois,Sherman village,1501,2080,2871,4148
1769368,Illinois,Sherrard village,811,697,694,640
1769524,Illinois,Shiloh village,1045,2655,7643,12651
1769563,Illinois,Shipman town,581,624,655,624
1769758,Illinois,Shorewood village,4714,6264,7686,15615
1769797,Illinois,Shumway village,278,243,217,202
1769810,Illinois,Sibley village,370,359,329,272
1769836,Illinois,Sidell village,625,584,626,617
1769875,Illinois,Sidney village,886,1027,1062,1233
1769914,Illinois,Sigel town,360,344,386,373
1769979,Illinois,Silvis city,7130,6926,7269,7479
1770005,Illinois,Simpson village,67,61,54,60
1770031,Illinois,Sims village,355,338,273,252
1770122,Illinois,Skokie village,60278,59432,63348,64784
1770161,Illinois,Sleepy Hollow village,2000,3241,3553,3304
1770213,Illinois,Smithboro village,236,201,200,177
1770226,Illinois,Smithfield village,340,277,214,230
1770252,Illinois,Smithton village,1447,1587,2248,3693
1770460,Illinois,Somonauk village,1344,1263,1295,1893
1770525,Illinois,Sorento village,677,596,601,498
1770564,Illinois,South Barrington village,1168,2937,3760,4565
