name,st,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Star,North Carolina,876,807,775,816,892,745,677,611,634,467,239,211
Statesville,North Carolina,24532,23320,17567,18622,20007,19844,16901,11440,10490,7895,4599,3141
Stedman,North Carolina,1028,664,577,723,505,458,424,356,289,121,0,0
Stem,North Carolina,463,229,249,222,242,221,217,218,256,245,0,0
Stokesdale,North Carolina,5047,3267,2134,0,0,0,0,0,0,0,159,0
Stoneville,North Carolina,1056,1002,1109,1054,1030,951,786,615,564,472,404,0
Stonewall,North Carolina,281,285,279,360,335,214,272,261,329,218,161,168
Stovall,North Carolina,418,376,409,417,405,570,410,415,415,414,305,0
Sugar Mountain,North Carolina,198,226,132,0,0,0,0,0,0,0,0,0
Summerfield,North Carolina,10232,7018,2051,1680,0,0,0,0,0,0,0,0
Sunset Beach,North Carolina,3572,1824,311,304,108,0,0,0,0,0,0,0
Surf City,North Carolina,1853,1393,970,421,166,0,0,0,0,0,0,0
Swansboro,North Carolina,2663,1426,1165,976,1207,1104,559,454,394,420,390,265
Swepsonville,North Carolina,1154,922,1195,0,0,0,0,0,0,0,0,0
Sylva,North Carolina,2588,2435,1809,1699,1561,1564,1382,1409,1340,863,698,281
Tabor City,North Carolina,2511,2509,2330,2710,2400,2338,2033,1552,1165,782,418,0
Tarboro,North Carolina,11415,11138,11037,8741,9425,8411,8120,7148,6379,4568,4129,2499
Tar Heel,North Carolina,117,70,115,118,87,0,0,0,0,0,0,0
Taylorsville,North Carolina,2098,1799,1566,1103,1231,1470,1310,1122,926,1122,662,413
Taylortown,North Carolina,722,845,543,0,0,0,0,0,0,0,0,0
Teachey,North Carolina,376,245,244,373,219,187,226,228,140,164,154,0
Thomasville,North Carolina,26757,19788,15915,14144,15230,15190,11154,11041,10090,5676,3877,751
Tobaccoville,North Carolina,2441,2209,0,0,0,0,0,0,0,0,0,0
Topsail Beach,North Carolina,368,471,346,264,108,0,0,0,0,0,0,0
Trenton,North Carolina,287,206,248,294,539,404,469,431,500,488,331,338
Trent Woods,North Carolina,4155,4192,2366,1177,719,517,0,0,0,0,0,0
Trinity,North Carolina,6614,6690,5469,6878,0,0,0,0,554,400,332,274
Troutman,North Carolina,2383,1592,1493,1360,797,648,613,566,432,342,230,0
Troy,North Carolina,3189,3430,3404,2702,2429,2346,2213,1861,1522,1102,1055,878
Tryon,North Carolina,1646,1760,1680,1796,1951,2223,1985,2043,1670,1067,700,324
Turkey,North Carolina,292,262,234,417,329,199,223,188,213,146,0,0
Unionville,North Carolina,5929,4797,0,0,0,119,124,144,140,135,0,0
Valdese,North Carolina,4490,4485,3914,3364,3182,2941,2730,2615,1816,0,0,0
Vanceboro,North Carolina,1005,898,946,833,758,806,753,826,742,540,392,291
Vandemere,North Carolina,254,289,299,335,379,452,475,436,360,308,296,169
Varnamtown,North Carolina,541,481,404,0,0,0,0,0,0,0,0,0
Vass,North Carolina,720,750,670,828,885,767,757,728,602,407,273,0
Waco,North Carolina,321,328,320,322,245,256,310,281,176,189,185,160
Wade,North Carolina,556,480,238,474,315,0,0,0,362,190,0,0
Wadesboro,North Carolina,5813,3552,3645,4206,3977,3744,3408,3587,3124,2648,2376,1546
Wagram,North Carolina,840,801,480,617,718,562,397,388,309,174,0,0
Wake Forest,North Carolina,30117,12588,5769,3780,3148,2664,3704,1562,1536,1425,1443,823
Walkertown,North Carolina,4675,4009,1200,0,0,0,0,0,0,0,0,0
Wallace,North Carolina,3880,3344,2939,2903,2905,2285,1622,1050,734,648,444,218
Wallburg,North Carolina,3047,0,0,0,0,0,0,0,0,0,0,0
Walnut Cove,North Carolina,1425,1465,1088,1147,1213,1288,1132,1084,1081,651,480,336
Walnut Creek,North Carolina,835,859,623,343,0,0,0,0,0,0,0,0
Walstonburg,North Carolina,219,224,188,181,176,191,177,198,178,158,127,0
Warrenton,North Carolina,862,811,949,908,1035,1124,1166,1147,1072,927,807,836
Warsaw,North Carolina,3054,3051,2859,2910,2701,2221,1598,1483,1222,1108,723,576
Washington,North Carolina,9744,9583,9075,8418,8961,9939,9698,8569,7035,6314,6211,4842
Washington Park,North Carolina,451,440,403,514,517,574,421,295,193,0,0,0
Watha,North Carolina,190,151,99,196,181,174,222,214,227,181,169,0
Waxhaw,North Carolina,9859,2625,1294,1208,1248,729,818,611,840,750,602,752
Waynesville,North Carolina,9869,9232,6758,6765,6488,6159,5295,2940,2414,1942,2008,1307
Weaverville,North Carolina,3120,2416,2107,1495,1280,1041,1111,880,848,606,442,329
Webster,North Carolina,363,486,410,200,181,166,142,84,134,74,227,0
Weddington,North Carolina,9459,6696,3803,0,0,0,0,0,0,0,0,0
Weldon,North Carolina,1655,1374,1392,1844,2304,2165,2295,2341,2323,1872,1999,1433
Wendell,North Carolina,5845,4247,2822,2222,1929,1620,1253,1132,980,1239,759,0
Wentworth,North Carolina,2807,2779,0,0,0,0,0,0,0,0,0,0
Wesley Chapel,North Carolina,7463,2549,0,0,0,0,0,0,0,0,0,0
West Jefferson,North Carolina,1299,1081,1002,822,889,1000,871,883,704,462,0,0
Whispering Pines,North Carolina,2928,2090,1243,1160,362,0,0,0,0,0,0,0
Whitakers,North Carolina,744,799,860,924,926,1004,962,883,930,723,755,388
White Lake,North Carolina,802,529,390,968,232,130,0,0,0,0,0,0
Whiteville,North Carolina,5394,5148,5078,5565,4195,4683,4238,3011,2203,1604,1368,634
Whitsett,North Carolina,590,686,0,0,0,0,0,0,0,0,0,0
Wilkesboro,North Carolina,3413,3159,2573,2335,2038,1568,1370,1309,1042,814,799,634
Williamston,North Carolina,5511,5843,5503,6159,6570,6924,4975,3966,2781,1800,1574,912
Wilmington,North Carolina,106476,75838,55530,44000,46169,44013,45043,33407,32270,33372,25748,20976
Wilson,North Carolina,49167,44405,36930,34424,29347,28753,23010,19234,12613,10612,6717,3525
Wilson's Mills,North Carolina,2277,1291,0,0,0,0,0,0,350,0,0,0
Windsor,North Carolina,3630,2283,2056,2126,2199,1813,1781,1747,1425,1210,684,597
Winfall,North Carolina,594,554,501,634,581,269,421,160,426,288,289,222
Wingate,North Carolina,3491,2406,2821,2615,2569,1304,793,541,526,470,353,0
Winston-Salem,North Carolina,229617,185776,143485,131885,133683,111135,87811,79815,75274,48395,22700,13650
Winterville,North Carolina,9269,4791,2816,2052,1437,1418,870,848,654,650,484,243
Winton,North Carolina,769,956,796,825,917,835,834,733,582,489,624,688
Woodfin,North Carolina,6123,3162,2736,3260,0,0,0,0,0,0,0,0
Woodland,North Carolina,809,833,760,861,744,651,590,486,501,400,312,242
Wrightsville Beach,North Carolina,2477,2593,2937,2910,1701,723,711,252,109,20,54,22
Yadkinville,North Carolina,2959,2818,2525,2216,2232,1644,820,734,590,445,432,292
Yanceyville,North Carolina,2039,2091,1973,0,1274,1113,1391,0,0,0,338,0
Youngsville,North Carolina,1157,651,424,486,555,596,619,553,395,414,431,345
Zebulon,North Carolina,4433,4046,3173,2055,1839,1534,1378,1070,860,953,483,0
Aberdeen,Ohio,1638,1603,1329,1566,1165,774,551,497,452,477,568,711
Ada,Ohio,5952,5582,5413,5669,5309,3918,3640,2368,2499,2321,2465,2576
Adamsville,Ohio,114,127,151,229,174,167,164,175,190,151,176,201
Addyston,Ohio,938,1010,1198,1195,1336,1376,1651,1610,1708,1448,1543,1513
Adelphi,Ohio,380,371,398,472,455,441,392,414,412,329,407,516
Adena,Ohio,759,815,842,1062,1134,1317,1517,1703,1286,724,570,0
Akron,Ohio,199110,217074,223019,237177,275425,290351,274605,244791,255040,208435,69067,42728
Albany,Ohio,828,808,795,905,899,629,525,551,471,465,546,548
Alexandria,Ohio,517,85,468,489,588,452,464,425,450,415,414,420
Alger,Ohio,860,888,864,992,1071,1068,943,811,857,787,730,462
Alliance,Ohio,22322,23253,23376,24315,26547,28362,26161,22405,23047,21603,15083,8974
Amanda,Ohio,737,707,729,720,788,732,587,561,557,531,484,0
Amberley,Ohio,3585,3425,3108,3442,4761,2951,885,0,0,0,0,0
Amelia,Ohio,4801,2752,1837,1108,820,913,601,550,427,658,417,0
Amesville,Ohio,154,184,250,247,295,255,269,286,298,273,267,0
Amherst,Ohio,12021,11797,10332,10638,9902,6750,3542,2896,2844,2485,2106,1758
Amsterdam,Ohio,511,568,669,783,882,931,1048,1177,1171,1271,1041,0
Andover,Ohio,1145,1269,1216,1205,1179,1116,1102,945,906,921,902,815
Anna,Ohio,1567,1319,1164,1038,792,701,554,485,462,463,460,451
Ansonia,Ohio,1174,1145,1279,1267,1044,1002,877,712,651,807,656,676
Antioch,Ohio,86,89,68,113,112,110,112,145,138,133,169,212
