city_fips,name,st,msp_yr,msp_accr,msp_affl,msp
3722820,Farmville,North Carolina,1995,1,0,1
3758160,Roxboro,North Carolina,1995,1,0,1
3749800,Oxford,North Carolina,1998,1,0,1
3743920,Monroe,North Carolina,1998,1,0,1
3720620,Elkin,North Carolina,1998,1,0,1
3763680,Sparta,North Carolina,1998,1,0,1
3747880,North Wilkesboro,North Carolina,2000,1,0,1
3704840,Belmont,North Carolina,2000,1,0,1
3730900,Hertford,North Carolina,2000,1,0,1
3744320,Morehead City,North Carolina,2000,1,0,1
3720080,Eden,North Carolina,2003,1,0,1
3720120,Edenton,North Carolina,2003,1,0,1
3711640,Chadbourn,North Carolina,2003,0,1,1
3745100,Mount Olive,North Carolina,2003,0,1,1
3724080,Forest City,North Carolina,2003,1,0,1
3741420,Marion,North Carolina,2003,1,0,1
3771780,Weldon,North Carolina,2003,0,1,1
3774220,Williamston,North Carolina,2003,0,1,1
3764160,Spring hope,North Carolina,2004,0,1,1
3776220,Zebulon,North Carolina,2004,0,1,1
3770780,Walnut Cove,North Carolina,2005,0,1,1
3744900,Mount Gilead,North Carolina,2006,0,1,1
3712860,Clayton,North Carolina,2006,1,0,1
3725300,Fuquay-Varina,North Carolina,2006,1,0,1
3722360,Fairmont,North Carolina,2006,0,1,1
3731060,Hickory,North Carolina,2006,1,0,1
3770540,Wake Forest,North Carolina,2006,1,0,1
3702840,Ayden,North Carolina,2006,0,1,1
3774680,Windsor,North Carolina,2007,0,1,1
3701400,Angier,North Carolina,2007,0,1,1
3702960,Badin,North Carolina,2007,0,1,1
3708960,Burgaw,North Carolina,2007,0,1,1
3768580,Tryon,North Carolina,2007,0,1,1
3772540,West Jefferson,North Carolina,2007,0,1,1
3758160,Roxboro,North Carolina,2008,0,1,1
3729160,Hamlet,North Carolina,2008,0,1,1
3705040,Benson,North Carolina,2008,0,1,1
3709140,Burnsville,North Carolina,2008,0,1,1
3727420,Granite Falls,North Carolina,2008,0,1,1
3742020,Maxton,North Carolina,2008,0,1,1
3757000,Robbins,North Carolina,2009,0,1,1
3736400,La Grange,North Carolina,2009,0,1,1
3738100,Liberty,North Carolina,2009,0,1,1
3716400,Davidson,North Carolina,2009,1,0,1
3725480,Garner,North Carolina,2009,1,0,1
3735880,Kings Mountain,North Carolina,2009,1,0,1
3771460,Waxhaw,North Carolina,2009,0,1,1
3756900,Roanoke Rapids,North Carolina,2009,1,0,1
3774020,Wilkesboro,North Carolina,2009,0,1,1
3760320,Selma,North Carolina,2009,0,1,1
3710980,Catawba,North Carolina,2010,0,1,1
3731360,Highlands,North Carolina,2010,0,1,1
3745640,Murfreesboro,North Carolina,2010,0,1,1
3759780,Scotland Neck,North Carolina,2010,0,1,1
3768520,Troy,North Carolina,2010,0,1,1
3753040,Plymouth,North Carolina,2010,0,1,1
3705220,Bessemer City,North Carolina,2011,0,1,1
3752660,Pittsboro,North Carolina,2011,0,1,1
3768500,Troutman,North Carolina,2011,0,1,1
3738220,Lillington,North Carolina,2011,0,1,1
3771100,Warrenton,North Carolina,2011,0,1,1
3756360,Richlands,North Carolina,2012,0,1,1
3712340,Cherryville,North Carolina,2012,0,1,1
3720600,Elizabethtown,North Carolina,2012,0,1,1
3758920,Saluda,North Carolina,2012,0,1,1
3763760,Spencer,North Carolina,2012,0,1,1
3704640,Belhaven,North Carolina,2013,0,1,1
3730280,Hayesville,North Carolina,2013,0,1,1
3741640,Marshville,North Carolina,2013,0,1,1
3742060,Mayodan,North Carolina,2013,0,1,1
3757100,Robersonville,North Carolina,2013,0,1,1
3769520,Valdese,North Carolina,2013,0,1,1
3921434,Delaware,Ohio,2000,1,0,1
3962848,Piqua,Ohio,2000,1,0,1
3910996,Cambridge,Ohio,2004,1,0,1
3977588,Troy,Ohio,2004,1,0,1
3979562,Van Wert,Ohio,2004,1,0,1
3979716,Vermilion,Ohio,2004,1,0,1
3986548,Wooster,Ohio,2004,1,0,1
3941664,Lakewood,Ohio,2006,1,0,1
3950372,Millersburg,Ohio,2006,1,0,1
3916000,Cleveland,Ohio,2007,1,0,1
3939872,Kent,Ohio,2007,1,0,1
3964304,Portsmouth,Ohio,2007,1,0,1
3916000,Cleveland,Ohio,2007,1,0,1
3948790,Medina,Ohio,2008,1,0,1
3942364,Lebanon ,Ohio,2009,1,0,1
3953102,Mount Vernon,Ohio,2009,1,0,1
3959416,Painesville,Ohio,2009,1,0,1
3947628,Marietta,Ohio,2013,1,0,1
3902568,Ashland ,Ohio,2014,0,1,1
3979072,Urbana,Ohio,2014,0,1,1
3985792,Wilmington ,Ohio,2014,0,1,1
3976778,Tiffin,Ohio,2015,1,0,1
3901798,Amherst ,Ohio,2015,0,1,1
3913554,Chardon ,Ohio,2015,1,0,1
3918868,Coshocton ,Ohio,2015,0,1,1
3954040,Newark ,Ohio,2015,0,1,1
3957834,Oberlin,Ohio,2015,0,1,1
3964150,Port Clinton ,Ohio,2015,0,1,1
3986604,Worthington ,Ohio,2015,0,1,1
3976876,Tipp City,Ohio,2016,1,0,1
3980304,Wadsworth,Ohio,2016,1,0,1
3949840,Middletown ,Ohio,2017,1,0,1
3982642,Wellington,Ohio,2018,1,0,1
4845072,Lufkin,Texas,1983,1,0,1
4817060,Corsicana,Texas,1985,1,0,1
4865600,San Marcos,Texas,1986,1,0,1
4857908,Pittsburg,Texas,1987,1,0,1
4830116,Gonzales,Texas,1988,1,0,1
4819972,Denton,Texas,1989,1,0,1
4819900,Denison,Texas,1989,1,0,1
4848648,Mineola,Texas,1989,1,0,1
4823044,Elgin,Texas,1990,1,0,1
4874144,Tyler,Texas,1990,1,0,1
4850820,New Braunfels,Texas,1991,1,0,1
4805984,Bay City,Texas,1992,1,0,1
4807000,Beaumont,Texas,1992,1,0,1
4849860,Mount Vernon,Texas,1992,1,0,1
4857980,Plainview,Texas,1992,1,0,1
4830644,Grapevine,Texas,1993,1,0,1
4849800,Mount Pleasant,Texas,1993,1,0,1
4819528,Decatur,Texas,1994,1,0,1
4815472,Clifton,Texas,1995,1,0,1
4839040,Kerrville,Texas,1995,1,0,1
4833212,Henderson,Texas,1996,1,0,1
4840276,La Grange,Texas,1996,1,0,1
4809640,Bowie,Texas,1997,1,0,1
4813684,Celina,Texas,1997,1,0,1
4830080,Goliad,Texas,1997,1,0,1
4832372,Harlingen,Texas,1997,1,0,1
4866644,Seguin,Texas,1997,1,0,1
4829336,Georgetown,Texas,1998,1,0,1
4842448,Levelland,Texas,1998,1,0,1
4850256,Nacogdoches,Texas,1998,1,0,1
4855080,Paris,Texas,1998,1,0,1
4810156,Brenham,Texas,1999,1,0,1
4829660,Gladewater,Texas,1999,1,0,1
4830920,Greenville,Texas,1999,1,0,1
4871948,Taylor,Texas,1999,1,0,1
4825488,Farmersville,Texas,2000,1,0,1
4812496,Canton,Texas,2001,1,0,1
4813108,Carthage,Texas,2001,1,0,1
4834088,Hillsboro,Texas,2001,1,0,1
4835528,Huntsville,Texas,2001,1,0,1
4803000,Amarillo,Texas,2002,1,0,1
4812532,Canyon,Texas,2002,1,0,1
4857476,Pilot Point,Texas,2002,1,0,1
4862168,Rio Grande City,Texas,2002,1,0,1
4876816,Waxahachie,Texas,2002,1,0,1
4815160,Clarksville,Texas,2003,1,0,1
4819792,Del Rio,Texas,2003,1,0,1
4843144,Llano,Texas,2003,1,0,1
4845096,Luling,Texas,2003,1,0,1
4846776,Marshall,Texas,2003,1,0,1
4879816,Winnsboro,Texas,2003,1,0,1
4830476,Grand Saline,Texas,2004,1,0,1
4845744,McKinney,Texas,2004,1,0,1
4857200,Pharr,Texas,2004,1,0,1
4843132,Livingston,Texas,2005,1,0,1
4864472,San Angelo,Texas,2005,1,0,1
4807192,Beeville,Texas,2006,1,0,1
4816120,Colorado City,Texas,2006,1,0,1
4872368,Texarkana,Texas,2006,1,0,1
4805864,Bastrop,Texas,2007,1,0,1
4810264,Bridgeport,Texas,2007,1,0,1
4817216,Cotulla,Texas,2007,1,0,1
4839124,Kilgore,Texas,2007,1,0,1
4863668,Royse City,Texas,2007,1,0,1
4841464,Laredo,Texas,2008,1,0,1
4843888,Longview,Texas,2008,1,0,1
4854708,Palestine,Texas,2008,1,0,1
4862828,Rockwall,Texas,2009,1,0,1
4876864,Weatherford,Texas,2009,1,0,1
4821892,Eagle Pass,Texas,2010,1,0,1
4839352,Kingsville,Texas,2011,1,0,1
4874588,Uvalde,Texas,2011,1,0,1
4875308,Vernon,Texas,2011,1,0,1
4875428,Victoria,Texas,2012,1,0,1
4814668,Childress,Texas,2013,1,0,1
4818092,Cuero,Texas,2013,1,0,1
4865024,San Augustine,Texas,2013,1,0,1
4811836,Caldwell,Texas,2014,1,0,1
4866464,Sealy,Texas,2014,1,0,1
4876000,Waco,Texas,2014,1,0,1
4824348,Ennis,Texas,2015,1,0,1
4863284,Rosenberg,Texas,2015,1,0,1
4810768,Brownsville,Texas,2016,1,0,1
4817000,Corpus Christi,Texas,2016,1,0,1
4867496,Sherman,Texas,2016,1,0,1
4811080,Buda,Texas,2017,1,0,1
4842844,Linden,Texas,2017,1,0,1
5105544,Bedford,Virginia,1985,0,1,1
5129600,Franklin,Virginia,1985,1,0,1
5186720,Winchester,Virginia,1985,1,0,1
5120752,Culpeper,Virginia,1988,1,0,1
5148952,Manassas,Virginia,1988,1,0,1
5183136,Warrenton,Virginia,1989,1,0,1
5106968,Berryville,Virginia,1992,1,0,1
5159496,Orange,Virginia,1992,1,0,1
5149464,Marion,Virginia,1995,1,0,1
5149784,Martinsville,Virginia,1995,1,0,1
5175216,Staunton,Virginia,1995,1,0,1
5147672,Lynchburg,Virginia,2000,1,0,1
5135624,Harrisonburg,Virginia,2004,1,0,1
5147528,Luray,Virginia,2004,1,0,1
5173712,South Boston,Virginia,2004,1,0,1
5100148,Abingdon,Virginia,2007,0,1,1
5101528,Altavista,Virginia,2007,1,0,1
5107832,Blackstone,Virginia,2007,1,0,1
5109816,Bristol,Virginia,2011,1,0,1
5127440,Farmville,Virginia,2011,1,0,1
5138424,Hopewell,Virginia,2011,1,0,1
5169936,St. Paul,Virginia,2011,1,0,1
5103368,Ashland,Virginia,2013,1,0,1
5129744,Fredericksburg,Virginia,2013,1,0,1
5121344,Danville,Virginia,2016,1,0,1
5131608,Gloucester Courthouse,Virginia,2016,1,0,1
5145512,Lexington,Virginia,2016,1,0,1
5188000,Wytheville,Virginia,2016,1,0,1
5506500,Beloit,Wisconsin,1988,1,0,1
5568175,Ripon,Wisconsin,1988,1,0,1
5573025,Sheboygan Falls,Wisconsin,1988,1,0,1
5514575,Chippewa Falls,Wisconsin,1989,1,0,1
5582925,Viroqua,Wisconsin,1989,1,0,1
5519775,De Pere,Wisconsin,1990,1,0,1
5549675,Marshfield,Wisconsin,1990,1,0,1
5567350,Rice Lake,Wisconsin,1991,1,0,1
5579825,Tigerton,Wisconsin,1993,1,0,1
5577875,Sturgeon Bay,Wisconsin,1994,1,0,1
5531000,Green Bay,Wisconsin,1995,1,0,1
5518875,Darlington,Wisconsin,1996,1,0,1
5562240,Pewaukee,Wisconsin,1996,1,0,1
5581325,Two Rivers,Wisconsin,1996,1,0,1
5560450,Osceola,Wisconsin,1997,1,0,1
5521625,Eagle River,Wisconsin,1999,1,0,1
5563250,Platteville,Wisconsin,1999,1,0,1
5583975,Watertown,Wisconsin,2000,1,0,1
5585300,West Allis,Wisconsin,2001,1,0,1
5584475,Wausau,Wisconsin,2002,1,0,1
5526275,Fond du Lac,Wisconsin,2004,1,0,1
5553750,Monroe,Wisconsin,2005,1,0,1
5541675,Lake Mills,Wisconsin,2006,1,0,1
5564450,Port Washington,Wisconsin,2008,1,0,1
5580125,Tomahawk,Wisconsin,2008,1,0,1
5559875,Omro,Wisconsin,2011,1,0,1
5539225,Kenosha,Wisconsin,2013,1,0,1
5540850,Ladysmith,Wisconsin,2013,1,0,1
5540775,La Crosse,Wisconsin,2014,1,0,1
5551025,Menomonie,Wisconsin,2015,1,0,1
5573825,Shullsburg,Wisconsin,2016,1,0,1
5553000,Milwaukee,Wisconsin,2017,1,0,1
5550200,Mayville,Wisconsin,2018,1,0,1
5566000,Racine,Wisconsin,2018,1,0,1
